epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,15.088730812072754,0.0426563024520874,1836.4902388699902,1578.3063029459784,0.5195954860027996
2,huber_tv,0.0125,100,0.002,0.25,0.25,12.622010231018066,0.04252749681472778,1567.8056337745295,1396.5798941023882,0.5046299809982884
3,huber_tv,0.0125,100,0.002,0.25,0.25,11.288979530334473,0.03828173875808716,1388.9295697347457,1254.628239954388,0.5061226640027598
4,huber_tv,0.0125,100,0.002,0.25,0.25,10.362826347351074,0.034580886363983154,1248.8606472357894,1136.565598906474,0.5074373570023454
5,huber_tv,0.0125,100,0.002,0.25,0.25,9.632232666015625,0.03163552284240723,1132.1224794567813,1035.4536248126312,0.5046341179986484
