epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,13.587925910949707,0.042559683322906494,888.3504668782107,670.6789227241642,0.5423965079971822
2,huber_tv,0.0125,100,0.002,0.25,0.25,11.205962181091309,0.04123789072036743,670.196365086482,535.3380567820672,0.5153275769989705
3,huber_tv,0.0125,100,0.002,0.25,0.25,9.898835182189941,0.0349198579788208,535.1596530457323,431.63894255302495,0.5140038159988762
4,huber_tv,0.0125,100,0.002,0.25,0.25,8.874274253845215,0.0328216552734375,431.6165336239761,348.70779955544424,0.545870243000536
5,huber_tv,0.0125,100,0.002,0.25,0.25,7.977005481719971,0.029454827308654785,348.7692278846682,281.73638226715235,0.5178985279999324
