epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,11.787710189819336,0.041668474674224854,404.28284507228886,233.9446172711988,0.515197081000224
2,huber_tv,0.0125,100,0.002,0.25,0.25,9.050418853759766,0.037252604961395264,231.14700348879035,138.8076191957135,0.5058499810002104
3,huber_tv,0.0125,100,0.002,0.25,0.25,7.140934467315674,0.0249975323677063,137.63646237292244,79.28176513891273,0.5059367410012783
