checkpoint,epoch,water_mean,water_std,water_bias_vs_fixed_rsp,water_bias_vs_s6_effective_rsp,phantom_rsp_rmse,phantom_effective_rsp_rmse,outside_rmse,outside_nonzero,wepl_residual_rmse_mm
initial,0,1.0137614011764526,0.0218905471265316,0.013761401176452637,0.00024366378784179688,0.031983293121378556,0.029609863228702425,0.0,0,nan
epoch_01,1,1.014294147491455,0.01663210242986679,0.014294147491455078,0.0007764101028442383,0.02676870709534429,0.02265577190512653,0.0,0,2.4545588817609554
epoch_02,2,1.0139598846435547,0.012503515928983688,0.013959884643554688,0.00044214725494384766,0.023253861043348742,0.018366458238971487,0.0,0,2.4436556090201416
epoch_03,3,1.0138728618621826,0.009303970262408257,0.013872861862182617,0.00035512447357177734,0.021162764647079415,0.01563254505510907,0.0,0,2.441078154906535
