input_rows,input_unique_merge_keys,input_duplicates_removed,output_rows,output_unique_run_event_track_keys,output_duplicate_run_event_track_rows,matched_input_merge_keys,unmatched_input_merge_keys,pairs,primary_pairs,secondary_pairs,local_run_id,run_id,matched_same_track_pairs,secondary_pairs_removed,input_in,input_out
100332,100332,0,91139,91138,1,88125,12207,88113,88113,0,0,0,88125,12,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_000/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_000/PhaseSpaceOut.root
100362,100362,0,91104,91104,0,88008,12354,87989,87989,0,0,1,88008,19,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_001/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_001/PhaseSpaceOut.root
99992,99992,0,90686,90686,0,87645,12347,87639,87639,0,0,2,87645,6,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_002/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_002/PhaseSpaceOut.root
100459,100459,0,91287,91287,0,88272,12187,88261,88261,0,0,3,88272,11,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_003/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_003/PhaseSpaceOut.root
99858,99858,0,90738,90738,0,87755,12103,87740,87740,0,0,4,87755,15,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_004/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_004/PhaseSpaceOut.root
99635,99635,0,90492,90492,0,87328,12307,87312,87312,0,0,5,87328,16,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_005/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_005/PhaseSpaceOut.root
100366,100366,0,91033,91033,0,87975,12391,87961,87961,0,0,6,87975,14,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_006/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_006/PhaseSpaceOut.root
99987,99987,0,90877,90877,0,87704,12283,87692,87692,0,0,7,87704,12,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_007/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_007/PhaseSpaceOut.root
99560,99560,0,90217,90217,0,87207,12353,87198,87198,0,0,8,87207,9,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_008/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_008/PhaseSpaceOut.root
100685,100685,0,91187,91187,0,88108,12577,88095,88095,0,0,9,88108,13,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_009/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s4_material_calibration_air_pilot/run_009/PhaseSpaceOut.root
