variant,dataset,group_id,line_width_mm,spatial_frequency_lp_per_mm,samples,p10_rsp,p90_rsp,modulation
s5_corrected_fov210_hann0,resolution,0,0.5,1.0,2520,1.397031271457672,1.7417663216590882,0.10983029009497279
s5_corrected_fov210_hann0,resolution,1,0.75,0.6666666666666666,3640,1.3715193033218385,1.7701225399971008,0.12687736430648125
s5_corrected_fov210_hann0,resolution,2,1.0,0.5,4900,1.3042609214782714,1.841306698322296,0.17073095916408051
s5_corrected_fov210_hann0,resolution,3,1.5,0.3333333333333333,7350,1.1126302242279054,2.027648186683655,0.29138115884130733
s5_corrected_fov210_hann0,resolution,4,2.0,0.25,9800,1.028505313396454,2.10788209438324,0.3441465101885793
s5_corrected_fov210_hann0,resolution,5,3.0,0.16666666666666666,14700,1.0298999190330504,2.0984755039215086,0.34157523967480025
