variant,support,radius_mm,mean_rsp,std_rsp,pixels,dataset,ddb,fov_mm,hann
s2_fov210_hann0,False,12.625,1.0121665479273212,0.01764733671947633,1960,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,12.875,1.0150728884953932,0.016769126291982135,2056,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,13.125,1.014482722636238,0.01723050007187646,2008,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,13.375,1.0132375158741382,0.018558230130349126,2164,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,13.625,1.0141753806122418,0.018192710667503883,2088,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,13.875,1.0157016567105852,0.017717674819260506,2216,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,14.125,1.014117623903673,0.017469517057060832,2192,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,14.375,1.0129465219729088,0.016447558563998817,2312,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,14.625,1.0138656948535947,0.018025802920326454,2252,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,14.875,1.0146240055308504,0.01857979035010818,2360,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,15.125,1.0142918390532334,0.017873427582197565,2352,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,15.375,1.0130915301533399,0.017829602624143615,2456,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,15.625,1.01237546671213,0.018480624196979278,2396,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,15.875,1.0135304261231795,0.017720978385174817,2560,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,16.125,1.0145835932952907,0.017928251749723047,2448,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,16.375,1.0147650385269888,0.018953802378773983,2664,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,16.625,1.014143063130356,0.01880708377895871,2524,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,16.875,1.0122267366849889,0.016990223390984112,2736,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,17.125,1.0127476018138617,0.017031024119347926,2616,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,17.375,1.0159351642446957,0.01883793433172432,2784,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,17.625,1.01566826819497,0.01819740065623065,2720,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,17.875,1.0140114539895306,0.018515951342100784,2836,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,18.125,1.0131606876298234,0.01730542947531995,2808,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,18.375,1.0126338823224015,0.017798478228430736,2968,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,18.625,1.0137040308663543,0.01816886018130869,2840,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,18.875,1.0146034742598489,0.01833494235221728,3028,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,19.125,1.0146749759633042,0.018415740946681542,2952,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,19.375,1.0141152438054049,0.018199047017372735,3112,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,19.625,1.0128453425687567,0.018634793077423217,3016,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,19.875,1.0119287713817209,0.01792361885765923,3172,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,20.125,1.0123102916165805,0.01803013847541697,3120,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,20.375,1.0131537717381127,0.018678188695685747,3224,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,20.625,1.0140966333393424,0.018367744297487238,3224,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,20.875,1.014386582418027,0.018458004237418724,3292,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,21.125,1.0133034687516462,0.018852080518696048,3288,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,21.375,1.0132498983731013,0.018877008012082218,3408,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,21.625,1.0138282532350336,0.018900391783811196,3336,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,21.875,1.0143495620143685,0.017686338079754192,3520,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,22.125,1.0138800765575737,0.017561417308512912,3388,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,22.375,1.013267706905415,0.017288638692227024,3592,vacuum,corrected,210.0,0.0
s2_fov210_hann0,False,22.625,1.012779835209079,0.016846594870996292,3480,vacuum,corrected,210.0,0.0
