variant,dataset,ddb,size,spacing_mm,fov_mm,hann,support,fdk_seconds,image_path,finite,image_min,image_max,water_core_mean_rsp,water_core_std_rsp,water_bias_vs_fixed_rsp,water_bias_vs_effective_rsp,phantom_rmse_vs_fixed_rsp,phantom_rmse_vs_effective_rsp,boundary_inner_rmse_vs_fixed_rsp,boundary_inner_rmse_vs_effective_rsp,outside_100_105_rmse_rsp,outside_100_105_mean_abs_rsp,outside_100_105_peak_abs_rsp,edge_r90_mm,edge_r10_mm,edge_10_90_width_mm,water_core_clearance_from_material_mm,phantom_rmse_vs_nominal_rsp,phantom_mae_vs_nominal_rsp,material_mape_non_air,material_max_ape_non_air,fmtf50_mean_lp_per_mm,fmtf10_mean_lp_per_mm
s2_fov210_hann0,vacuum,corrected,2100,0.1,210.0,0.0,False,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov210_hann0.mhd,True,-0.23569630086421967,1.1361665725708008,1.0137739181518555,0.01817421056330204,0.013773918151855469,0.0002561807632446289,0.0289902904914884,0.026243453405818042,0.04276436437631633,0.04294570011136676,0.07705403975384208,0.03026575967669487,0.6138341426849365,99.67444645867236,100.29924040466153,0.6247939459891683,,,,,,,
s2_fov210_hann0,vacuum,corrected,2100,0.1,210.0,0.0,True,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov210_hann0.mhd,True,0.0,1.1361665725708008,1.0137739181518555,0.01817421056330204,0.013773918151855469,0.0002561807632446289,0.02898343703206272,0.02629583291392853,0.04276436437631633,0.04294570011136676,0.0,0.0,0.0,99.67451128472806,100.09147729087714,0.41696600614908164,,,,,,,
s2_fov220_hann0,vacuum,corrected,2200,0.1,220.0,0.0,False,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov220_hann0.mhd,True,-0.23797781765460968,1.1361665725708008,1.0137739181518555,0.01817421056330204,0.013773918151855469,0.0002561807632446289,0.028990290491213384,0.026243453405670466,0.04276436437614646,0.042945700111166184,0.07705403975379362,0.03026575967669487,0.6138341426849365,99.67444645867685,100.29924040465953,0.6247939459826739,,,,,,,
s2_fov220_hann0,vacuum,corrected,2200,0.1,220.0,0.0,True,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov220_hann0.mhd,True,0.0,1.1361665725708008,1.0137739181518555,0.01817421056330204,0.013773918151855469,0.0002561807632446289,0.02898343703178764,0.026295832913781247,0.04276436437614646,0.042945700111166184,0.0,0.0,0.0,99.67451128473252,100.09147729087715,0.41696600614463364,,,,,,,
s2_fov240_hann0,vacuum,corrected,2400,0.1,240.0,0.0,False,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov240_hann0.mhd,True,-0.2514006495475769,1.1361665725708008,1.0137739181518555,0.01817421056330204,0.013773918151855469,0.0002561807632446289,0.0289902904913575,0.0262434534058199,0.042764364376770184,0.04294570011178728,0.07705403975392086,0.03026575967669487,0.6138341426849365,99.67444645867683,100.29924040465964,0.624793945982816,,,,,,,
s2_fov240_hann0,vacuum,corrected,2400,0.1,240.0,0.0,True,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov240_hann0.mhd,True,0.0,1.1361665725708008,1.0137739181518555,0.01817421056330204,0.013773918151855469,0.0002561807632446289,0.02898343703193179,0.02629583291393038,0.042764364376770184,0.04294570011178728,0.0,0.0,0.0,99.67451128473252,100.09147729087715,0.41696600614463364,,,,,,,
s2_fov260_hann0,vacuum,corrected,2600,0.1,260.0,0.0,False,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov260_hann0.mhd,True,-0.2531183660030365,1.1361665725708008,1.0137739181518555,0.01817421056330204,0.013773918151855469,0.0002561807632446289,0.028990290491350195,0.02624345340596805,0.042764364376863775,0.04294570011213188,0.07705403975367688,0.03026575967669487,0.6138341426849365,99.67444645867359,100.29924040465835,0.6247939459847629,,,,,,,
s2_fov260_hann0,vacuum,corrected,2600,0.1,260.0,0.0,True,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov260_hann0.mhd,True,0.0,1.1361665725708008,1.0137739181518555,0.01817421056330204,0.013773918151855469,0.0002561807632446289,0.028983437031924485,0.026295832914078235,0.042764364376863775,0.04294570011213188,0.0,0.0,0.0,99.67451128472932,100.09147729087718,0.4169660061478595,,,,,,,
s2_fov210_hann0p5,vacuum,corrected,2100,0.1,210.0,0.5,False,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov210_hann0p5.mhd,True,-0.14276191592216492,1.0270236730575562,1.0137746334075928,0.0027439207769930363,0.013774633407592773,0.0002568960189819336,0.041023957837512615,0.04044692372647295,0.08755497049499068,0.09073098861351143,0.12882526100697017,0.055958449840545654,0.5137309432029724,99.09126784776467,100.90000150805139,1.8087336602867197,,,,,,,
s2_fov210_hann0p5,vacuum,corrected,2100,0.1,210.0,0.5,True,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/analytic/variants/s2_fov210_hann0p5.mhd,True,0.0,1.0270236730575562,1.0137746334075928,0.0027439207769930363,0.013774633407592773,0.0002568960189819336,0.04107378475520703,0.040534222584618716,0.08755497049499068,0.09073098861351143,0.0,0.0,0.0,99.09146996755891,100.08087990801276,0.9894099404538537,,,,,,,
