run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative
0,13.5734743779999,1,96,19695768,0,251352,8708627,0,0.0,32.390625,185654.0276238583,0,0
1,13.573143630999994,2,99,19469635,0,251352,8548204,0,0.0,42.10123825073242,188792.82692316175,0,0
2,13.572243082000114,1,90,19523759,0,251352,8599192,0,0.0,32.72968673706055,189812.0446600318,0,0
3,13.57980727800009,1,98,19671534,0,251352,8651289,0,0.0,23.739063262939453,187082.34390938003,0,0
4,0.8238556819999303,0,97,19474765,5,251352,8603331,0,0.0,14.35079288482666,193211.2341556009,0,0
5,0.8578309260001333,1,103,19568072,0,251352,8612831,0,0.0,35.09375,195217.0197737706,0,0
6,0.834059371000194,1,101,19525161,0,251352,8565584,0,0.0,15.80078125,189683.5024187602,0,0
7,0.8564357479999671,2,93,19592959,0,251352,8641610,0,0.0,31.083984375,189876.16409804346,0,0
8,0.7959149519999755,1,97,19577933,0,251352,8588749,0,0.0,16.925222396850586,190369.07089241222,0,0
9,0.7985732679999273,1,92,19545876,0,251352,8593709,0,0.0,18.44954490661621,190715.25638084742,0,0
10,0.8100894159999825,1,96,19627017,0,251352,8682649,0,0.0,22.84402847290039,189085.6291336855,0,0
11,0.8013859399998182,1,101,19682227,0,251352,8642714,0,0.0,19.230859756469727,187537.05570925027,0,0
12,0.892635227000028,0,95,19415438,1,251352,8558314,0,0.0,20.98320770263672,194023.20945071988,0,0
13,0.8895723190000808,1,98,19644838,0,251352,8675795,0,0.0,32.8671875,187183.7403081404,0,0
14,0.9107709679999516,0,107,19594851,1,251352,8639984,0,0.0,31.74609375,188281.5135835195,0,0
15,0.872782935000032,1,105,19704468,0,251352,8691347,0,0.0,24.790008544921875,187832.35264167748,0,0
16,0.8652503490000072,1,99,19583011,0,251352,8626044,0,0.0,15.203441619873047,186447.32727008406,0,0
17,0.8819179250001525,1,91,19712299,0,251352,8671378,0,0.0,18.80599021911621,186022.11324263178,0,0
18,0.8755204669998875,0,110,19509632,1,251352,8569733,0,0.0,19.327381134033203,193017.72376911747,0,0
19,0.8721343800000341,1,97,19622954,0,251352,8658397,0,0.0,38.18760681152344,192869.62229921995,0,0
20,0.8217527100000552,1,101,19685110,0,251352,8662923,0,0.0,28.53580665588379,188396.85714558163,0,0
21,0.7936808990000372,1,94,19669593,0,251352,8662476,0,0.0,44.484375,189435.17906749464,0,0
22,0.8140375030000087,0,95,19581585,1,251352,8679712,0,0.0,23.560197830200195,190505.0828124117,0,0
23,0.7921130459999404,2,94,19622714,0,251352,8687533,0,0.0,19.19156837463379,189489.91703541763,0,0
24,0.8882085109999025,2,107,19704967,0,251352,8656941,0,0.0,26.205078125,187258.34490747005,0,0
25,0.8667922500001168,1,99,19711991,0,251352,8714512,0,0.0,30.6264591217041,187233.22283824533,0,0
26,0.9028005070001655,2,95,19584796,0,251352,8600143,0,0.0,40.639060974121094,189548.52133155358,0,0
27,0.8710214380000707,1,103,19474846,0,251352,8568433,0,0.0,22.91015625,186937.09530379623,0,0
28,0.8394703870001194,1,92,19618557,0,251352,8652578,0,0.0,22.5078125,185230.45100269665,0,0
29,0.8349602490000052,0,98,19552961,1,251352,8650991,0,0.0,25.43359375,189241.81666263193,0,0
30,0.8216528560001279,0,95,19661760,6,251352,8722969,5,0.0,25.9934024810791,191630.7576130461,0,0
31,0.8281041840000398,1,102,19565455,0,251352,8601740,0,0.0,20.05208396911621,190332.31575888395,0,0
32,0.8617051449998598,2,102,19512257,0,251352,8590578,0,0.0,30.5625,192989.4673529053,0,0
33,0.841707974999963,2,94,19648867,0,251352,8674694,0,0.0,41.53645706176758,187461.4437616868,0,0
34,0.832708840000123,1,100,19499443,0,251352,8647768,0,0.0,29.48307228088379,193775.79855433246,0,0
35,0.8614539169998352,2,101,19607094,0,251352,8634736,0,0.0,15.224451065063477,187943.26611310523,0,0
36,0.8984055870000702,1,99,19459939,0,251352,8576489,0,0.0,26.63802146911621,190409.1764198281,0,0
37,0.8928138380001656,1,102,19535975,0,251352,8557841,0,0.0,51.40208435058594,191774.49698009714,0,0
38,0.8775334839999687,0,98,19569368,3,251352,8634401,0,0.0,20.585378646850586,191363.66841369309,0,0
39,0.8991079760000957,0,100,19553169,2,251352,8675443,0,0.0,35.85221481323242,187786.17099934502,0,0
40,0.8193094410000867,1,92,19680852,0,251352,8663994,0,0.0,37.31705856323242,189584.23223269545,0,0
41,0.8045074659999045,1,98,19472571,0,251352,8614656,0,0.0,19.71484375,190011.39802808687,0,0
42,0.8131544410000515,1,102,19660829,0,251352,8696669,0,0.0,17.624387741088867,190405.21559235267,0,0
43,0.7896879750001062,0,95,19577641,1,251352,8659697,0,0.0,54.29752731323242,189749.7405253863,0,0
44,0.8449185750000652,1,97,19381937,0,251352,8526071,0,0.0,16.86849021911621,193828.6025545653,0,0
45,0.8158591740000247,1,99,19692677,0,251352,8605794,0,0.0,19.547300338745117,188681.04745136574,0,0
46,0.8388134570000148,1,94,19411031,0,251352,8531023,0,0.0,15.877249717712402,192586.83826235402,0,0
47,0.8189335130000472,1,105,19718223,0,251352,8669259,0,0.0,22.93359375,190853.35554619785,0,0
48,0.8391162049999821,2,103,19748221,0,251352,8700613,0,0.0,21.24088478088379,190728.8482271491,0,0
49,0.8329459299998234,1,104,19619383,0,251352,8653733,0,0.0,18.25,188526.08294931566,0,0
50,0.8311004570000478,1,96,19638616,0,251352,8608160,0,0.0,18.880468368530273,191138.75216453988,0,0
51,0.8348556699997971,1,97,19610358,0,251352,8639158,0,0.0,24.68901824951172,188356.1659158282,0,0
52,0.8362631509999119,0,95,19560572,5,251352,8643513,0,0.0,19.664838790893555,194366.8881492829,0,0
53,0.8318655890000173,0,98,19549559,4,251352,8633769,0,0.0,27.5546875,188807.87192556018,0,0
54,0.8390508889999637,1,92,19580959,0,251352,8624218,0,0.0,27.96167755126953,193257.70915847085,0,0
55,0.844774735999863,2,103,19567719,0,251352,8636907,0,0.0,21.518299102783203,186161.32867666055,0,0
56,0.8127201069999046,1,100,19562039,0,251352,8630103,0,0.0,70.4453125,187031.7809987422,0,0
57,0.8109207330001027,1,95,19506759,0,251352,8582288,0,0.0,18.79645538330078,188653.53297136538,0,0
58,0.7998934629999894,1,101,19541713,0,251352,8594930,0,0.0,23.41341209411621,192590.12459583487,0,0
59,0.8208578999999645,1,100,19533033,0,251352,8644337,0,0.0,36.43359375,190898.50273550604,0,0
60,0.8529933610000171,1,92,19569091,0,251352,8605584,0,0.0,21.5546875,190929.74269673883,0,0
61,0.8442241779998767,2,94,19544551,0,251352,8617685,0,0.0,19.4140625,187406.24795966642,0,0
62,0.8610643100000743,1,96,19617022,0,251352,8683624,0,0.0,15.145833015441895,186897.18373302137,0,0
63,0.8562075069999082,1,95,19558290,0,251352,8662201,0,0.0,27.735382080078125,192786.21227173693,0,0
64,0.8562444829999549,0,94,19711853,3,251352,8647888,3,0.0,15.576823234558105,187886.9560158914,0,0
65,0.8626812120000977,0,105,19729302,2,251352,8704266,0,0.0,25.144271850585938,189320.8794184737,0,0
66,0.8563980359999732,1,95,19619547,0,251352,8631562,0,0.0,20.49431800842285,189969.38379619597,0,0
67,0.860393509000005,1,105,19584660,0,251352,8609223,0,0.0,48.125,195358.08687534928,0,0
68,0.8535734430001867,1,103,19396743,0,251352,8567741,0,0.0,21.05078125,194366.73784028343,0,0
69,0.8468987730000208,1,108,19487580,0,251352,8610099,0,0.0,49.35078048706055,192501.58324571885,0,0
70,0.8520770359998551,1,96,19555560,0,251352,8652491,0,0.0,32.58203125,190521.8426749236,0,0
71,0.8442342979999466,2,90,19492442,0,251352,8618268,0,0.0,44.30312728881836,191164.50912017934,0,0
72,0.890895085000011,0,104,19732796,2,251352,8679349,0,0.0,22.713672637939453,184892.15568713378,0,0
73,0.8907950860000255,1,98,19540273,0,251352,8621273,0,0.0,42.55533981323242,192841.54239692073,0,0
74,0.8789818199998081,0,98,19535326,2,251352,8584355,0,0.0,41.421875,191789.27360934857,0,0
75,0.887839404000033,1,99,19711986,0,251352,8700318,0,0.0,26.5703125,189501.61424687342,0,0
76,0.8580237720000241,1,99,19491902,0,251352,8639007,0,0.0,23.5390625,190344.13629354653,0,0
77,0.854111236000108,1,94,19479094,0,251352,8613965,0,0.0,25.55054473876953,191788.86569841672,0,0
78,0.8613995010000508,2,91,19640370,0,251352,8656349,0,0.0,30.44596290588379,190485.14595607482,0,0
79,0.8699022179998792,1,102,19463489,0,251352,8584689,0,0.0,21.33246612548828,190681.7871428486,0,0
80,0.841660377999915,0,94,19607973,2,251352,8653717,0,0.0,16.08333396911621,186429.43216932192,0,0
81,0.8606925299998238,0,89,19571152,2,251352,8645304,0,0.0,27.74088478088379,190189.84027161635,0,0
82,0.8863488669999242,1,89,19650797,0,251352,8680131,0,0.0,26.13248634338379,189912.5254131183,0,0
83,0.8533455589999903,2,94,19634730,0,251352,8716281,0,0.0,18.13894271850586,187367.89757728996,0,0
84,0.8710171269999591,1,107,19607059,0,251352,8656565,0,0.0,13.191476821899414,186575.59520087764,0,0
85,0.8577911539998695,0,96,19580886,2,251352,8621146,0,0.0,42.38671875,191096.3806052904,0,0
86,0.8694638409999698,1,97,19481366,0,251352,8521434,0,0.0,28.30078125,192932.66751420032,0,0
87,0.881987325999944,1,112,19398755,0,251352,8574319,0,0.0,28.6015625,194229.4721256015,0,0
88,0.8266910639999878,1,90,19444786,0,251352,8578111,0,0.0,13.225260734558105,191370.4854090982,0,0
89,0.8197902570000224,1,97,19520017,0,251352,8596878,0,0.0,23.68359375,191551.83159580734,0,0
90,0.8067211410000255,1,103,19503248,0,251352,8585146,0,0.0,14.4768648147583,188664.59762056032,0,0
91,0.8421659480000017,1,98,19541473,0,251352,8618864,0,0.0,17.65234375,193441.88663102314,0,0
92,0.8702727499999128,1,96,19673827,0,251352,8651844,0,0.0,46.162109375,189208.0282129231,0,0
93,0.8571256000000176,1,93,19573035,0,251352,8663555,0,0.0,23.605728149414062,190830.41338490974,0,0
94,0.8528581900000063,1,97,19472829,0,251352,8592263,0,0.0,141.423828125,192094.6347485436,0,0
