dataset,candidate,insert_id,material,radius_mm,x_mm,z_mm,ring_radius_mm,roi_radius_mm,nominal_rsp_200mev,mean_rsp,std_rsp,bias_rsp,absolute_relative_error
s4,baseline_3sigma,0,Air,7.5,-4.175193028801963,29.70804206224711,30.0,5.5,0.0,6.512956315418705e-05,0.029080912470817566,6.512956315418705e-05,
s4,baseline_3sigma,1,Lung,7.5,-29.544232590366242,5.209445330007912,30.0,5.5,0.25748988758806907,0.2609718441963196,0.026577521115541458,0.003481954336166382,0.013522683642804623
s4,baseline_3sigma,2,A150_Tissue_Plastic,7.5,-14.084146883576722,-26.48842778576781,30.0,5.5,1.1244583097375929,1.1401822566986084,0.028407689183950424,0.01572394371032715,0.013983571901917458
s4,baseline_3sigma,3,SpineBone,7.5,20.83975111376992,-21.58019401015953,30.0,5.5,1.3215450211843316,1.3364208936691284,0.03030385635793209,0.01487588882446289,0.011256437748670578
s4,baseline_3sigma,4,Aluminium,7.5,26.96382138897501,13.151134403672323,30.0,5.5,2.1021010459005205,2.107609510421753,0.03239108994603157,0.0055084228515625,0.00262043671682477
s4,baseline_3sigma,5,Air,7.5,-31.795155853992295,50.88288576938556,60.0,5.5,0.0,0.0009249481954611838,0.024499276652932167,0.0009249481954611838,
s4,baseline_3sigma,6,Lung,7.5,-58.21774357655979,-14.515313735980067,60.0,5.5,0.25748988758806907,0.26067832112312317,0.026717601343989372,0.0031884312629699707,0.012382743880152702
s4,baseline_3sigma,7,A150_Tissue_Plastic,7.5,-4.185388424647531,-59.853843015589455,60.0,5.5,1.1244583097375929,1.1393572092056274,0.03148166462779045,0.014898896217346191,0.013249843381345272
s4,baseline_3sigma,8,SpineBone,7.5,55.63103127400724,-22.47639560495474,60.0,5.5,1.3215450211843316,1.3383455276489258,0.03360525518655777,0.016800522804260254,0.01271278876811266
s4,baseline_3sigma,9,Aluminium,7.5,38.567256581192375,45.96266658713867,60.0,5.5,2.1021010459005205,2.1143808364868164,0.03441812843084335,0.012279748916625977,0.005841654725372791
s4,baseline_3sigma,10,Air,7.5,-70.46819366717855,47.53139679501348,85.0,5.5,0.0,0.0017963015707209706,0.029109282419085503,0.0017963015707209706,
s4,baseline_3sigma,11,Lung,7.5,-66.98091405657136,-52.33122540268096,85.0,5.5,0.25748988758806907,0.26251715421676636,0.030115528032183647,0.005027264356613159,0.019524123519659042
s4,baseline_3sigma,12,A150_Tissue_Plastic,7.5,29.071712182681836,-79.87387276680222,85.0,5.5,1.1244583097375929,1.138803243637085,0.04671996831893921,0.014344930648803711,0.012757192365825176
s4,baseline_3sigma,13,SpineBone,7.5,84.94822029662313,2.966457219712609,85.0,5.5,1.3215450211843316,1.338974952697754,0.03178409859538078,0.01742994785308838,0.013189068995416164
s4,baseline_3sigma,14,Aluminium,7.5,23.42917524444491,81.7072441547571,85.0,5.5,2.1021010459005205,2.1186764240264893,0.03231196478009224,0.016575336456298828,0.007885128259658813
s4,baseline_3sigma,15,Aluminium,2.5,0.0,0.0,0.0,0.5,2.1021010459005205,2.0775694847106934,0.01606607250869274,-0.02453160285949707,0.011670039966702461
s4,median_mad,0,Air,7.5,-4.175193028801963,29.70804206224711,30.0,5.5,0.0,-0.00042540577123872936,0.028713053092360497,-0.00042540577123872936,
s4,median_mad,1,Lung,7.5,-29.544232590366242,5.209445330007912,30.0,5.5,0.25748988758806907,0.26057136058807373,0.026595693081617355,0.0030814707279205322,0.01196734607219696
s4,median_mad,2,A150_Tissue_Plastic,7.5,-14.084146883576722,-26.48842778576781,30.0,5.5,1.1244583097375929,1.1400595903396606,0.028032811358571053,0.015601277351379395,0.013874482363462448
s4,median_mad,3,SpineBone,7.5,20.83975111376992,-21.58019401015953,30.0,5.5,1.3215450211843316,1.3361120223999023,0.030916979536414146,0.014567017555236816,0.01102271769195795
s4,median_mad,4,Aluminium,7.5,26.96382138897501,13.151134403672323,30.0,5.5,2.1021010459005205,2.109762191772461,0.03196560963988304,0.007661104202270508,0.0036444985307753086
s4,median_mad,5,Air,7.5,-31.795155853992295,50.88288576938556,60.0,5.5,0.0,0.001541289035230875,0.023603003472089767,0.001541289035230875,
s4,median_mad,6,Lung,7.5,-58.21774357655979,-14.515313735980067,60.0,5.5,0.25748988758806907,0.26068705320358276,0.027250396087765694,0.0031971633434295654,0.012416656129062176
s4,median_mad,7,A150_Tissue_Plastic,7.5,-4.185388424647531,-59.853843015589455,60.0,5.5,1.1244583097375929,1.1396197080612183,0.03115038387477398,0.015161395072937012,0.013483287766575813
s4,median_mad,8,SpineBone,7.5,55.63103127400724,-22.47639560495474,60.0,5.5,1.3215450211843316,1.3384490013122559,0.03336246684193611,0.016903996467590332,0.012791086919605732
s4,median_mad,9,Aluminium,7.5,38.567256581192375,45.96266658713867,60.0,5.5,2.1021010459005205,2.115114450454712,0.032408323138952255,0.013013362884521484,0.006190645508468151
s4,median_mad,10,Air,7.5,-70.46819366717855,47.53139679501348,85.0,5.5,0.0,0.002277820371091366,0.028808342292904854,0.002277820371091366,
s4,median_mad,11,Lung,7.5,-66.98091405657136,-52.33122540268096,85.0,5.5,0.25748988758806907,0.262716680765152,0.030368555337190628,0.005226790904998779,0.020299013704061508
s4,median_mad,12,A150_Tissue_Plastic,7.5,29.071712182681836,-79.87387276680222,85.0,5.5,1.1244583097375929,1.1379600763320923,0.050506964325904846,0.013501763343811035,0.012007349170744419
s4,median_mad,13,SpineBone,7.5,84.94822029662313,2.966457219712609,85.0,5.5,1.3215450211843316,1.338674783706665,0.03409469500184059,0.01712977886199951,0.012961933389306068
s4,median_mad,14,Aluminium,7.5,23.42917524444491,81.7072441547571,85.0,5.5,2.1021010459005205,2.1183929443359375,0.03241242468357086,0.01629185676574707,0.007750272750854492
s4,median_mad,15,Aluminium,2.5,0.0,0.0,0.0,0.5,2.1021010459005205,2.0933995246887207,0.01913468725979328,-0.008701562881469727,0.004139459691941738
s4,robust_mahalanobis,0,Air,7.5,-4.175193028801963,29.70804206224711,30.0,5.5,0.0,9.604917431715876e-05,0.02869645319879055,9.604917431715876e-05,
s4,robust_mahalanobis,1,Lung,7.5,-29.544232590366242,5.209445330007912,30.0,5.5,0.25748988758806907,0.2606487572193146,0.02678941749036312,0.003158867359161377,0.012267927639186382
s4,robust_mahalanobis,2,A150_Tissue_Plastic,7.5,-14.084146883576722,-26.48842778576781,30.0,5.5,1.1244583097375929,1.1401329040527344,0.027862371876835823,0.015674591064453125,0.013939681462943554
s4,robust_mahalanobis,3,SpineBone,7.5,20.83975111376992,-21.58019401015953,30.0,5.5,1.3215450211843316,1.3364063501358032,0.030021725222468376,0.014861345291137695,0.011245432309806347
s4,robust_mahalanobis,4,Aluminium,7.5,26.96382138897501,13.151134403672323,30.0,5.5,2.1021010459005205,2.1086654663085938,0.03220948949456215,0.00656437873840332,0.0031227702274918556
s4,robust_mahalanobis,5,Air,7.5,-31.795155853992295,50.88288576938556,60.0,5.5,0.0,0.0012744184350594878,0.02371017262339592,0.0012744184350594878,
s4,robust_mahalanobis,6,Lung,7.5,-58.21774357655979,-14.515313735980067,60.0,5.5,0.25748988758806907,0.26062941551208496,0.026453711092472076,0.0031395256519317627,0.012192811816930771
s4,robust_mahalanobis,7,A150_Tissue_Plastic,7.5,-4.185388424647531,-59.853843015589455,60.0,5.5,1.1244583097375929,1.1393530368804932,0.030939264222979546,0.014894723892211914,0.013246132992208004
