run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative,dataset,candidate,selected_train,reused,finite
37,0.5472175100003369,0,61,12821199,7,251352,5963960,0,0.0,37.7734375,260794.21095965552,0,0,s3,baseline_3sigma,51844,False,True
38,0.584103460998449,0,61,12910349,2,251352,5937465,0,0.0,36.98125076293945,257427.2065455946,0,0,s3,baseline_3sigma,52126,False,True
39,0.5787641950009856,1,61,12763054,0,251352,5892551,0,0.0,19.36172866821289,260315.67544809295,0,0,s3,baseline_3sigma,51630,False,True
40,0.5587262050030404,0,60,12903675,5,251352,5967062,0,0.0,40.750064849853516,264096.8028313278,0,0,s3,baseline_3sigma,52422,False,True
41,0.5329102359974058,1,60,12789348,0,251352,5910016,0,0.0,30.24701690673828,262813.93605122855,0,0,s3,baseline_3sigma,51805,False,True
42,0.5867639680000138,0,62,12828743,2,251352,5907297,0,0.0,27.500259399414062,261838.11862060757,0,0,s3,baseline_3sigma,51902,False,True
43,0.5979403570017894,0,64,12894823,6,251352,5980134,0,0.0,138.9684295654297,261281.9683363097,0,0,s3,baseline_3sigma,52130,False,True
44,0.5338602510018973,0,59,12640699,7,251352,5825982,0,0.0,30.040363311767578,264799.7638521648,0,0,s3,baseline_3sigma,51499,False,True
45,0.5335997420042986,1,65,12867532,0,251352,5905819,0,0.0,28.518430709838867,261101.1658589499,0,0,s3,baseline_3sigma,51939,False,True
46,0.6056712060017162,1,62,12822058,0,251352,5906079,0,0.0,70.23102569580078,262547.5220869136,0,0,s3,baseline_3sigma,51933,False,True
47,0.6142003159984597,0,63,12880961,3,251352,5977195,0,0.0,27.89095115661621,256532.8744689907,0,0,s3,baseline_3sigma,52328,False,True
48,0.5834495919989422,0,65,12789593,1,251352,5848915,0,0.0,31.87137222290039,259276.5283942754,0,0,s3,baseline_3sigma,51884,False,True
49,0.5309922250016825,1,72,12827342,0,251352,5922774,0,0.0,24.626953125,264672.8327021832,0,0,s3,baseline_3sigma,52021,False,True
50,0.589437030001136,1,67,12850907,0,251352,5913984,0,0.0,40.60602569580078,259259.08519460703,0,0,s3,baseline_3sigma,51960,False,True
51,0.594357250003668,0,57,12938818,21,251352,5985728,0,0.0,54.203125,254727.9651066975,0,0,s3,baseline_3sigma,52416,False,True
52,0.5397690009995131,0,60,12880006,7,251352,5949535,0,0.0,54.03125,260274.75791643927,0,0,s3,baseline_3sigma,52162,False,True
53,0.5516610350023257,1,61,12887504,0,251352,5903358,0,0.0,47.76171875,257977.0047204504,0,0,s3,baseline_3sigma,52021,False,True
54,0.6129980540063116,1,65,12745796,0,251352,5899565,0,0.0,57.128387451171875,267833.5238705588,0,0,s3,baseline_3sigma,51603,False,True
55,0.6034286259964574,0,60,12784246,2,251352,5908438,0,0.0,29.490234375,265184.57249817,0,0,s3,baseline_3sigma,51923,False,True
56,0.5242336850060383,1,62,12708612,0,251352,5858378,0,0.0,32.31547546386719,263839.68557029666,0,0,s3,baseline_3sigma,51734,False,True
57,0.5764228569969418,1,60,12834685,0,251352,5909495,0,0.0,52.044921875,265504.0464396382,0,0,s3,baseline_3sigma,51810,False,True
58,0.5424251110016485,0,61,12919966,11,251352,5959616,0,0.0,30.91275978088379,259524.19919289483,0,0,s3,baseline_3sigma,52192,False,True
59,0.64306384199881,0,62,12869956,5,251352,5964860,0,0.0,50.19791793823242,262296.8726471438,0,0,s3,baseline_3sigma,52110,False,True
60,0.5548557389993221,0,62,12884916,2,251352,5923493,0,0.0,48.40592575073242,260273.46911993407,0,0,s3,baseline_3sigma,52103,False,True
61,0.5922811700002057,1,59,12749280,0,251352,5879232,0,0.0,66.29036712646484,268089.95974022744,0,0,s3,baseline_3sigma,51586,False,True
62,0.5271251540034427,0,63,12880194,4,251352,5939621,0,0.0,56.18671798706055,258346.320407179,0,0,s3,baseline_3sigma,52249,False,True
63,0.6610127890016884,0,66,12823301,7,251352,5896821,0,0.0,33.69140625,264397.320692649,0,0,s3,baseline_3sigma,52086,False,True
64,0.6054786780005088,0,63,12820559,7,251352,5927837,0,0.0,80.66015625,259279.4286391018,0,0,s3,baseline_3sigma,51939,False,True
65,0.5626283719975618,1,62,12924194,0,251352,5954521,0,0.0,20.318750381469727,255607.34471642767,0,0,s3,baseline_3sigma,52400,False,True
66,0.5264867779987981,0,63,12747655,1,251352,5851428,0,0.0,47.76939010620117,266302.28572065313,0,0,s3,baseline_3sigma,51752,False,True
67,0.5551700050054933,1,61,12816008,0,251352,5899178,0,0.0,188.3645782470703,266912.78953991755,0,0,s3,baseline_3sigma,51991,False,True
68,0.5177719120038091,0,58,12706423,2,251352,5880722,0,0.0,52.865623474121094,268245.4145155675,0,0,s3,baseline_3sigma,51558,False,True
69,0.6227265039997292,1,64,12862369,0,251352,5918852,0,0.0,54.53125,260074.57148614607,0,0,s3,baseline_3sigma,51888,False,True
70,0.5891458359983517,1,61,12877488,0,251352,5931827,0,0.0,20.514583587646484,259922.3638347271,0,0,s3,baseline_3sigma,51918,False,True
71,0.5573992030040245,0,69,12850074,5,251352,5891269,0,0.0,34.19921875,259589.36783082748,0,0,s3,baseline_3sigma,51957,False,True
72,0.6067351849997067,1,59,12833400,0,251352,5920152,0,0.0,33.87619400024414,263467.9252852842,0,0,s3,baseline_3sigma,51968,False,True
