dataset,candidate,fdk_seconds,image_path,finite,image_min,image_max,water_core_mean_rsp,water_core_std_rsp,water_bias_vs_fixed_rsp,water_bias_vs_effective_rsp,phantom_rmse_vs_fixed_rsp,phantom_rmse_vs_effective_rsp,boundary_inner_rmse_vs_fixed_rsp,boundary_inner_rmse_vs_effective_rsp,outside_100_105_rmse_rsp,outside_100_105_mean_abs_rsp,outside_100_105_peak_abs_rsp,edge_r90_mm,edge_r10_mm,edge_10_90_width_mm,water_core_clearance_from_material_mm,phantom_rmse_vs_nominal_rsp,phantom_mae_vs_nominal_rsp,material_mape_non_air,material_max_ape_non_air
s2,baseline_3sigma,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage3/analytic/baseline_3sigma/recon.mhd,True,-0.22049880027770996,1.1211000680923462,1.0137759447097778,0.01810680329799652,0.013775944709777832,0.0002582073211669922,0.02897693695481598,0.026229003637529863,0.042837390363696104,0.043022278804253064,0.07666557708564564,0.029785078018903732,0.6035670638084412,99.67399265661219,100.29932392011585,0.6253312635036679,,,,,
s2,median_mad,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage3/analytic/median_mad/recon.mhd,True,-0.2205202728509903,1.1253403425216675,1.013610601425171,0.01803201250731945,0.013610601425170898,9.28640365600586e-05,0.02940448552334982,0.026776548924572534,0.04502171437353603,0.04521887538747748,0.0748009938521347,0.02913324162364006,0.6012794971466064,99.66584099084737,100.29711076634493,0.6312697754975574,,,,,
s2,robust_mahalanobis,0.0,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage3/analytic/robust_mahalanobis/recon.mhd,True,-0.22026383876800537,1.145873785018921,1.0136646032333374,0.017913639545440674,0.013664603233337402,0.0001468658447265625,0.030974231969000766,0.02847462601405301,0.05097947232456553,0.0511562168453616,0.07105905232063293,0.028393985703587532,0.5706285238265991,99.64738692076006,100.29424204035543,0.6468551195953722,,,,,
s4,baseline_3sigma,0.0,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage3/analytic/baseline_3sigma/recon.mhd,True,-0.41483765840530396,2.239819049835205,1.0137221813201904,0.03168470412492752,,,,,,,,,,,,,2.0,0.05401581630556423,0.03284510597586632,0.011584285682497116,0.019524123519659042
s4,median_mad,0.0,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage3/analytic/median_mad/recon.mhd,True,-0.47934821248054504,2.233851671218872,1.013501763343811,0.031467873603105545,,,,,,,,,,,,,2.0,0.05411785466413654,0.03267926722764969,0.010965288437616367,0.020299013704061508
s4,robust_mahalanobis,0.0,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage3/analytic/robust_mahalanobis/recon.mhd,True,-0.413738489151001,2.2286596298217773,1.013574481010437,0.031386375427246094,,,,,,,,,,,,,2.0,0.05475491238069168,0.03283611312508583,0.011470637212579068,0.020626215264201164
