run_id,ddb_seconds,count_min,count_max,count_sum,zero_count,object_pixels,object_count_sum,object_zero_count,variance_min,variance_max,variance_sum,variance_nonfinite,variance_negative,dataset,candidate,selected_train,reused,finite
0,12.029137646997697,0,65,12824359,4,251352,5851171,0,0.0,95.19791412353516,430706.9266872582,0,0,s5,baseline_3sigma,52063,False,True
1,11.939276438002707,0,57,12629826,1,251352,5795591,0,0.0,89.53515625,465744.71408542653,0,0,s5,baseline_3sigma,51494,False,True
2,11.958849458002078,0,59,12696615,6,251352,5826250,0,0.0,124.18359375,443322.95609975216,0,0,s5,baseline_3sigma,51667,False,True
3,11.915680746998987,0,60,12600475,2,251352,5794564,0,0.0,300.38671875,439901.18167172617,0,0,s5,baseline_3sigma,51393,False,True
4,0.5605560129988589,0,59,12745052,7,251352,5843172,0,0.0,216.7421875,450946.0738224479,0,0,s5,baseline_3sigma,51798,False,True
5,0.5479088209976908,1,59,12724453,0,251352,5816443,0,0.0,144.703125,437065.43035519286,0,0,s5,baseline_3sigma,51766,False,True
6,0.5854462299976149,0,67,12743819,6,251352,5859633,0,0.0,323.6640625,434188.67646348994,0,0,s5,baseline_3sigma,51870,False,True
7,0.5655296380064101,0,61,12716627,8,251352,5855924,0,0.0,78.828125,424078.2162377045,0,0,s5,baseline_3sigma,51918,False,True
8,0.5543442369962577,1,62,12632324,0,251352,5799024,0,0.0,107.03515625,418085.903148135,0,0,s5,baseline_3sigma,51526,False,True
9,0.5502941710001323,0,65,12697496,8,251352,5788097,0,0.0,99.421875,421935.42619836645,0,0,s5,baseline_3sigma,51681,False,True
10,0.5552413810000871,0,69,12749762,4,251352,5809518,0,0.0,99.94400787353516,405149.2595364501,0,0,s5,baseline_3sigma,52028,False,True
11,0.5527199269999983,0,68,12723958,7,251352,5806368,4,0.0,214.873046875,398451.76882086974,0,0,s5,baseline_3sigma,51678,False,True
12,0.5233572510041995,0,58,12760049,8,251352,5820765,0,0.0,178.3307342529297,397316.00779151934,0,0,s5,baseline_3sigma,51853,False,True
13,0.5438582290007616,0,58,12605175,1,251352,5771259,0,0.0,100.99739837646484,394012.0020743004,0,0,s5,baseline_3sigma,51608,False,True
14,0.5758518790025846,0,63,12584975,6,251352,5740161,6,0.0,84.80078125,390209.78885749826,0,0,s5,baseline_3sigma,51359,False,True
15,0.5844064480043016,0,59,12688645,20,251352,5830291,0,0.0,92.01953125,381653.39441495773,0,0,s5,baseline_3sigma,51975,False,True
16,0.5217465460009407,1,63,12662898,0,251352,5816805,0,0.0,92.09375,378763.6976593179,0,0,s5,baseline_3sigma,51564,False,True
17,0.5716013800047222,0,60,12759756,1,251352,5796691,0,0.0,79.609375,359349.23624169925,0,0,s5,baseline_3sigma,52172,False,True
18,0.532555655001488,1,60,12609294,0,251352,5753418,0,0.0,83.037109375,375710.41744960187,0,0,s5,baseline_3sigma,51509,False,True
19,0.5621977750051883,0,71,12687017,3,251352,5808482,0,0.0,55.875,364513.0383001972,0,0,s5,baseline_3sigma,51801,False,True
20,0.5178602480009431,0,63,12586782,19,251352,5750522,2,0.0,65.9453125,370981.2396378115,0,0,s5,baseline_3sigma,51539,False,True
21,0.5814158520006458,0,66,12639541,8,251352,5777878,0,0.0,86.2210922241211,363465.74274765473,0,0,s5,baseline_3sigma,51711,False,True
22,0.5858173680026084,0,67,12708054,18,251352,5801546,0,0.0,84.62890625,369588.95832297916,0,0,s5,baseline_3sigma,51868,False,True
23,0.568308916001115,0,61,12702446,8,251352,5808551,0,0.0,100.3359375,359846.5795168051,0,0,s5,baseline_3sigma,51774,False,True
24,0.5482516749980277,1,62,12677865,0,251352,5800300,0,0.0,133.73828125,357460.8517520613,0,0,s5,baseline_3sigma,51927,False,True
25,0.5350685980010894,0,67,12695362,7,251352,5816935,0,0.0,67.87630462646484,359830.09613099217,0,0,s5,baseline_3sigma,51569,False,True
26,0.5412562120036455,0,58,12689334,22,251352,5797749,0,0.0,105.8828125,360476.26984197996,0,0,s5,baseline_3sigma,51863,False,True
27,0.5786879509978462,0,63,12670575,7,251352,5754266,0,0.0,82.5625,352423.3089230373,0,0,s5,baseline_3sigma,51696,False,True
28,0.5389641299989307,0,69,12675113,11,251352,5765740,0,0.0,283.4231872558594,370715.7547995312,0,0,s5,baseline_3sigma,51761,False,True
29,0.5183352109961561,0,63,12724759,10,251352,5848525,0,0.0,135.19921875,356082.96009353304,0,0,s5,baseline_3sigma,51944,False,True
30,0.5293305230006808,0,60,12573089,4,251352,5745105,0,0.0,99.0703125,368012.7759056518,0,0,s5,baseline_3sigma,51320,False,True
31,0.5912306749960408,1,58,12628318,0,251352,5778055,0,0.0,95.23046875,366171.12827249966,0,0,s5,baseline_3sigma,51966,False,True
32,0.5414558069969644,0,64,12751300,1,251352,5841284,0,0.0,90.173828125,351815.02548437414,0,0,s5,baseline_3sigma,52003,False,True
33,0.5253628580030636,1,63,12629311,0,251352,5755890,0,0.0,129.125,355371.2218198695,0,0,s5,baseline_3sigma,51734,False,True
34,0.5429054150008596,0,62,12612073,7,251352,5742733,0,0.0,49.77669143676758,352896.26204753044,0,0,s5,baseline_3sigma,51635,False,True
35,0.5108687399988412,0,69,12608962,10,251352,5768432,0,0.0,151.3522186279297,352267.89065725275,0,0,s5,baseline_3sigma,51542,False,True
36,0.5818303220003145,0,59,12726308,20,251352,5790721,0,0.0,65.54296875,354515.90622390696,0,0,s5,baseline_3sigma,51906,False,True
37,0.5774087360041449,0,57,12534959,10,251352,5733141,0,0.0,289.619140625,358388.6457351291,0,0,s5,baseline_3sigma,51227,False,True
38,0.5236301260010805,0,58,12600553,3,251352,5743823,0,0.0,49.77473831176758,341024.4609766494,0,0,s5,baseline_3sigma,51733,False,True
39,0.6029587189987069,0,61,12743953,13,251352,5798683,0,0.0,120.58853912353516,345725.30734589143,0,0,s5,baseline_3sigma,51642,False,True
40,0.5656415630000993,0,65,12777290,3,251352,5845541,0,0.0,43.031768798828125,347079.89485025604,0,0,s5,baseline_3sigma,52262,False,True
41,0.5598627219951595,0,63,12755371,2,251352,5818433,0,0.0,115.369140625,354443.5488089123,0,0,s5,baseline_3sigma,51812,False,True
42,0.5436115940028685,1,63,12579280,0,251352,5768120,0,0.0,72.71484375,342146.86276212934,0,0,s5,baseline_3sigma,51714,False,True
43,0.5450333970002248,0,59,12706321,5,251352,5829836,0,0.0,202.7421875,352770.14133634995,0,0,s5,baseline_3sigma,51793,False,True
44,0.5704229590046452,0,62,12708015,2,251352,5830431,2,0.0,75.74609375,344004.39526961715,0,0,s5,baseline_3sigma,51902,False,True
45,0.5955984840038582,1,65,12624976,0,251352,5759703,0,0.0,52.0625,344461.41643557476,0,0,s5,baseline_3sigma,51752,False,True
46,0.5638514050006052,0,64,12669045,3,251352,5791117,0,0.0,81.5546875,340934.8688628315,0,0,s5,baseline_3sigma,51454,False,True
47,0.5217571629982558,0,63,12685588,2,251352,5780245,0,0.0,96.671875,346960.897170465,0,0,s5,baseline_3sigma,51821,False,True
48,0.517699588999676,0,63,12724126,1,251352,5817589,0,0.0,68.06640625,341577.8329847001,0,0,s5,baseline_3sigma,51824,False,True
49,0.5576911839962122,0,61,12582212,4,251352,5737415,3,0.0,62.9453125,343368.7155471254,0,0,s5,baseline_3sigma,51415,False,True
50,0.575089730999025,0,60,12784384,8,251352,5828490,6,0.0,81.1171875,336541.84615753376,0,0,s5,baseline_3sigma,51944,False,True
51,0.5766145430025063,1,69,12696315,0,251352,5797964,0,0.0,69.08984375,339570.35281921586,0,0,s5,baseline_3sigma,51902,False,True
52,0.5321673680009553,0,59,12657683,2,251352,5775649,2,0.0,45.36979293823242,333634.81518194726,0,0,s5,baseline_3sigma,51684,False,True
53,0.5759482459980063,0,58,12635041,8,251352,5753531,0,0.0,54.43359375,342857.1884692654,0,0,s5,baseline_3sigma,51594,False,True
54,0.5789651710001635,0,62,12696718,3,251352,5813091,1,0.0,65.18359375,341542.5185221837,0,0,s5,baseline_3sigma,51906,False,True
55,0.5593974849980441,1,67,12727090,0,251352,5823651,0,0.0,94.94140625,345774.1943213623,0,0,s5,baseline_3sigma,51904,False,True
56,0.5179735269994126,0,70,12774691,2,251352,5841028,0,0.0,76.74609375,341284.84291531204,0,0,s5,baseline_3sigma,51871,False,True
57,0.5339194970001699,0,63,12510196,6,251352,5730966,4,0.0,60.77766799926758,344663.87096851063,0,0,s5,baseline_3sigma,51579,False,True
58,0.5436461889985367,0,61,12758067,5,251352,5799584,0,0.0,145.4609375,341185.6418020699,0,0,s5,baseline_3sigma,51797,False,True
59,0.5718550009987666,0,61,12766661,4,251352,5838812,3,0.0,63.5859375,344034.5269518693,0,0,s5,baseline_3sigma,51960,False,True
60,0.5896301889952156,0,67,12578897,4,251352,5728864,1,0.0,101.28125,345366.09223145683,0,0,s5,baseline_3sigma,51467,False,True
61,0.6102880010002991,0,63,12686156,12,251352,5769841,8,0.0,39.83073043823242,341564.7899810195,0,0,s5,baseline_3sigma,51616,False,True
62,0.5615407699951902,0,63,12604012,2,251352,5729108,0,0.0,83.51953125,342169.92238414765,0,0,s5,baseline_3sigma,51441,False,True
63,0.5599490230015363,0,60,12646469,7,251352,5801292,2,0.0,69.0625,347232.7675948351,0,0,s5,baseline_3sigma,51796,False,True
64,0.6093039709958248,0,61,12583003,6,251352,5734255,6,0.0,55.22265625,348406.83925089455,0,0,s5,baseline_3sigma,51744,False,True
65,0.5393659680048586,0,58,12659641,15,251352,5773629,10,0.0,108.13671875,346929.41895375925,0,0,s5,baseline_3sigma,51708,False,True
66,0.5420041899997159,1,61,12639529,0,251352,5834460,0,0.0,49.75,336990.812310423,0,0,s5,baseline_3sigma,51716,False,True
67,0.5899945179990027,0,65,12649479,10,251352,5719685,0,0.0,105.98046875,341808.93765441305,0,0,s5,baseline_3sigma,51940,False,True
68,0.536002885994094,0,65,12677173,6,251352,5788515,1,0.0,76.25347137451172,350492.94495463825,0,0,s5,baseline_3sigma,51672,False,True
69,0.5637543699995149,0,65,12787877,6,251352,5819218,0,0.0,65.904296875,331527.73597026657,0,0,s5,baseline_3sigma,52081,False,True
70,0.5954757460058318,0,60,12624790,19,251352,5754917,0,0.0,44.3125,333125.9914535957,0,0,s5,baseline_3sigma,51561,False,True
71,0.578539912996348,0,61,12673847,12,251352,5803725,0,0.0,74.3658218383789,328180.0373447041,0,0,s5,baseline_3sigma,51643,False,True
72,0.49517474299500464,0,58,12632430,11,251352,5761207,0,0.0,120.9609375,343417.5414007245,0,0,s5,baseline_3sigma,51385,False,True
73,0.5191765039999154,0,62,12530369,10,251352,5741907,0,0.0,95.607421875,335224.57002128835,0,0,s5,baseline_3sigma,51499,False,True
74,0.56487262200244,0,62,12661504,9,251352,5735628,4,0.0,143.2897186279297,340436.3733520779,0,0,s5,baseline_3sigma,51589,False,True
75,0.6208616600051755,1,61,12596320,0,251352,5765006,0,0.0,36.42057418823242,337639.2489122587,0,0,s5,baseline_3sigma,51592,False,True
76,0.5616453299953719,0,62,12589959,8,251352,5765784,3,0.0,110.49869537353516,349409.1995728809,0,0,s5,baseline_3sigma,51482,False,True
77,0.5908501330050058,0,63,12632416,10,251352,5776781,7,0.0,72.10546875,340879.0237733491,0,0,s5,baseline_3sigma,51624,False,True
78,0.5839964090046124,1,61,12704437,0,251352,5817527,0,0.0,65.75,337692.57123473205,0,0,s5,baseline_3sigma,51835,False,True
79,0.5812185710019548,0,59,12631314,11,251352,5818292,2,0.0,61.41536331176758,340306.88549248414,0,0,s5,baseline_3sigma,51542,False,True
80,0.5993517440001597,0,66,12654981,7,251352,5770582,2,0.0,86.2578125,344325.95089849416,0,0,s5,baseline_3sigma,51791,False,True
81,0.5619625089966576,0,62,12706273,8,251352,5815736,0,0.0,56.556640625,341062.7125187715,0,0,s5,baseline_3sigma,51736,False,True
82,0.6211263930017594,0,60,12732159,8,251352,5812294,6,0.0,65.05859375,336601.1505893714,0,0,s5,baseline_3sigma,52001,False,True
83,0.5806381879956461,0,59,12646041,4,251352,5750079,0,0.0,43.08723831176758,338751.13684016984,0,0,s5,baseline_3sigma,51680,False,True
84,0.6098327330037137,0,61,12685634,21,251352,5788419,0,0.0,151.67578125,341343.37859961507,0,0,s5,baseline_3sigma,51649,False,True
85,0.558744749003381,0,57,12713670,3,251352,5835334,0,0.0,63.609375,347091.18632549286,0,0,s5,baseline_3sigma,52015,False,True
86,0.554121919994941,0,60,12524531,3,251352,5749422,0,0.0,88.63041687011719,345531.6969846619,0,0,s5,baseline_3sigma,51622,False,True
87,0.5719623280019732,0,63,12719075,6,251352,5812995,0,0.0,132.578125,334946.99862528284,0,0,s5,baseline_3sigma,51951,False,True
88,0.555429121995985,0,60,12635995,4,251352,5739311,0,0.0,51.28766632080078,334947.47838032333,0,0,s5,baseline_3sigma,51548,False,True
89,0.5625965649960563,0,60,12606530,3,251352,5771363,0,0.0,54.75390625,327874.0619353837,0,0,s5,baseline_3sigma,51455,False,True
90,0.579422198003158,0,63,12700057,14,251352,5825615,5,0.0,28.392078399658203,326564.97095534246,0,0,s5,baseline_3sigma,51859,False,True
91,0.5743246459969669,0,64,12705973,7,251352,5797965,0,0.0,79.14810943603516,334413.94712755503,0,0,s5,baseline_3sigma,51862,False,True
92,0.6080545139993774,1,62,12615293,0,251352,5739990,0,0.0,100.310546875,328776.77478763275,0,0,s5,baseline_3sigma,51750,False,True
93,0.580146350999712,0,60,12655636,9,251352,5739976,0,0.0,74.09114837646484,324153.314245019,0,0,s5,baseline_3sigma,51844,False,True
94,0.6126967730015167,0,62,12769721,5,251352,5867495,0,0.0,39.578125,322020.66950797103,0,0,s5,baseline_3sigma,51972,False,True
95,0.5724360849999357,0,62,12665148,8,251352,5809891,0,0.0,164.51171875,330042.1400017443,0,0,s5,baseline_3sigma,51438,False,True
96,0.57322565800132,0,61,12588050,2,251352,5747213,0,0.0,55.30859375,333373.0742895435,0,0,s5,baseline_3sigma,51201,False,True
97,0.5723615620008786,0,65,12652986,7,251352,5824991,7,0.0,103.80078125,333446.8101486413,0,0,s5,baseline_3sigma,51562,False,True
98,0.552045286000066,0,61,12632295,11,251352,5778514,0,0.0,80.1640625,347886.58350596594,0,0,s5,baseline_3sigma,51666,False,True
99,0.532560529994953,0,60,12702048,12,251352,5781410,0,0.0,76.6484375,341987.4105158823,0,0,s5,baseline_3sigma,51870,False,True
100,0.578739778000454,0,60,12770482,2,251352,5790637,0,0.0,120.74791717529297,334634.1750750186,0,0,s5,baseline_3sigma,52032,False,True
101,0.5845392570045078,1,62,12710547,0,251352,5833847,0,0.0,101.75,333868.44602442347,0,0,s5,baseline_3sigma,52050,False,True
102,0.6144859029955114,0,65,12699565,3,251352,5794483,1,0.0,76.22265625,334604.7048774065,0,0,s5,baseline_3sigma,51930,False,True
103,0.5919593750004424,0,64,12606375,2,251352,5731634,0,0.0,34.75390625,339149.273264947,0,0,s5,baseline_3sigma,51435,False,True
104,0.5879093969997484,0,60,12636450,11,251352,5825773,11,0.0,55.165924072265625,336549.8464118998,0,0,s5,baseline_3sigma,51566,False,True
105,0.5669793280030717,1,59,12675088,0,251352,5816408,0,0.0,63.41796875,337039.41149480606,0,0,s5,baseline_3sigma,51749,False,True
106,0.5529525870006182,0,62,12698229,8,251352,5792213,0,0.0,92.85546875,339289.32957965345,0,0,s5,baseline_3sigma,51706,False,True
