dataset,candidate,run_id,reused,finite
s2,baseline_3sigma,176,True,True
s2,baseline_3sigma,177,True,True
s2,baseline_3sigma,178,True,True
s2,baseline_3sigma,179,True,True
s2,baseline_3sigma,180,True,True
s2,baseline_3sigma,181,True,True
s2,baseline_3sigma,182,True,True
s2,baseline_3sigma,183,True,True
s2,baseline_3sigma,184,True,True
s2,baseline_3sigma,185,True,True
s2,baseline_3sigma,186,True,True
s2,baseline_3sigma,187,True,True
s2,baseline_3sigma,188,True,True
s2,baseline_3sigma,189,True,True
s2,baseline_3sigma,190,True,True
s2,baseline_3sigma,191,True,True
s2,baseline_3sigma,192,True,True
s2,baseline_3sigma,193,True,True
s2,baseline_3sigma,194,True,True
s2,baseline_3sigma,195,True,True
s2,baseline_3sigma,196,True,True
s2,baseline_3sigma,197,True,True
s2,baseline_3sigma,198,True,True
s2,baseline_3sigma,199,True,True
s2,baseline_3sigma,200,True,True
s2,baseline_3sigma,201,True,True
s2,baseline_3sigma,202,True,True
s2,baseline_3sigma,203,True,True
s2,baseline_3sigma,204,True,True
s2,baseline_3sigma,205,True,True
s2,baseline_3sigma,206,True,True
s2,baseline_3sigma,207,True,True
s2,baseline_3sigma,208,True,True
s2,baseline_3sigma,209,True,True
s2,baseline_3sigma,210,True,True
s2,baseline_3sigma,211,True,True
s2,baseline_3sigma,212,True,True
s2,baseline_3sigma,213,True,True
s2,baseline_3sigma,214,True,True
s2,baseline_3sigma,215,True,True
s2,baseline_3sigma,216,True,True
s2,baseline_3sigma,217,True,True
s2,baseline_3sigma,218,True,True
s2,baseline_3sigma,219,True,True
s2,baseline_3sigma,220,True,True
s2,baseline_3sigma,221,True,True
s2,baseline_3sigma,222,True,True
s2,baseline_3sigma,223,True,True
s2,baseline_3sigma,224,True,True
s2,baseline_3sigma,225,True,True
s2,baseline_3sigma,226,True,True
s2,baseline_3sigma,227,True,True
s2,baseline_3sigma,228,True,True
s2,baseline_3sigma,229,True,True
s2,baseline_3sigma,230,True,True
s2,baseline_3sigma,231,True,True
s2,baseline_3sigma,232,True,True
s2,baseline_3sigma,233,True,True
s2,baseline_3sigma,234,True,True
s2,baseline_3sigma,235,True,True
s2,baseline_3sigma,236,True,True
s2,baseline_3sigma,237,True,True
s2,baseline_3sigma,238,True,True
s2,baseline_3sigma,239,True,True
s2,baseline_3sigma,240,True,True
s2,baseline_3sigma,241,True,True
s2,baseline_3sigma,242,True,True
s2,baseline_3sigma,243,True,True
s2,baseline_3sigma,244,True,True
s2,baseline_3sigma,245,True,True
s2,baseline_3sigma,246,True,True
s2,baseline_3sigma,247,True,True
s2,baseline_3sigma,248,True,True
s2,baseline_3sigma,249,True,True
s2,baseline_3sigma,250,True,True
s2,baseline_3sigma,251,True,True
s2,baseline_3sigma,252,True,True
s2,baseline_3sigma,253,True,True
s2,baseline_3sigma,254,True,True
s2,baseline_3sigma,255,True,True
s2,baseline_3sigma,256,True,True
s2,baseline_3sigma,257,True,True
s2,baseline_3sigma,258,True,True
s2,baseline_3sigma,259,True,True
s2,baseline_3sigma,260,True,True
s2,baseline_3sigma,261,True,True
s2,baseline_3sigma,262,True,True
s2,baseline_3sigma,263,True,True
s2,baseline_3sigma,264,True,True
s2,baseline_3sigma,265,True,True
s2,baseline_3sigma,266,True,True
s2,baseline_3sigma,267,True,True
s2,baseline_3sigma,268,True,True
s2,baseline_3sigma,269,True,True
s2,baseline_3sigma,270,True,True
s2,baseline_3sigma,271,True,True
s2,baseline_3sigma,272,True,True
s2,baseline_3sigma,273,True,True
s2,baseline_3sigma,274,True,True
s2,baseline_3sigma,275,True,True
s2,baseline_3sigma,276,True,True
s2,baseline_3sigma,277,True,True
s2,baseline_3sigma,278,True,True
s2,baseline_3sigma,279,True,True
s2,baseline_3sigma,280,True,True
s2,baseline_3sigma,281,True,True
s2,baseline_3sigma,282,True,True
s2,baseline_3sigma,283,True,True
s2,baseline_3sigma,284,True,True
s2,baseline_3sigma,285,True,True
s2,baseline_3sigma,286,True,True
s2,baseline_3sigma,287,True,True
s2,baseline_3sigma,288,True,True
s2,baseline_3sigma,289,True,True
s2,baseline_3sigma,290,True,True
s2,baseline_3sigma,291,True,True
s2,baseline_3sigma,292,True,True
s2,baseline_3sigma,293,True,True
s2,baseline_3sigma,294,True,True
s2,baseline_3sigma,295,True,True
s2,baseline_3sigma,296,True,True
s2,baseline_3sigma,297,True,True
s2,baseline_3sigma,298,True,True
s2,baseline_3sigma,299,True,True
s2,baseline_3sigma,300,True,True
s2,baseline_3sigma,301,True,True
s2,baseline_3sigma,302,True,True
s2,baseline_3sigma,303,True,True
s2,baseline_3sigma,304,True,True
s2,baseline_3sigma,305,True,True
