dataset,count,passing_deciles,coverage_1sigma,coverage_2sigma,coverage_3sigma
s2,5438456,7,0.6840092114379522,0.9286746091169994,0.9819342107392245
s3,4681655,7,0.6772889074483276,0.9238104900937809,0.9801542403274056
