dataset,run_id,candidate,total,inside,train_total,train_accepted,train_retention,validation_total,validation_accepted,validation_retention,test_total,test_accepted,test_retention,distance_p50,distance_p99
s1,0,baseline_3sigma,394205,301608,315457,233987,0.7417397616790878,39407,29223,0.7415687568198543,39341,29006,0.7372969675402252,0.5818975719178656,5.097472795482406
s1,1,baseline_3sigma,393565,301236,314611,233461,0.7420624199408158,39375,29228,0.7422984126984127,39579,29268,0.7394830591980596,0.584417661523747,5.130838655837848
s1,2,baseline_3sigma,393194,300864,314429,233074,0.7412611432151615,39321,29121,0.7405966277561609,39444,29321,0.7433576716357367,0.5843623248495126,5.12110225045912
s1,3,baseline_3sigma,394066,301999,314860,234069,0.7434065934065934,39441,29286,0.742526812200502,39765,29376,0.7387400980761977,0.5834379677925643,5.160945019530832
s1,4,baseline_3sigma,394414,302012,315619,234386,0.7426232261048923,39252,29068,0.7405482523183532,39543,29328,0.741673621121311,0.587258692769856,5.063904172677218
s1,5,baseline_3sigma,393645,301566,314941,233764,0.7422469605418157,39303,29047,0.7390529984988423,39401,29186,0.7407426207456663,0.5834106355449681,5.154796642841797
s1,6,baseline_3sigma,394604,301737,316038,234370,0.7415880368816408,39230,29106,0.7419321947489167,39336,29224,0.742932682529998,0.580734092309315,5.1096610406851735
s1,7,baseline_3sigma,393868,301278,314931,233455,0.741289361796711,39561,29385,0.7427769773261546,39376,29150,0.7402986590816741,0.5816196287763358,5.047442570975567
s1,8,baseline_3sigma,393563,301571,314781,233860,0.7429292111023219,39484,29368,0.7437949549184479,39298,29001,0.737976487353046,0.5850387587999558,5.104923061474721
s1,9,baseline_3sigma,394033,301264,315027,233426,0.7409714087998807,39667,29320,0.7391534524919958,39339,29108,0.7399272986095223,0.5861670166643941,5.071631183074464
s1,10,baseline_3sigma,392698,300334,314157,232752,0.7408779686589826,39262,29168,0.7429066272731903,39279,29135,0.7417449527737467,0.5848867407712445,5.0936294638778525
s1,11,baseline_3sigma,393584,301383,315046,233719,0.7418567447293412,39418,29311,0.7435942970216652,39120,29017,0.7417433537832311,0.5846659773060314,5.090290536091062
s1,12,baseline_3sigma,394245,301854,315389,233803,0.7413162792614835,39420,29233,0.7415778792491121,39436,29380,0.7450045643574399,0.5824367667509813,5.1126028706602
s1,13,baseline_3sigma,394344,302080,315514,234271,0.742505879295372,39569,29428,0.7437135131036923,39261,29204,0.7438424900028018,0.5776296046683127,5.103633524923702
s1,14,baseline_3sigma,393526,301328,314477,233541,0.7426330065473786,39584,29434,0.7435832659660468,39465,29139,0.7383504370961611,0.5925338659621331,5.076129087675548
s1,15,baseline_3sigma,393604,301483,314930,233773,0.7423014638173563,39237,29049,0.7403471213395519,39437,29225,0.7410553541090854,0.5825359213862479,5.084782484970681
s1,16,baseline_3sigma,392927,300517,314575,233339,0.7417595168083922,39156,28826,0.7361834712432322,39196,28951,0.738621287886519,0.587652980092828,5.112437997779518
s1,17,baseline_3sigma,393857,301073,314970,233350,0.7408642092897736,39544,29315,0.7413261177422618,39343,29188,0.7418854688254581,0.585027981102492,5.116867346012354
s1,18,baseline_3sigma,393003,301029,314191,233439,0.742984363014854,39193,29106,0.7426326129666012,39619,29293,0.7393674752012923,0.5813555390857891,5.120313086092085
s1,19,baseline_3sigma,392268,300445,313114,232321,0.7419693785649955,39630,29403,0.7419379258137775,39524,29315,0.741701244813278,0.5767514471656923,5.06937090013639
s1,20,baseline_3sigma,393322,301310,314639,233445,0.7419455312278516,39300,29190,0.7427480916030534,39383,29373,0.7458294187847548,0.5749245460418051,5.107496174673882
s1,21,baseline_3sigma,392783,300549,314205,233030,0.7416495600006365,38922,28907,0.7426905092235754,39656,29431,0.7421575549727658,0.5836933548417281,5.092587065516893
s1,22,baseline_3sigma,393645,301477,315027,233762,0.7420379840458119,39182,29110,0.7429431881986627,39436,29336,0.743888832538797,0.5837751505313136,5.077904241430525
s1,23,baseline_3sigma,394315,301676,315864,234079,0.7410752729022617,39121,29049,0.7425423685488612,39330,29264,0.7440630561912026,0.5830070826101648,5.1309004919618495
