dataset,run_id,total,train,validation,test,pairs_mhd_sha256,validation_mask_sha256,test_mask_sha256
s2,0,87852,70472,8823,8557,4c738578ece9083114bf286ffdd10d830442a981e1644741da5498ab002118ac,aa2f026699b494b5b653b0e85cd52bf3ddf898fae2dff9ce01658acf3d30888d,e08e849c4232a4598e39de2518b183cd2fb50b9668aaecd2fae799b0758e167f
s2,1,87597,69934,8842,8821,dcb32d1d1ad32263d933668edf2eb636b5d516ee00454d5e3b05415c32061291,ad3bb980621cb4d1693e55e8ace27114ee4c3174f0e0c84d5b3e027210633e30,697acb012883628efe479d890ee66ce8172e0cd85dd49b4e80ea42c57dc06679
s2,2,87639,70131,8724,8784,3caca11e5196a3b0ba3abbe1a494d77f1854ff2007f06b3e5f01833ba3b76ef3,becf3389b17deffb3f696149be5511516206ff2b77e9a2d4e7e865d7cf3a5a9d,b85b254a15fc5f26a55c8b12dcb62d668ebe87daa893d1d65440eac0680d8943
s2,3,88316,70441,8937,8938,4632f628fbb20a28c19c648a6781382919c17246910f50207eeeb05aed4aaf4a,ee121de0ee92016a827ed329932b3494967463b0806f57a4859176540b3ec664,911605ef1f8558ac2973fc96a5b1a672a14f43a250808d089be2b8cfb44b00ff
s2,4,87705,70166,8807,8732,d84be45b994c6312911188abd28da21efd2585ab1261534a1b7a011fceeb14dd,113856bbb8fd4911a704240445475d473a39534de6ade12cf76d2e77eeca4a6a,6d9ddb40c40b59f90c65b359040bcb31c1ae21e698d124dcf4286295f2d98ca4
s2,5,87936,70372,8789,8775,cfa19bed0985b92d09c5c041697aad28b0434475a000d1d1afb5541658ebb139,e413a90d5090ac62be6c028e8c245940b4b72b5efe0382a6c173a13cae3ac33b,b2a73792c560c528371c7b23a0d614e6a5460b3342c0caff1570ec7fe0820a6b
s2,6,87565,70249,8649,8667,e67a146d10f434b768fd181d493077585ffde1e727f8408d5646cfb336a59a9f,505a671761382b246bb755e6e7227f248b0dad5394a63c2c8616ff54b17f1c89,cb2cd09e22e918082dce6905891e654e7003dc5f73e477cf64b87805ac944381
s2,7,87663,70067,8763,8833,a4f72aecc26a27ff6afd24310e6503455527285f1e30685e861b5ab493b8aeae,900c2310a44579f49bda04b729766bb3e7119773dc5bf811410d53d689c4dd69,0bbadb2f2f61a23e3c1c0db404cab18a5962d14670b3509970733bb75dfcb003
s2,8,88075,70311,8913,8851,2166f36871d28a89ed68b6da01fada6123755a6437e800e8448a9ebf1e151cf6,3bf956cb9632fd567c2d6142a96dfdce0b3b016dde9394209f2e0191208d6e2b,6bdc1f617844f4b7655e1937f9759701dfbd9312a2dbb2a4be416928c53025c8
s2,9,87965,70397,8789,8779,a38157ade56485c9632076e5f2806de01e9bf9cf11b40e28b06cffd8f04ab553,ff939b4e988f666b64512547d1414f349a0f0ff289de35356cedd80e755e040f,b239452d643a31edf0d9031b9994ae9e7785547e3e4561dc46838970f1ca23f2
s2,10,87825,70312,8709,8804,fb0a10136e515ebbb8c1eb5326c4b79e5123e2b1e465550bc077cb58d9d72db0,4b2fb810fc5a970b6e80de098e9c9da9ef0034cda3b10d490a90219aafbf86b4,a079ee443aa5ce70bea60d9bbde899366d231dff81ce196328b0bd74bf36b933
s2,11,88069,70363,8901,8805,7c58f7245d7dc2b49ccdf7b879ea2ac39372f520abacfd241dff1288a3a2af0e,0b0bd633b703139ca468a6244b2aa383e801603aa047eefef1f89a6d1245dcf8,46504476162e9b97ae14a2e137c6fa10c27043e9e6a8e795aab0aa5eda2339e4
s2,12,87478,69778,8839,8861,44423a7875963ac7f94de2208f9e3c33b58f95a2a6c03288b45f34ce1f95bb40,5a58b8d3607e547f4113b79bde90a564cc924f5a40e8b03fb8d5d2611614e2b2,bdc9c0a1007fcc101b13b04cad991678b8886452adfa6e9d166fef0edb4c365a
s2,13,88046,70440,8842,8764,cb22ec81f828331b7fb54db6e9945f2df050f35e9e57a5064056215a47cc6701,508d48e404159ffcb7bcefe155e7533ca929302e91101dd586842c4a81335ddf,cd3dbbb468d57aa737d6bd1617684706975609e11de9f1a78500a588749b410b
s2,14,87967,70300,8868,8799,cffbaeed2c67e46f4495f8b388a60023feb1e4d84df6c6c442ef01cd7e84ca58,d6949e4c96b25d4ad71115168b68177f56584db4cefd4317fa312a03b7f740e2,ff3d8af203d470964a7caf65c31a63a1b32f40743c101a6f6a28abec37b1cf5a
s2,15,88337,70567,8898,8872,ce46e63c4fa28f9b38d6bdc21e63967bdab1ab4d1bac48d932e58eac9e53d3af,b8805a88b31668607941d7ef005e31929c103c2820681668c2cadecfaabcb6e4,602006a83891adfcb9fd846a774db664659b791dbede22436fac8d3d0ade097e
