dataset,run_id,total,train,validation,test,pairs_mhd_sha256,validation_mask_sha256,test_mask_sha256
s3,0,87352,70081,8774,8497,2c415a626a2542e27a682b9ee34f15edab0d201f2a43c5c6a78f5f8fcd77d0cc,964447445279abbe718db758d7e5961bb4d1bdfffe2540fb8a096acfa7608a4d,11014ae69c073e176702c67eef6302d747dedec5f9b1d656414ae6ad7b1ba2d5
s3,1,88279,70481,8910,8888,4bfedb445f2fc398c77abe26587d4f90958d0928dac8c8b317957ce5ec532bd0,86947f802d60d7145edf0615b6847cd45eb963da0baec209481c81c205417332,cd17576365053cc0a1daa7040a7bbfe2a11603eae553db13e7894eafdcd8329b
s3,2,87695,70181,8726,8788,2e95c62c228d0468cce99ce8b4cafa89db231751c708dac013b4777413b9c9ec,ffe6dca004165768f98f181588b1980d85252673d4bd3ff140ce05d240b386c6,594f346068d6b5b1af7305fb663780e6e439e828e009a89627b7ab36ac41d002
s3,3,87985,70184,8903,8898,cf4919fc35aaab1069cc927c82d7e2177869dc25ea9a7bdc76fef3a3c2d1dcff,96235454c05c1dc0f4b9ec799460b4399dd1e3d319db8ad1209946f289e3c1a3,bfb92eb66a6b6924c4fdef8f3c3e424ad935e05ff52e3e9ac8a1737a43b95d77
s3,4,87896,70327,8818,8751,0853b8999f2c8deeeccf882a1f7584db473700a259677c36b1f80fc8e0710c35,bea23edec59bdb7174063a79135c83bdee59a2d61670c603fdfd78c5ec36e8da,f0b72333a2acdd04c49c796dbed6b96d3cc16cb5b956557350c15028914b8de5
s3,5,87626,70128,8765,8733,63d7c5dda9ed1aae7c1b983ae62596e453ebf352bdd888b6e3cec5bfb5e304ab,8857f749645d82a66c98bfc964a933dcb162bc006243a2524c0f32888ace35a3,58adbfb0c61279f006d24ca7f9c92a32291155b97f19fabb7a1cc695dabd19c0
s3,6,87981,70580,8689,8712,66caa89bdc14909b931598363aeb5846e231f6fc93cc5f758962919007d38c7c,d5abf19c9b673f3eb305fa680c2d84642aad012d28ede57a92765c157a700e63,70ddafd86e4988dd7a576bcf035fdb2355bc1fa25c72b53f1387f9bb7ef0d012
s3,7,87778,70166,8775,8837,730be7d9727e20f33334ec309efa4c8cda6a86c8cc63b86ea8a2e5d309037555,d47e9ad98e59376c00aefbfdcc21c571a640429c91ec6396ee6e435b38eb6273,09d62cc2495064ea55daa15a2275222b0762c06df3c4e10a1cb138d7b40e55d5
s3,8,87953,70217,8896,8840,b23d2d065eea8338b95c17c78a2338e2ecd8f35c64261fd12de7ee3290a3cecc,f8372e97b6ac69de083533b56ccffe46ebb3097a478ea89aaefb8bd9b9fc4338,1f46f583878a26b7ecdfa746174616e8d52f8b4e3a057ceeca0cc720a88e7813
s3,9,87431,69956,8742,8733,df0f446f4834d05b8b618e25bc3696fdb07827f130f46489a2e40702dec34ffa,7b2f560e6e570d0f27bda984b928f0a19d35e4b4f38551031f2421cc22ce945e,021fc91db3a48c286dc9cc6586dd7104668e8b9b7ec607b502d197ac508c282e
