dataset,run_id,total,train,validation,test,pairs_mhd_sha256,validation_mask_sha256,test_mask_sha256
s1,0,394205,315457,39407,39341,0ac4a77b008f7ff7e4bd17c1c938db3b6271b9c48687090ad65f8c718076d579,48b0e13cdf59d9b73526c6dd7835ebc5fe94277b0600d61691d5103ff0b23b06,3b7934fd91ba7f037947cc65c5cc72cd7b2b6a58e101bd7a5ce13a118bdc1fb0
s1,1,393565,314611,39375,39579,b9c1f0632ed03934f271139bf76d81cba5fc96089b9edaaa47365c8c1daa8bdb,3f01cc2256a91ec0cee8ec75e1ed4dba16e62a84a07ed3a91211febce05e7627,ab750a5fbd5954a1b842467da67ca6e6326356475d0c4949343fdc32711a3819
s1,2,393194,314429,39321,39444,d765b5a0b41c00b4aa154ad987be564ed525968b43eb41c84dafa1b2f2a185ec,4d8827a73bfc79f17b9b3f0f1665b4b4e7ca3e714e905d25c03f21ac8419d529,c8143d64d9f83f4e2087a0dfe01023e28db6247435e61f1d195f788fab2b5f1a
s1,3,394066,314860,39441,39765,8762e5b5570de84b243fefbb349f1a68ebdf37f664d7064af33dd106f629c551,48a10eada474da6e053452f432a6c92b1d804af438be4f3bff9b463daf1fab2d,3593fd6016e0ba648087108f00e085ccc8d0e2077948aef3b7eb515a748ff77b
s1,4,394414,315619,39252,39543,ab72a9e612000c5a50b07e2249dace93d918c1c02b7ab361fe1fdb00048fff46,34c18535369bf798b531f3729caa2674533e2f7cc01fa0f46616632d11a6d7a0,0d318ced42f2d2464e1fb958732b22681788fa1e0c5dcb6adc048528dba511d7
s1,5,393645,314941,39303,39401,73614e98d49a7c6579c0e42ef3f89244fa16957dc3f1a67057cd3e91d694579e,14692cae892200f26ac102598150e1dd4013cf6ebc12e369929e40c626da44b4,581e3dec0acffb0592e427b132ec04ba4fad0291e1d1f6ed743cd0d01999545d
s1,6,394604,316038,39230,39336,d9341f0e412ca42ad66a91e62c998762ad5cf23937b3892a12323b042323b517,96c610938885ab7c5bbc877fa6686664f355dd17fc5dc8461a17f910bb05c6b3,107d23f2b5ce7d97bb46e4d202339fa550c5e75b13dc42c31d0a89d3f694e581
s1,7,393868,314931,39561,39376,93e84102caf598edf9e09a57f75945c35647a840d86f3c380ad3a879879df6ea,1ad7387167a839c425cd4720b2594ad9836bde8d06e1e8d86dc54bc6a751a7f7,7696be527a1a5588161d198ca2c0c919bce0b398b3821d5730e467dd5089b912
s1,8,393563,314781,39484,39298,3e5466a4c181f4a86d12fa3ab256332e31bc228073cfd80dd65a0440b1cc72e9,54a824a414019c51038c625643cdb336ff045eba31e39b413be64a06293c696e,12788952d37d2eb612fce5db3266b37b327ec110197680657b6c38abcfa3f176
s1,9,394033,315027,39667,39339,d1a28f66779dee150e58ebbc7a5ee34f2919e957e37fb7e36e9c61d0cb8a6286,26fa6ad836d4409933986496e314785d6a91db987ec3ab1680dca01dd1541279,5a765954d02cd3ce9916076a640e8f15ccb878488aba3b2b4d034dcc3f179c08
