dataset,run_id,partition,total,accepted,retention,clean_mixing_fraction,posterior_p01,posterior_p50
s4,0,train,70673,50130,0.7093232210320773,0.923078633321945,5.8549181261757085e-34,0.9993898682629191
s4,0,validation,8854,6251,0.7060085836909872,0.923078633321945,5.8549181261757085e-34,0.9993898682629191
s4,10,train,70455,49694,0.705329643034561,0.9160263831139519,7.790056005982616e-37,0.9990127907219837
s4,10,validation,8731,6189,0.7088535104798992,0.9160263831139519,7.790056005982616e-37,0.9990127907219837
s4,20,train,70623,50161,0.7102643614686434,0.9207988184624093,3.419761049940452e-35,0.9993252857562839
s4,20,validation,8735,6172,0.7065827132226674,0.9207988184624093,3.419761049940452e-35,0.9993252857562839
s4,30,train,70147,49652,0.7078278472350921,0.9199387878660443,4.97812652822324e-32,0.9991771993468945
s4,30,validation,8944,6371,0.7123211091234347,0.9199387878660443,4.97812652822324e-32,0.9991771993468945
s4,40,train,70369,50052,0.7112791143827538,0.9219491094577206,6.589369240862043e-38,0.9993455245245728
s4,40,validation,8651,6153,0.7112472546526413,0.9219491094577206,6.589369240862043e-38,0.9993455245245728
s4,50,train,70219,49647,0.7070308605932867,0.9199518487892372,1.8865959945040193e-35,0.9992413403528374
s4,50,validation,8801,6235,0.7084422224747188,0.9199518487892372,1.8865959945040193e-35,0.9992413403528374
s4,60,train,70013,49432,0.7060403068001657,0.9222069845769799,1.064739403718713e-35,0.9992252118149058
s4,60,validation,8844,6224,0.7037539574853008,0.9222069845769799,1.064739403718713e-35,0.9992252118149058
s4,70,train,70166,49914,0.7113701792891144,0.9227619510810532,4.452595857843627e-35,0.9993264026419104
s4,70,validation,8751,6156,0.7034624614329791,0.9227619510810532,4.452595857843627e-35,0.9993264026419104
s4,80,train,70634,50112,0.7094600334116714,0.9211305562227718,6.061573652333254e-36,0.9992649140339698
s4,80,validation,8717,6225,0.7141218309051279,0.9211305562227718,6.061573652333254e-36,0.9992649140339698
s4,90,train,69769,49004,0.7023749802921068,0.9157324953161898,1.2383716328429355e-33,0.9990391358806582
s4,90,validation,8833,6259,0.7085927770859277,0.9157324953161898,1.2383716328429355e-33,0.9990391358806582
s4,100,train,70112,49416,0.7048151528982199,0.9157427094933757,1.4725849402099046e-34,0.9991558005775042
s4,100,validation,8507,5974,0.7022452098272012,0.9157427094933757,1.4725849402099046e-34,0.9991558005775042
s4,110,train,70120,49253,0.7024101540216772,0.9148250210056674,3.883090826666041e-38,0.9991129774045866
s4,110,validation,8673,6006,0.6924939467312349,0.9148250210056674,3.883090826666041e-38,0.9991129774045866
s4,120,train,70239,49814,0.7092071356368969,0.9205203862512773,3.634562112664997e-36,0.9994071738101182
s4,120,validation,8777,6251,0.7122023470434089,0.9205203862512773,3.634562112664997e-36,0.9994071738101182
s4,130,train,70468,49672,0.7048873247431459,0.9168218234177502,4.043238080324676e-37,0.9991556751727325
s4,130,validation,8783,6232,0.709552544688603,0.9168218234177502,4.043238080324676e-37,0.9991556751727325
s4,140,train,69824,49460,0.708352428964253,0.9211920611553454,9.318145893753752e-36,0.9992280829845226
s4,140,validation,8845,6246,0.7061616732617297,0.9211920611553454,9.318145893753752e-36,0.9992280829845226
s4,150,train,70272,50243,0.7149789389799636,0.9271824508280707,1.8860220073102208e-35,0.9996030389994849
s4,150,validation,8704,6106,0.7015165441176471,0.9271824508280707,1.8860220073102208e-35,0.9996030389994849
s4,160,train,70355,49588,0.7048255276810461,0.915522258113418,3.893389315181697e-35,0.9990725457872046
s4,160,validation,8880,6333,0.7131756756756756,0.915522258113418,3.893389315181697e-35,0.9990725457872046
s4,170,train,70339,49418,0.7025689873327742,0.911929343740458,1.9548954342118157e-35,0.9987992870895996
s4,170,validation,8829,6206,0.7029108619322687,0.911929343740458,1.9548954342118157e-35,0.9987992870895996
