dataset,variant,epoch,initial_relaxation,relaxation,relaxation_decay,regularization_weight,training_rmse_mm,training_mae_mm,training_bias_mm,training_huber_objective,validation_rmse_mm,validation_mae_mm,validation_bias_mm,validation_abs_p99_mm,max_update,regularization_seconds,epoch_seconds,image_path,finite,image_min,image_max,water_core_mean_rsp,water_core_std_rsp,water_bias_vs_fixed_rsp,water_bias_vs_effective_rsp,phantom_rmse_vs_fixed_rsp,phantom_rmse_vs_effective_rsp,boundary_inner_rmse_vs_fixed_rsp,boundary_inner_rmse_vs_effective_rsp,outside_100_105_rmse_rsp,outside_100_105_mean_abs_rsp,outside_100_105_peak_abs_rsp,edge_r90_mm,edge_r10_mm,edge_10_90_width_mm,water_core_clearance_from_material_mm,phantom_rmse_vs_nominal_rsp,phantom_mae_vs_nominal_rsp,material_mape_non_air,material_max_ape_non_air,fmtf50_mean_lp_per_mm,fmtf10_mean_lp_per_mm,output_root
s2,r0p25_d0p2_quadratic_b0p0125_fixed_s18,1,0.25,0.25,0.2,0.0125,2.4600093453921796,1.9375937773040128,0.07436658254740368,3.0258229897084306,2.453674853440958,1.9330129623413086,0.0038175885565578938,6.4489898681640625,0.21027997136116028,0.5025951249990612,805.2202239140024,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_01.mhd,True,0.0,1.117130994796753,1.014298677444458,0.01297974493354559,0.014298677444458008,0.000780940055847168,0.02418678244307347,0.0195202477605088,0.033353528716350445,0.02994522026449942,0.0,0.0,0.0,99.7499951955097,100.09469109153343,0.34469589602373674,,,,,,,,
s2,r0p25_d0p2_quadratic_b0p0125_fixed_s18,2,0.25,0.20833333333333334,0.2,0.0125,2.450212697724508,1.928260263708616,0.0017892112826538606,3.0017711320452056,2.4494214163128505,1.9282751083374023,0.0018305014818906784,6.446576118469238,0.16493509709835052,0.5022681579939672,805.9794702479994,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_02.mhd,True,0.0,1.109514594078064,1.013975977897644,0.009107332676649094,0.013975977897644043,0.0004582405090332031,0.02123764500201547,0.015714169468356017,0.028465943896893484,0.023593218524852373,0.0,0.0,0.0,99.81809271553345,100.09635860198294,0.27826588644948913,,,,,,,,
s2,r0p25_d0p2_quadratic_b0p0125_fixed_s18,3,0.25,0.17857142857142858,0.2,0.0125,2.448114648415939,1.9255035997423946,0.0011626650547012893,2.9966326658943485,2.4473930204859395,1.925866723060608,0.0016662138514220715,6.446171283721924,0.13532809913158417,0.502244804003567,806.3679506219996,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_03.mhd,True,0.0,1.1009306907653809,1.013892650604248,0.0063000754453241825,0.013892650604248047,0.00037491321563720703,0.019762958563203772,0.01365277354097151,0.026193888183224125,0.02055340139130859,0.0,0.0,0.0,99.87672642947396,100.09741404771933,0.2206876182453641,,,,,,,,
s2,r0p25_d0p2_quadratic_b0p0125_fixed_s18,4,0.25,0.15625,0.2,0.0125,2.4472942365757375,1.924145901304677,0.0010571871127071394,2.9946245401884113,2.446261667287081,1.9244040250778198,0.0014859584625810385,6.4450836181640625,0.1144154816865921,0.5030080209980952,805.4400362640008,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_04.mhd,True,0.0,1.0922847986221313,1.0138728618621826,0.004451623652130365,0.013872861862182617,0.00035512447357177734,0.01914717741524071,0.012740765875806857,0.025435441637864643,0.01950461025590882,0.0,0.0,0.0,99.88343416263324,100.0981593514037,0.21472518877045843,,,,,,,,
s2,r0p25_d0p2_quadratic_b0p0125_fixed_s18,5,0.25,0.1388888888888889,0.2,0.0125,2.446904318048934,1.923321907158832,0.000959605977422029,2.9936703708432595,2.4455827175528486,1.9234375953674316,0.001274437876418233,6.4439849853515625,0.0989004448056221,0.5011591879956541,805.4776765240022,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_05.mhd,True,0.0,1.0840295553207397,1.0138713121414185,0.0033359420485794544,0.013871312141418457,0.0003535747528076172,0.018963124193966514,0.012458013244566262,0.025440656781489546,0.01949205059132436,0.0,0.0,0.0,99.88851384709831,100.0987237607887,0.21020991369039166,,,,,,,,
s2,r0p25_d0p2_quadratic_b0p0125_fixed_s18,6,0.25,0.125,0.2,0.0125,2.4466652403592057,1.9227375945233491,0.0008513377644685401,2.9930853991909854,2.445145619823461,1.922756552696228,0.0010541239753365517,6.4432830810546875,0.08705224841833115,0.5006884510003147,805.4575637739981,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_06.mhd,True,0.0,1.0764951705932617,1.013874888420105,0.0026655595283955336,0.01387488842010498,0.0003571510314941406,0.018962492588615158,0.012453097521414413,0.02576496562221624,0.019910640082010617,0.0,0.0,0.0,99.89255052406493,100.09917228045165,0.2066217563867241,,,,,,,,
s4,r0p25_d0p2_quadratic_b0p0125_fixed_s18,1,0.25,0.25,0.2,0.0125,2.6497600128314733,2.04989948039661,0.07547203649350188,3.5106140628003253,2.641332749765221,2.0447163581848145,0.0008498727693222463,7.235788822174072,0.30831077694892883,0.5028739469998982,687.9852771340011,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_01.mhd,True,0.0,2.2130064964294434,1.0142565965652466,0.02628042735159397,,,,,,,,,,,,,2.0,0.04939508615172239,0.029094895347952843,0.012483034694853883,0.024015480652451515,,,
s4,r0p25_d0p2_quadratic_b0p0125_fixed_s18,2,0.25,0.20833333333333334,0.2,0.0125,2.6381614693788182,2.038978104442703,0.0014986036647538822,3.4799479692575024,2.6357069323722677,2.0389766693115234,-0.0007335134432651103,7.228235721588135,0.2462068796157837,0.5039857049996499,688.0071277919997,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_02.mhd,True,0.0,2.1960105895996094,1.0139321088790894,0.021808171644806862,,,,,,,,,,,,,2.0,0.046163857207002765,0.025895627215504646,0.012061631289095832,0.020877953618764877,,,
s4,r0p25_d0p2_quadratic_b0p0125_fixed_s18,3,0.25,0.17857142857142858,0.2,0.0125,2.6344861116632727,2.0351160848775076,0.0010230915629143747,3.4702585362733354,2.6324410646200946,2.035755157470703,-0.0009229840361513197,7.222670555114746,0.20481544733047485,0.5041014850066858,688.0257229999988,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_03.mhd,True,0.0,2.181741237640381,1.0138570070266724,0.018051929771900177,,,,,,,,,,,,,2.0,0.04390676863996672,0.023529712110757828,0.011962370929093314,0.019072845578193665,,,
s4,r0p25_d0p2_quadratic_b0p0125_fixed_s18,4,0.25,0.15625,0.2,0.0125,2.6324119919102356,2.0329442604633043,0.000945494025296572,3.4647964475764073,2.630221304878031,2.0336132049560547,-0.001113910460844636,7.217995643615723,0.17508241534233093,0.5015022929947008,688.1069281430027,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_04.mhd,True,0.0,2.1703853607177734,1.0138460397720337,0.014934089034795761,,,,,,,,,,,,,2.0,0.04231347843909726,0.021865036338567734,0.011974681312075028,0.017978623509407043,,,
