dataset,variant,epoch,initial_relaxation,relaxation,relaxation_decay,regularization_weight,training_rmse_mm,training_mae_mm,training_bias_mm,training_huber_objective,validation_rmse_mm,validation_mae_mm,validation_bias_mm,validation_abs_p99_mm,max_update,regularization_seconds,epoch_seconds,image_path,finite,image_min,image_max,water_core_mean_rsp,water_core_std_rsp,water_bias_vs_fixed_rsp,water_bias_vs_effective_rsp,phantom_rmse_vs_fixed_rsp,phantom_rmse_vs_effective_rsp,boundary_inner_rmse_vs_fixed_rsp,boundary_inner_rmse_vs_effective_rsp,outside_100_105_rmse_rsp,outside_100_105_mean_abs_rsp,outside_100_105_peak_abs_rsp,edge_r90_mm,edge_r10_mm,edge_10_90_width_mm,output_root,subsets,total_epoch_seconds,water_core_clearance_from_material_mm,phantom_rmse_vs_nominal_rsp,phantom_mae_vs_nominal_rsp,material_mape_non_air,material_max_ape_non_air,fmtf50_mean_lp_per_mm,fmtf10_mean_lp_per_mm
s2,r0p25_d0p2_quadratic_b0p0125_fixed_s18,5,0.25,0.1388888888888889,0.2,0.0125,2.446904318048934,1.923321907158832,0.000959605977422029,2.9936703708432595,2.4455827175528486,1.9234375953674316,0.001274437876418233,6.4439849853515625,0.0989004448056221,0.5011591879956541,805.4776765240022,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_05.mhd,True,0.0,1.0840295553207397,1.0138713121414185,0.0033359420485794544,0.013871312141418457,0.0003535747528076172,0.018963124193966514,0.012458013244566262,0.025440656781489546,0.01949205059132436,0.0,0.0,0.0,99.88851384709831,100.0987237607887,0.21020991369039166,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18,18,4028.4853575720044,,,,,,,
s4,r0p25_d0p2_quadratic_b0p0125_fixed_s18,5,0.25,0.1388888888888889,0.2,0.0125,2.6311141874145547,2.0315707297881227,0.0008782955193236623,3.461380933607076,2.6286440270087366,2.032109498977661,-0.0013158489018678665,7.2139739990234375,0.15267111361026764,0.5033330639998894,688.1188605310017,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_05.mhd,True,0.0,2.160238742828369,1.0138524770736694,0.012404147535562515,,,,,,,,,,,,,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18,18,3440.243916600004,2.0,0.04119915823642301,0.02075398713350296,0.012034895005994119,0.017227575182914734,,
s5,r0p25_d0p2_quadratic_b0p0125_fixed_s18,5,0.25,0.1388888888888889,0.2,0.0125,2.559892810619674,1.9957486486143385,0.0008853141955356183,3.276525600931148,2.5592857883702274,1.9966822862625122,0.00133220455609262,6.907318115234375,0.21658629179000854,0.5037029969971627,687.5021075460027,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_05.mhd,True,0.0,2.1232926845550537,1.0138853788375854,0.008003921248018742,,,,,,,,,,,,,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18,18,3441.5368536189926,2.0,0.049538789354853535,0.02171529084444046,,,0.4919548179452248,1.1167182511817153
s2,r0p25_d0p2_quadratic_b0p0125_fixed_s36,5,0.25,0.1388888888888889,0.2,0.0125,2.445649816975186,1.9210804725956738,0.00041344842931308103,2.9906015136353807,2.4445817603112188,1.9215835332870483,0.0001531797752249986,6.444675922393799,0.2918691337108612,0.5127198580003096,835.5005371550001,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s36/recon/epoch_05.mhd,True,0.0,1.107362985610962,1.013901710510254,0.0032131955958902836,0.013901710510253906,0.0003839731216430664,0.019665244095302157,0.013487885835667103,0.028105304425848337,0.022891359475636766,0.0,0.0,0.0,99.90289642657102,100.10032182517456,0.19742539860354213,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s36,36,4125.92526997,,,,,,,
s4,r0p25_d0p2_quadratic_b0p0125_fixed_s36,5,0.25,0.1388888888888889,0.2,0.0125,2.6291192456137593,2.0290899631796746,0.00039756100228134004,3.456134003828332,2.626993643613224,2.030033826828003,-0.0017883431864902377,7.211607933044434,0.28112363815307617,0.5158657940000921,697.6031845710004,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s36/recon/epoch_05.mhd,True,0.0,2.15842866897583,1.0139129161834717,0.01169560942798853,,,,,,,,,,,,,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s36,36,3517.8356480970015,2.0,0.04045255255548182,0.020092608407139778,0.012080517042284975,0.016522709280252457,,
s5,r0p25_d0p2_quadratic_b0p0125_fixed_s36,5,0.25,0.1388888888888889,0.2,0.0125,2.558158432648235,1.9935067739542345,0.0004170126461842605,3.2720872832646375,2.5578383806767433,1.9948049783706665,0.00013780601148027927,6.9048309326171875,0.20775923132896423,0.5131899520001753,697.5167512420012,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s36/recon/epoch_05.mhd,True,0.0,2.125109910964966,1.0139192342758179,0.007553292438387871,,,,,,,,,,,,,data/reconstruction_data/results0717_s5_resolution_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s36,36,3494.303816896002,2.0,0.048873523470395225,0.02115621790289879,,,0.4998998190914568,1.133034470979397
