dataset,loss,variant,validation_rmse_mm,validation_abs_p99_mm,material_mape,material_max_ape
s2,quadratic,r0p25_d0p2_quadratic_b0_fixed_s18,2.450455621624028,6.456486225128174,nan,nan
s4,quadratic,r0p25_d0p2_quadratic_b0_fixed_s18,2.638714329703757,7.2462968826293945,0.011922227254567238,0.019023539498448372
s2,huber3,r0p25_d0p2_huber3_b0_fixed_s18,2.4507190328307997,6.463583469390869,nan,nan
s4,huber3,r0p25_d0p2_huber3_b0_fixed_s18,2.639425563856228,7.2559661865234375,0.011454096923653897,0.01833522506058216
s2,huber5,r0p25_d0p2_huber5_b0_fixed_s18,2.450495067445422,6.459271430969238,nan,nan
s4,huber5,r0p25_d0p2_huber5_b0_fixed_s18,2.6388660878545447,7.251336097717285,0.011660303293655697,0.018807103857398033
