dataset,variant,epoch,initial_relaxation,relaxation,relaxation_decay,regularization_weight,training_rmse_mm,training_mae_mm,training_bias_mm,training_huber_objective,validation_rmse_mm,validation_mae_mm,validation_bias_mm,validation_abs_p99_mm,max_update,regularization_seconds,epoch_seconds,image_path,finite,image_min,image_max,water_core_mean_rsp,water_core_std_rsp,water_bias_vs_fixed_rsp,water_bias_vs_effective_rsp,phantom_rmse_vs_fixed_rsp,phantom_rmse_vs_effective_rsp,boundary_inner_rmse_vs_fixed_rsp,boundary_inner_rmse_vs_effective_rsp,outside_100_105_rmse_rsp,outside_100_105_mean_abs_rsp,outside_100_105_peak_abs_rsp,edge_r90_mm,edge_r10_mm,edge_10_90_width_mm,output_root,water_core_clearance_from_material_mm,phantom_rmse_vs_nominal_rsp,phantom_mae_vs_nominal_rsp,material_mape_non_air,material_max_ape_non_air
s2,r0p25_d0p2_quadratic_b0_fixed_s18,3,0.25,0.17857142857142858,0.2,0.0,2.448186236338314,1.9256617326628893,0.000897631564684175,2.9968079238981793,2.4511922521825005,1.9289802312850952,0.0008019904489628971,6.456021308898926,0.1378336399793625,0.0,805.4704390539991,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18/recon/epoch_03.mhd,True,0.0,1.1520167589187622,1.0138899087905884,0.01791401207447052,0.013889908790588379,0.00037217140197753906,0.02593471001313656,0.021642290156300863,0.031197097197698097,0.026627813911501513,0.0,0.0,0.0,99.859569060331,100.09701278452434,0.2374437241933407,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18,,,,,
s4,r0p25_d0p2_quadratic_b0_fixed_s18,3,0.25,0.17857142857142858,0.2,0.0,2.637369987355427,2.0373328575883334,0.00031127279473918963,3.4778602251015815,2.6396120508515666,2.041262149810791,-0.0020867835264652967,7.247075080871582,0.20719899237155914,0.0,687.7165327149999,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18/recon/epoch_03.mhd,True,0.0,2.2370364665985107,1.0138436555862427,0.031051669269800186,,,,,,,,,,,,,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0_fixed_s18,2.0,0.05086194370493758,0.031824495643377304,0.011945198415420376,0.019743800163269043
s2,r0p25_d0p2_quadratic_b0p003_fixed_s18,3,0.25,0.17857142857142858,0.2,0.003,2.4481430032896077,1.925606650715575,0.0009626539441836114,2.99670208227793,2.449813349925132,1.9278737306594849,0.0010267718462273479,6.452606201171875,0.13719099760055542,0.5018616050001583,805.5284047629975,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p003_fixed_s18/recon/epoch_03.mhd,True,0.0,1.1346817016601562,1.0138903856277466,0.014138606376945972,0.013890385627746582,0.0003726482391357422,0.023483129769510246,0.01863463261985752,0.029169946388806395,0.02422374159460926,0.0,0.0,0.0,99.86639240864116,100.09710958488708,0.2307171762459177,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p003_fixed_s18,,,,,
s4,r0p25_d0p2_quadratic_b0p003_fixed_s18,3,0.25,0.17857142857142858,0.2,0.003,2.636567271150224,2.036710843560925,0.0006452855565850604,3.475743487650269,2.6373951611675577,2.0395565032958984,-0.001680755172856152,7.239044189453125,0.20662380754947662,0.5028592750022653,686.9695528479933,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p003_fixed_s18/recon/epoch_03.mhd,True,0.0,2.216707706451416,1.0138521194458008,0.027245722711086273,,,,,,,,,,,,,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p003_fixed_s18,2.0,0.048597043467701155,0.029190639033913612,0.011945479101716327,0.019637666642665863
s2,r0p25_d0p2_quadratic_b0p006_fixed_s18,3,0.25,0.17857142857142858,0.2,0.006,2.448088522046113,1.9255404450003244,0.0010270290908515915,2.996568705886961,2.448780251305107,1.927034854888916,0.001245482824742794,6.44866943359375,0.13658572733402252,0.501151727999968,805.477583896005,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p006_fixed_s18/recon/epoch_03.mhd,True,0.0,1.1222020387649536,1.0138909816741943,0.011066876351833344,0.013890981674194336,0.0003732442855834961,0.0217682179045795,0.016421315812495008,0.0277865698102593,0.022541733174799378,0.0,0.0,0.0,99.8737109983946,100.09720597132562,0.2234949729310216,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p006_fixed_s18,,,,,
s4,r0p25_d0p2_quadratic_b0p006_fixed_s18,3,0.25,0.17857142857142858,0.2,0.006,2.635814646128747,2.0361325453603962,0.0008185109652543818,3.473759424373406,2.635525587379668,2.0381217002868652,-0.001371287740767002,7.231688976287842,0.20605014264583588,0.5035423529989203,688.2754293659964,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p006_fixed_s18/recon/epoch_03.mhd,True,0.0,2.2035717964172363,1.0138550996780396,0.02395223267376423,,,,,,,,,,,,,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p006_fixed_s18,2.0,0.04678025006123687,0.027003884315490723,0.011941973442355027,0.019494377076625824
s2,r0p25_d0p2_quadratic_b0p0125_fixed_s18,3,0.25,0.17857142857142858,0.2,0.0125,2.448114648415939,1.9255035997423946,0.0011626650547012893,2.9966326658943485,2.4473930204859395,1.925866723060608,0.0016662138514220715,6.446171283721924,0.13532809913158417,0.502244804003567,806.3679506219996,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_03.mhd,True,0.0,1.1009306907653809,1.013892650604248,0.0063000754453241825,0.013892650604248047,0.00037491321563720703,0.019762958563203772,0.01365277354097151,0.026193888183224125,0.02055340139130859,0.0,0.0,0.0,99.87672642947396,100.09741404771933,0.2206876182453641,data/reconstruction_data/results0717_s2_water_vacuum_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18,,,,,
s4,r0p25_d0p2_quadratic_b0p0125_fixed_s18,3,0.25,0.17857142857142858,0.2,0.0125,2.6344861116632727,2.0351160848775076,0.0010230915629143747,3.4702585362733354,2.6324410646200946,2.035755157470703,-0.0009229840361513197,7.222670555114746,0.20481544733047485,0.5041014850066858,688.0257229999988,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18/recon/epoch_03.mhd,True,0.0,2.181741237640381,1.0138570070266724,0.018051929771900177,,,,,,,,,,,,,data/reconstruction_data/results0717_s4_material_calibration_air_pilot/stage4/variants/r0p25_d0p2_quadratic_b0p0125_fixed_s18,2.0,0.04390676863996672,0.023529712110757828,0.011962370929093314,0.019072845578193665
