epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,13.623743057250977,0.042111992835998535,886.0552406288907,666.8337250813902,0.5364295889999653
2,huber_tv,0.0125,100,0.002,0.25,0.25,11.305988311767578,0.04125380516052246,669.6461178966,529.5026605721847,0.5066922420000992
3,huber_tv,0.0125,100,0.002,0.25,0.25,10.040213584899902,0.038722336292266846,535.5190392706038,424.7418020049884,0.5066908539999986
4,huber_tv,0.0125,100,0.002,0.25,0.25,9.038711547851562,0.032280147075653076,432.3517734080986,341.3725000813495,0.5065424689998963
5,huber_tv,0.0125,100,0.002,0.25,0.25,8.152559280395508,0.027414917945861816,349.74100325709503,274.4442271362823,0.5075928849998945
