mode,variant,water_mean,water_std,phantom_rmse_vs_rsp_truth,aluminium_peak_rsp,aluminium_cnr_median
screen,ideal_reference,0.9994959831237793,0.09146665036678314,0.1046987383233993,2.1952185916900633,19.347065958032296
screen,continuous_hits,0.9994766712188721,0.09684673696756363,0.11063202545521658,2.208225574493408,19.063984541546606
screen,strip_0p1mm,0.9998058676719666,0.10074163973331451,0.11643718150569839,2.210838451385498,17.310710559184194
screen,strip_0p2mm,1.0004080533981323,0.11237131804227829,0.13154456110117346,2.2174348258972167,15.615415089737674
screen,strip_0p5mm,1.0052976608276367,0.2330826371908188,0.2541820740811372,2.1299428033828733,5.058773124425922
screen,energy_0p5pct,1.0001980066299438,0.1150055006146431,0.13314060127091554,2.1805115127563477,14.461792748916915
screen,energy_1pct,1.0003176927566528,0.11455060541629791,0.13280201122063467,2.2133946800231934,14.271201052765504
screen,energy_2pct,1.0003962516784668,0.11617718636989594,0.13472184093644643,2.2151678371429444,14.387751891933364
full,ideal_reference,0.9994467496871948,0.0018257411429658532,0.03986778053187467,2.0698397541046143,551.1357132420194
full,continuous_hits,0.9994069337844849,0.0018880123971030116,0.040747891913339704,2.0708066272735595,516.9049225696258
full,energy_1pct,0.9997394680976868,0.002594005549326539,0.05690316325010156,2.0444243335723877,371.8025339362677
