insert_id,distance_from_isocenter_mm,profile_count,profile_length_mm,inner_value,outer_value,contrast,r90_mm,r10_mm,width_10_90_mm,valid
0,0.0,360,4.0,2.0825505025528974,1.2010516717595943,0.8814988307933032,1.643118723010276,3.1422242117414614,1.4991054887311854,True
1,5.0,360,4.0,2.073431638127048,1.2016134646190928,0.8718181735079551,1.6664818644935198,3.137422505530315,1.4709406410367951,True
2,9.000000000000002,360,4.0,2.0731866678320308,1.0253304734302242,1.0478561944018066,1.7110517823863731,3.205628624233348,1.494576841846975,True
3,13.0,360,4.0,2.076493409673705,1.0267913093604353,1.0497021003132696,1.7150566800179103,3.1866822466186067,1.4716255666006963,True
4,17.0,360,4.0,2.0752633432862417,1.0283189618831843,1.0469443814030575,1.7509413143912265,3.1769189269389924,1.425977612547766,True
5,21.0,360,4.0,2.076909778203853,1.0226470685985636,1.0542627096052894,1.7628245430392397,3.1841017414741586,1.4212771984349188,True
6,24.999999999999996,360,4.0,2.0768499721107285,1.0253685375791743,1.0514814345315542,1.7795673736741258,3.158854593480753,1.379287219806627,True
7,29.0,360,4.0,2.078619543367917,1.0246733940397483,1.0539461493281688,1.7878405513161104,3.144639240302812,1.3567986889867016,True
8,33.0,360,4.0,2.082096707930691,1.0211810633060598,1.060915644624631,1.8076275418563432,3.1405150811194877,1.3328875392631445,True
9,36.99999999999999,360,4.0,2.08690619980864,1.0199839080118038,1.066922291796836,1.8189947028989282,3.1284431993500488,1.3094484964511206,True
10,41.0,360,4.0,2.088229915916377,1.0206522893810763,1.0675776265353007,1.8353585111459365,3.095493173673208,1.2601346625272716,True
11,44.99999999999999,360,4.0,2.0916381217173416,1.0192703164479178,1.0723678052694239,1.8667469052789085,3.079788654366091,1.2130417490871823,True
12,49.0,360,4.0,2.1000022939426213,1.020715701087047,1.0792865928555744,1.886163037959925,3.051806708866654,1.1656436709067288,True
13,53.0,360,4.0,2.097262027558404,1.0181534496212488,1.0791085779371554,1.9261711512976667,3.0339764773123736,1.107805326014707,True
14,57.0,360,4.0,2.0996963519311866,1.0195251736395452,1.0801711782916414,1.948720497070125,2.9986625659635338,1.0499420688934087,True
15,61.0,360,4.0,2.100458523684657,1.016514468284086,1.083944055400571,1.9888854346162665,2.991263440167657,1.0023780055513904,True
16,65.0,360,4.0,2.105012433467687,1.0163989368666124,1.0886134966010745,2.0155252655265636,2.9608895146873464,0.9453642491607828,True
17,69.0,360,4.0,2.1089499735727477,1.016379989056603,1.0925699845161447,2.0447445819710217,2.9242262787331708,0.879481696762149,True
18,73.0,360,4.0,2.113645507038293,1.0146191537015123,1.0990263533367808,2.0669324908829614,2.9076357587526283,0.8407032678696669,True
19,77.0,360,4.0,2.113366592082408,1.0133197001442102,1.1000468919381978,2.102083674750543,2.8750623913002697,0.7729787165497268,True
20,81.0,360,4.0,2.116017549753978,1.0125837620261082,1.10343378772787,2.126152341428757,2.8487924540998844,0.7226401126711273,True
21,85.0,360,4.0,2.116899221838665,1.0155454861085431,1.1013537357301217,2.1506016344682832,2.8248430772313653,0.6742414427630821,True
22,89.0,360,4.0,2.1165764015487594,1.0151793854603834,1.101397016088376,2.171066433895395,2.8161550477961903,0.6450886139007954,True
23,93.0,360,4.0,2.1177076898390075,1.0123037368147214,1.105403953024286,2.1829701375077892,2.8039463463098544,0.6209762088020652,True
24,97.0,360,4.0,2.118646502780653,0.7808956454044433,1.3377508573762098,2.2123625219737786,3.1842795486144184,0.9719170266406398,True
