insert_id,truth_x_mm,truth_z_mm,roi_mean_r2,roi_recovery_vs_red,roi_recovery_vs_rsp,peak_r4,local_water_mean,local_water_std,contrast,cnr,roi_cnr,contrast_centroid_offset_mm,contrast_centroid_x_mm,contrast_centroid_z_mm,peak_offset_mm,peak_x_mm,peak_z_mm
0,-0.0,0.0,2.0186381340026855,0.7470795727069168,0.8968136419463622,2.1151909828186035,1.0151251554489136,0.010680359788239002,1.10006582736969,102.99894846061837,93.9587240926865,0.5435659330147702,-0.36028204822407534,-0.40701445829562694,0.6670832032063203,0.6500000000000057,-0.14999999999999147
1,-3.2802951449525364,-3.77354790111386,2.0158183574676514,0.7458206956808635,0.8953024534040134,2.104670763015747,1.0139963626861572,0.011143242940306664,1.0906744003295898,97.87764712411217,89.90398936361373,0.5376822482330276,-2.9241531617348446,-3.370726491734105,0.5057730126842372,-3.450000000000003,-4.25
2,8.912412618674134,1.2525579086405891,2.0127952098846436,0.7430134487236469,0.8919325615484213,2.1018896102905273,1.0147440433502197,0.010869891382753849,1.0871455669403076,100.01439100533892,91.81795212028798,0.005083096564723224,8.9142057362255,1.257314230763121,0.38469345178499015,9.150000000000006,0.9500000000000028
3,-10.902717383290513,7.080307455195352,2.0149264335632324,0.7451855329825581,0.8945399876727769,2.0986218452453613,1.0139576196670532,0.01027766801416874,1.084664225578308,105.5360247171825,97.39260039497762,0.0007201659047419816,-10.902053684590712,7.080027914561034,0.8337289049327149,-11.649999999999991,7.450000000000003
4,4.685835048888987,-16.34144883095142,2.0196876525878906,0.7483848644446109,0.8983805479090596,2.1048684120178223,1.0144213438034058,0.010110151953995228,1.0904470682144165,107.85664480379097,99.43137485557118,0.006970104066392748,4.679333764587275,-16.33893573462922,0.9393549356977707,4.049999999999997,-15.649999999999991
5,8.874983496554687,19.03246352776965,2.0244438648223877,0.7522673707636649,0.9030412089136892,2.1054441928863525,1.0139623880386353,0.01018303819000721,1.0914818048477173,107.18626253594994,99.23182629083678,0.006059866798624657,8.872800355909721,19.026810574334377,0.7838784363132871,9.650000000000006,19.150000000000006
6,-22.83863644106502,-10.168416076895005,2.0266225337982178,0.7536191659600585,0.9046639388310002,2.1124842166900635,1.0143252611160278,0.010555106215178967,1.0981589555740356,104.04054049165396,95.90592951366392,0.003847834989944085,-22.83479120179735,-10.168274764884845,0.7185059429210546,-22.849999999999994,-9.450000000000003
7,27.732837922928013,-8.478779436959414,2.0303595066070557,0.7567396900340864,0.9084098966403809,2.1082041263580322,1.0138705968856812,0.009329942986369133,1.094333529472351,117.29262773321888,108.94910196197824,0.010353292589473193,27.72347419803422,-8.474362274572018,0.7833667529107564,26.950000000000003,-8.450000000000003
8,-17.487335719695764,27.985587173162056,2.0356462001800537,0.7607405849292951,0.9132126743538926,2.123838424682617,1.0137830972671509,0.010338974185287952,1.1100553274154663,107.36609914308922,98.83602421282598,0.011300030585096715,-17.483531159457208,27.97494687182162,0.46496865863217673,-17.64999999999999,27.549999999999997
9,-5.788075206488606,-36.54446860202008,2.0435330867767334,0.7665455300314555,0.9201810805967569,2.1118757724761963,1.013872504234314,0.009824725799262524,1.0980032682418823,111.75917686418303,104.80298418299971,0.013970741238829614,-5.783926828323333,-36.53112796600225,0.3352822658573416,-5.6499999999999915,-36.849999999999994
