condition,seed,fraction,fluence_per_mm2_projection,kind,reused_stage7,image_path,finite_fraction,image_min,image_max,water_mean,water_std,water_rmse_vs_1,water_mae_vs_1,outside_mean,outside_std,outside_rmse_vs_0,phantom_rmse_vs_red_truth,phantom_mae_vs_red_truth,phantom_rmse_vs_rsp_truth,phantom_mae_vs_rsp_truth,aluminium_voxel_rmse_vs_red_truth,aluminium_voxel_rmse_vs_rsp_truth,aluminium_excess_red_recovery,aluminium_excess_rsp_recovery,insert_peak_mean,insert_contrast_mean,insert_cnr_median,insert_roi_cnr_median,insert_roi_red_recovery_mean,insert_roi_rsp_recovery_mean,insert_contrast_centroid_offset_mean_mm,insert_contrast_centroid_offset_max_mm,insert_peak_offset_mean_mm,insert_peak_offset_max_mm,aluminium_edge_10_90_median_mm,water_bias_fraction,phantom_rmse_ratio,aluminium_error_fraction,aluminium_error_degradation_pp,edge_width_ratio,absolute_aluminium_benchmark_pass,passed
combined_0p2mm_1pct,20260730,0.25,225.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260730/f025/iterative/recon/epoch_05.mhd,1.0,0.0,2.0894150733947754,0.9996879696846008,0.00845008809119463,0.008455849203717525,0.006249622441828251,0.0,0.0,0.0,0.07929094514552851,0.02036336250603199,0.05781753173262772,0.01690482534468174,0.5538562595463012,0.35528604046255796,0.6068001145256143,0.7284185624873815,2.0553271770477295,1.0553264260292052,125.54390868444604,109.69407719580364,0.6768994939152043,0.8125676601893835,0.05623872169730257,0.5419426918233136,0.41437181456189903,0.7505815924773779,1.768509567717734,5.7854868806272997e-05,1.016068851541826,-0.018707959486143566,-0.5205435728577901,1.0004410905562993,True,True
combined_0p2mm_1pct,20260730,0.1,90.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260730/f010/iterative/recon/epoch_05.mhd,1.0,0.0,2.397496223449707,0.9997038841247559,0.10311025381088257,0.10311068183789418,0.07385718077421188,0.0,0.0,0.0,0.13485030098705794,0.08892618119716644,0.12339333935679685,0.085544653236866,0.564502889018912,0.3704670041950849,0.6052330213345116,0.7265373832617659,2.178710594177246,1.1788868951797484,15.369027770708133,11.220323987936155,0.6751668371670031,0.8104877342144744,0.06429670046832087,0.5422831526062758,0.7345471913436298,1.3253185787322341,1.7971481510235603,4.1936382328744415e-05,2.168479436098425,0.04020001706993348,1.6286621855212013,1.016641859858013,False,False
combined_0p2mm_1pct,20260731,0.25,225.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260731/f025/iterative/recon/epoch_05.mhd,1.0,0.0,2.1030030250549316,0.9997134208679199,0.008597028441727161,0.008601800446611919,0.00630276370793581,0.0,0.0,0.0,0.07935015822734874,0.020402781665325165,0.057891407349327614,0.016944272443652153,0.5543313565569697,0.3559533958855313,0.6066507773592078,0.7282392942877293,2.056630840301514,1.0565579771995544,136.21672651872393,116.39962718714646,0.677554677949927,0.8133541600506977,0.056610336297191484,0.5381659357251143,0.33010431191065126,0.6216154991847869,1.7935305451444046,3.2397214402069e-05,1.0173671206094907,-0.018085540637828412,-0.5827854576893055,1.014595389973422,True,True
combined_0p2mm_1pct,20260731,0.1,90.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260731/f010/iterative/recon/epoch_05.mhd,1.0,0.0,2.498988389968872,0.9997090697288513,0.10566694289445877,0.10566734466968705,0.07596684247255325,0.0,0.0,0.0,0.136164258846909,0.09045330435037613,0.12483663882099771,0.08709411323070526,0.566230770947217,0.3732727424555423,0.6052745328988208,0.726587214817952,2.1796499919891357,1.1799606657028199,15.58768179582194,13.008969451774856,0.6782321676703548,0.814167436234059,0.06315666983491414,0.535295806714084,0.6693767424895026,1.6137569795390825,1.756077662527507,3.6749459768614656e-05,2.193843570212679,0.04064852162238508,1.6735126407663614,0.9934083953347215,False,False
combined_0p2mm_1pct,20260732,0.25,225.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260732/f025/iterative/recon/epoch_05.mhd,1.0,0.0,2.1040303707122803,0.9997038245201111,0.008490022271871567,0.008495189315839796,0.006314022466540337,0.0,0.0,0.0,0.07929651206356426,0.020382387563586235,0.057844036064834556,0.01692383922636509,0.5539392779912049,0.35560367527756226,0.6069997460009282,0.7286582052771476,2.054576663970947,1.0544340443611144,130.42452169352185,113.16490445818017,0.6775889023656003,0.8133952439244707,0.056199366165612566,0.5477723894076277,0.35731966506827717,0.5837775792590472,1.848037129697342,4.1996002128286136e-05,1.0165346311346113,-0.019066283220083635,-0.48471119946378316,1.0454296177819893,True,True
combined_0p2mm_1pct,20260732,0.1,90.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260732/f010/iterative/recon/epoch_05.mhd,1.0,0.0,2.415207862854004,0.9996941685676575,0.10470221936702728,0.10470266995616641,0.07563362270593643,0.0,0.0,0.0,0.13591011858194518,0.09044922143220901,0.12457174800987729,0.08706579357385635,0.5638503327434015,0.36990708413003415,0.6057928338510198,0.7272093966954747,2.1698615455627444,1.16978107213974,15.498098969887067,12.138125531835128,0.6766791882169686,0.8123031995311157,0.06509069620046427,0.5401357025877708,0.650284704935044,1.2900315081460518,1.6917767520232974,5.1654409653933975e-05,2.189188454468829,0.035975141795329346,1.206174658060788,0.9570335437631738,False,False
