condition,seed,fraction,fluence_per_mm2_projection,kind,reused_stage7,image_path,finite_fraction,image_min,image_max,water_mean,water_std,water_rmse_vs_1,water_mae_vs_1,outside_mean,outside_std,outside_rmse_vs_0,phantom_rmse_vs_red_truth,phantom_mae_vs_red_truth,phantom_rmse_vs_rsp_truth,phantom_mae_vs_rsp_truth,aluminium_voxel_rmse_vs_red_truth,aluminium_voxel_rmse_vs_rsp_truth,aluminium_excess_red_recovery,aluminium_excess_rsp_recovery,insert_peak_mean,insert_contrast_mean,insert_cnr_median,insert_roi_cnr_median,insert_roi_red_recovery_mean,insert_roi_rsp_recovery_mean,insert_contrast_centroid_offset_mean_mm,insert_contrast_centroid_offset_max_mm,insert_peak_offset_mean_mm,insert_peak_offset_max_mm,aluminium_edge_10_90_median_mm
ideal_reference,20260730,1.0,900.0,iterative,True,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7/full/ideal_reference/iterative/recon/epoch_05.mhd,1.0,0.0,2.0957913398742676,0.9994467496871948,0.0018257411429658532,0.0019077183223318813,0.0015063114697113633,0.0,0.0,0.0,0.06000594543423619,0.010970178991556168,0.03986778053187467,0.007518005557358265,0.42593629876862915,0.24103227514758094,0.7068926874792688,0.8485722776256253,2.0698397541046143,1.0700366353988648,551.1357132420194,542.1451183686795,0.7684091579137778,0.922418227708573,0.05203359069413642,0.5515413190027184,0.5851941115792313,3.9426178398242464,1.1285147962474842
ideal_reference,20260730,0.5,450.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/ideal_reference/seed_20260730/f050/iterative/recon/epoch_05.mhd,1.0,0.0,2.102750301361084,0.9994389414787292,0.002777923597022891,0.002834032348780624,0.002229832811281085,0.0,0.0,0.0,0.060047002120868956,0.011629506014287472,0.039944325863816375,0.00817725621163845,0.4258460306871317,0.24102290211313546,0.7070248687491538,0.8487309514430696,2.0718784523010254,1.0721474885940552,367.6711880611566,355.7567554537951,0.7685059845045784,0.9225344608525451,0.05286035689848822,0.5530503812319281,0.7100557051517107,3.95763641358485,1.1133857269784164
ideal_reference,20260730,0.25,225.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/ideal_reference/seed_20260730/f025/iterative/recon/epoch_05.mhd,1.0,0.0,2.1102521419525146,0.9994316697120667,0.005286877974867821,0.00531733835151133,0.00403648242354393,0.0,0.0,0.0,0.0602506600380204,0.013326941058039665,0.04025048726693932,0.009874721057713032,0.4259339589108588,0.24118495752344013,0.7070259729160956,0.8487322769136442,2.078864240646362,1.0792674827575683,196.57840651622752,189.9133859779548,0.7684059843189627,0.9224144180432734,0.053352713039690206,0.5502892114713691,0.9036815459170573,3.95763641358485,1.110842543266768
ideal_reference,20260730,0.1,90.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/ideal_reference/seed_20260730/f010/iterative/recon/epoch_05.mhd,1.0,0.0,2.3852272033691406,0.9994486570358276,0.08395236730575562,0.08395418171823338,0.05728800594806671,0.0,0.0,0.0,0.10763285927048385,0.06869489699602127,0.09781682693455548,0.06546306610107422,0.43478077844220303,0.2556880383501193,0.7064013892782111,0.8479825105494492,2.180244083404541,1.1801639556884767,22.11680702936569,20.12693883859486,0.7678128273784276,0.9217023771101239,0.05755151140205189,0.5512204253901131,1.0553413149570012,1.8394742031416105,1.139970482792213
continuous_hits,20260730,1.0,900.0,iterative,True,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7/full/continuous_hits/iterative/recon/epoch_05.mhd,1.0,0.0,2.0960469245910645,0.9994069337844849,0.0018880123971030116,0.0019789675797053105,0.0015642893267795444,0.0,0.0,0.0,0.0609497808939575,0.011407820507884026,0.040747891913339704,0.007954997010529041,0.4323746799668845,0.24692729956757586,0.7022318887105814,0.8429773341543565,2.0708066272735595,1.0711007475852967,516.9049225696258,512.6360796745213,0.7665257660615081,0.9201573554160463,0.0516530446849757,0.5518651738963798,0.5200161853298491,3.95763641358485,1.1733067221189903
continuous_hits,20260730,0.5,450.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/continuous_hits/seed_20260730/f050/iterative/recon/epoch_05.mhd,1.0,0.0,2.096315622329712,0.9993984699249268,0.0028829150833189487,0.002945009875947178,0.0023087263107299805,0.0,0.0,0.0,0.061008164971055254,0.012085766531527042,0.040840383486558676,0.00863292720168829,0.4324102648704399,0.2470424556722899,0.7022724793643809,0.8430260602257319,2.0738970184326173,1.0742632699012757,349.63174901659215,335.7726201830288,0.7666369412767411,0.9202908130199073,0.05216741056534072,0.5524762711490067,0.6744274893309236,3.95763641358485,1.1675698083760686
continuous_hits,20260730,0.25,225.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/continuous_hits/seed_20260730/f025/iterative/recon/epoch_05.mhd,1.0,0.0,2.1044487953186035,0.9993943572044373,0.005564114078879356,0.005596977251425072,0.004215006250888109,0.0,0.0,0.0,0.06127852350436858,0.013877476565539837,0.041237731981555795,0.010424639098346233,0.4326029367593223,0.24732406084404682,0.7022343146889926,0.8429802463616296,2.07986927986145,1.080334722995758,194.03972062911544,186.9066166264051,0.7665874772161672,0.9202314350822292,0.05278876758821999,0.5506220747257043,0.826087958924535,3.95763641358485,1.1673448392256314
continuous_hits,20260730,0.1,90.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/continuous_hits/seed_20260730/f010/iterative/recon/epoch_05.mhd,1.0,0.0,2.477487087249756,0.9993903040885925,0.09025116264820099,0.0902532193092475,0.06299592554569244,0.0,0.0,0.0,0.11328197580040765,0.07428482174873352,0.10372215387574146,0.07105209678411484,0.44423190635165477,0.26483708834698577,0.700103816822471,0.8404227415817777,2.2223912334442137,1.2226071667671203,20.06862124924193,17.975258113315377,0.7643883357540341,0.917591528791304,0.058655125435406096,0.5449287109572846,1.2315464744242923,3.9426178398242464,1.234710352897477
combined_0p2mm_1pct,20260730,1.0,900.0,iterative,True,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7/full/energy_1pct/iterative/recon/epoch_05.mhd,1.0,0.0,2.0681710243225098,0.9997394680976868,0.002594005549326539,0.00260705350399218,0.002019895939156413,0.0,0.0,0.0,0.07863056305542572,0.016244998201727867,0.05690316325010156,0.012786317616701126,0.5538759887507899,0.35526429146643007,0.6066820165879655,0.728276794666454,2.0444243335723877,1.0439828777313231,371.8025339362677,327.4809439228291,0.677234373841017,0.8129696587138437,0.0557376505833292,0.5419536598462227,0.1701980206849407,0.3209509586854735,1.7677298387797598
combined_0p2mm_1pct,20260730,0.5,450.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260730/f050/iterative/recon/epoch_05.mhd,1.0,0.0,2.071382522583008,0.9997162222862244,0.004071802832186222,0.0040816767240850265,0.003132208250463009,0.0,0.0,0.0,0.07880890983265801,0.01735009253025055,0.057140820904762045,0.013891233131289482,0.5541330188204601,0.3555807925928009,0.6065930483821521,0.7281699949295483,2.0476913547515867,1.0474094009399415,245.07959894340505,217.3855630999167,0.6771745015254118,0.8128977864376218,0.05641035516318895,0.5404448129455683,0.2541626433609689,0.6212054290453473,1.7827335005236047
combined_0p2mm_1pct,20260730,0.25,225.0,iterative,False,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260730/f025/iterative/recon/epoch_05.mhd,1.0,0.0,2.0894150733947754,0.9996879696846008,0.00845008809119463,0.008455849203717525,0.006249622441828251,0.0,0.0,0.0,0.07929094514552851,0.02036336250603199,0.05781753173262772,0.01690482534468174,0.5538562595463012,0.35528604046255796,0.6068001145256143,0.7284185624873815,2.0553271770477295,1.0553264260292052,125.54390868444604,109.69407719580364,0.6768994939152043,0.8125676601893835,0.05623872169730257,0.5419426918233136,0.41437181456189903,0.7505815924773779,1.768509567717734
