input_rows,input_unique_merge_keys,input_duplicates_removed,output_rows,output_unique_run_event_track_keys,output_duplicate_run_event_track_rows,matched_input_merge_keys,unmatched_input_merge_keys,pairs,primary_pairs,secondary_pairs,local_run_id,run_id,input_in,input_out
100495,100495,0,91596,91596,0,88495,12000,88495,88495,0,0,143,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_143/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_143/PhaseSpaceOut.root
99753,99753,0,90825,90825,0,87695,12058,87695,87695,0,0,144,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_144/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_144/PhaseSpaceOut.root
99924,99924,0,90895,90895,0,87755,12169,87755,87755,0,0,145,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_145/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_145/PhaseSpaceOut.root
100139,100139,0,91181,91181,0,87967,12172,87967,87967,0,0,146,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_146/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_146/PhaseSpaceOut.root
99487,99487,0,90638,90638,0,87488,11999,87488,87488,0,0,147,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_147/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_147/PhaseSpaceOut.root
100159,100159,0,91167,91167,0,88067,12092,88067,88067,0,0,148,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_148/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_148/PhaseSpaceOut.root
99809,99809,0,90776,90776,0,87746,12063,87746,87746,0,0,149,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_149/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_149/PhaseSpaceOut.root
99429,99429,0,90556,90556,0,87463,11966,87463,87463,0,0,150,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_150/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_150/PhaseSpaceOut.root
100061,100061,0,91073,91073,0,87970,12091,87970,87970,0,0,151,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_151/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_151/PhaseSpaceOut.root
99726,99726,0,91036,91036,0,87861,11865,87861,87861,0,0,152,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_152/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_152/PhaseSpaceOut.root
99906,99906,0,90938,90938,0,87717,12189,87717,87717,0,0,153,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_153/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_153/PhaseSpaceOut.root
99527,99527,0,90604,90604,0,87514,12013,87514,87514,0,0,154,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_154/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_154/PhaseSpaceOut.root
99807,99807,0,90764,90764,0,87587,12220,87587,87587,0,0,155,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_155/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_155/PhaseSpaceOut.root
100308,100308,0,91365,91365,0,88200,12108,88200,88200,0,0,156,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_156/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_156/PhaseSpaceOut.root
100194,100194,0,91165,91165,0,88104,12090,88104,88104,0,0,157,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_157/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_157/PhaseSpaceOut.root
100702,100702,0,91763,91763,0,88419,12283,88419,88419,0,0,158,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_158/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s2_water_vacuum_pilot/run_158/PhaseSpaceOut.root
