epoch,subset,relaxation,pairs,measurements,residual_rmse_mm,update_l2,update_max_abs,image_min,image_max,elapsed_seconds
1,0,0.25,2771722,2409692,2.5514797429685765,1.628326416015625,0.1428915411233902,0.0,2.1739959716796875,45.832863571995404
1,1,0.25,2773426,2411492,2.5407012787859613,1.475186824798584,0.175042062997818,0.0,2.174368143081665,45.79206617499585
1,2,0.25,2773965,2411288,2.5362965327362845,1.3286566734313965,0.17883649468421936,0.0,2.174652576446533,45.75098206399707
1,3,0.25,2773479,2410404,2.5329108815754022,1.2487999200820923,0.3195532262325287,0.0,2.1748671531677246,45.78581774500344
1,4,0.25,2774453,2411486,2.528264225671697,1.1298941373825073,0.10547475516796112,0.0,2.1750309467315674,45.82688407399837
1,5,0.25,2777689,2415882,2.529570834691556,1.098498821258545,0.1728498935699463,0.0,2.174992799758911,45.96203224599594
1,6,0.25,2773773,2411065,2.524131921525299,1.141679048538208,0.3307541608810425,0.0,2.174960136413574,45.846401173999766
1,7,0.25,2774243,2412027,2.525714298169649,1.1238551139831543,0.4912049174308777,0.0,2.174863576889038,45.847263480995025
1,8,0.25,2775915,2413041,2.5239501988195343,1.018004298210144,0.15598464012145996,0.0,2.1750595569610596,45.80505892099609
1,9,0.25,2775267,2412926,2.520531908640023,0.9361642003059387,0.1405934989452362,0.0,2.1750402450561523,45.87380041599681
1,10,0.25,2774608,2412111,2.5223018731304716,1.0203123092651367,0.4027506113052368,0.0,2.1750760078430176,45.928908102003334
1,11,0.25,2774540,2412912,2.5206284076456824,0.9366476535797119,0.19676323235034943,0.0,2.1751279830932617,45.72710832500161
1,12,0.25,2773419,2410756,2.521023987563143,0.993061900138855,0.22750096023082733,0.0,2.174983263015747,45.80322504800279
1,13,0.25,2774288,2411468,2.5191777459994342,1.0671436786651611,0.4294276535511017,0.0,2.1749839782714844,45.81320579999738
1,14,0.25,2775399,2412484,2.5208208762131425,0.8883499503135681,0.16555657982826233,0.0,2.174997568130493,45.78534569499607
1,15,0.25,2774801,2411857,2.520112163603421,0.8644093871116638,0.19393441081047058,0.0,2.1748335361480713,45.76618128499831
1,16,0.25,2777526,2414503,2.518118109230403,0.8540254235267639,0.1612560898065567,0.0,2.1748745441436768,45.910461258994474
1,17,0.25,2775616,2412135,2.5205893979942227,0.9120590090751648,0.20611150562763214,0.0,2.1748836040496826,45.934599866995995
2,0,0.20833333333333334,2771722,2409692,2.5178387071198784,0.6729528307914734,0.10567587614059448,0.0,2.154308557510376,45.39671249400271
2,1,0.20833333333333334,2773426,2411492,2.515869929708979,0.6890122294425964,0.14024966955184937,0.0,2.154277801513672,45.40771401299571
2,2,0.20833333333333334,2773965,2411288,2.5176604942302383,0.6586852073669434,0.132928267121315,0.0,2.154268741607666,45.38617952599452
2,3,0.20833333333333334,2773479,2410404,2.517868999000234,0.6693004369735718,0.2527014911174774,0.0,2.154268264770508,45.41385254499619
2,4,0.20833333333333334,2774453,2411486,2.5154619160742255,0.6055168509483337,0.0729798823595047,0.0,2.1542601585388184,45.41353995800455
