sphere,voxels,zero_voxels,minimum,median,relative_to_support_median
AirSphere,2176,0,1263.5626220703125,1333.485107421875,0.9874081611633301
AluminiumSphere,280,0,1283.5625,1324.6754150390625,0.980884850025177
SpineBoneSphere,2176,0,1274.04541015625,1330.159423828125,0.9849455952644348
LungSphere,7208,0,1291.085693359375,1356.545166015625,1.0044834613800049
A150Sphere,4224,0,1278.299072265625,1337.255126953125,0.9901998043060303
