candidate,relaxation,relaxation_decay,max_epochs,passed,score,epoch,training_wepl_rmse_mm,matched_validation_wepl_rmse_mm,training_measurements,update_max_abs,validation_wepl_rmse_mm,phantom_rmse,water_bias,large_sphere_mape_percent,air_absolute_rsp_error,maximum_core_error_percent
baseline_extended,0.023148148148148147,0.2,50,False,13.990560893420527,50,0.14262234443639787,0.13990560893420528,35482553,0.0026061534881591797,,0.017310822382569313,-0.00037200318183749914,1.5108495073738715,0.04280628699036866,4.523983836269586
slow_decay,0.06122448979591836,0.05,30,False,15.80724054016354,30,0.1625695488411236,0.15807240540163542,35482553,0.00808417797088623,,0.01841030642390251,-0.00042824368574656546,2.430046457523172,0.05831748309704095,5.9080266728945
fixed_0p10,0.1,0.0,30,False,14.595509407494264,30,0.15130385945205993,0.14595509407494264,35482553,0.012112617492675781,,0.017682747915387154,-0.0003906053025275469,1.8064777170034223,0.04783769014450341,4.974757024125805
fixed_0p15,0.15,0.0,30,False,9.289355865678168,30,0.09652726402803227,0.09289355865678167,35482553,0.009730935096740723,,0.014114942401647568,-0.00023494908236898482,0.2940292559235557,0.011028239197755155,1.0560792310367266
