run_id,constant_projection_relative_error,adjoint_relative_error,valid_rays
0,1.1101541730340614e-07,3.9652826643476277e-07,256
37,1.0649723947153689e-07,1.0149154459384155e-08,256
90,1.1382320508346311e-07,4.8282676871639816e-08,256
179,1.049566478172892e-07,1.2120034207471176e-08,256
271,7.627573950230726e-08,7.84709963516939e-08,256
