epoch,training_wepl_rmse_mm,matched_validation_wepl_rmse_mm,training_measurements,update_max_abs,validation_wepl_rmse_mm,relaxation,phantom_rmse,water_bias,large_sphere_mape_percent,air_absolute_rsp_error,maximum_core_error_percent
1,2.5439506799223164,,354827702,0.3012809753417969,2.333911054455108,0.15,0.06703493744134903,0.0037533463910222054,79.75426307899363,0.8088817826208714,211.41353741861744
2,2.2479730027823885,,354827702,0.15873485803604126,2.1700664280169315,0.15,0.06077180430293083,0.004932457581162453,61.75469029934376,0.6715337267813328,162.71522145901994
3,2.124565995253792,,354827702,0.12255129218101501,2.0807961397819836,0.15,0.05661677569150925,0.0056745801120996475,48.84572708661514,0.5641025534567479,127.98896175968058
4,2.053161762494842,,354827702,0.0971270501613617,2.0258847046859065,0.15,0.053842585533857346,0.006222249940037727,39.164780830512726,0.4774402311739567,102.08924642948527
5,2.0079352846334233,,354827702,0.07891392707824707,1.9899753452505715,0.15,0.05200766399502754,0.006647496949881315,31.708552710869537,0.40620475324960975,82.2447491739266
6,1.9777601166356231,,354827702,0.06817412376403809,1.9654913774364322,0.15,0.05081910640001297,0.006986889522522688,25.857912437703522,0.3468847206530216,66.74921963528571
7,1.9568563698338932,,354827702,0.05924654006958008,1.9482486606345937,0.15,0.05007901415228844,0.007263063918799162,21.201791046915474,0.29701023611398963,54.47424717128911
8,1.9419342311546297,,354827702,0.05172908306121826,1.9357766330633006,0.15,0.04965215548872948,0.0074912612326443195,17.45434576076725,0.254760943978751,44.6385036379682
9,1.9310097438606197,,354827702,0.04575395584106445,1.9265465521853193,0.15,0.0494452565908432,0.007682239171117544,14.410168499913448,0.21875099155279426,36.68274797291001
10,1.9228349976270076,,354827702,0.04152119159698486,1.919577592641959,0.15,0.04939340800046921,0.00784384272992611,11.917887495570904,0.1879005065855625,30.19649370359837
11,1.9165984547258028,,354827702,0.03819131851196289,1.914221521001692,0.15,0.0494510680437088,0.007981936447322369,9.863779194443298,0.16135332795950202,24.872407035881732
12,1.911757523705669,,354827702,0.035204410552978516,1.9100389750317046,0.15,0.04958600923418999,0.008100982755422592,8.160944460903105,0.13842140945764808,20.476475122479677
13,1.9079406931051976,,354827702,0.03251147270202637,1.9067255477882383,0.15,0.04977525770664215,0.008204436860978603,6.742120191679994,0.11854585322710305,16.828160572875618
14,1.9048882264514384,,354827702,0.03007364273071289,1.90406619250056,0.15,0.0500023178756237,0.008295007981359959,5.554625817573093,0.10126829954954415,13.786513073678009
15,1.9024151278427963,,354827702,0.02785813808441162,1.9019063132530436,0.15,0.05025526136159897,0.008374843746423721,4.55679769746341,0.08620989385219842,11.24043713256423
16,1.9003874135016883,,354827702,0.02625107765197754,1.90013300040688,0.15,0.050525419414043427,0.008445663377642632,3.7153829184793725,0.07305530521246224,9.101545854675924
17,1.8987065702792187,,354827702,0.024803876876831055,1.8986626484318618,0.15,0.050806473940610886,0.00850885733962059,3.0036478974944,0.06154687020155221,7.299035056867027
18,1.897299482452304,,354827702,0.023491382598876953,1.8974332443240864,0.15,0.05109376832842827,0.008565504103899002,2.3999758954654147,0.05156147542568475,5.991545069864031
19,1.8961116495103427,,354827702,0.02229452133178711,1.8963974208485153,0.15,0.05138388276100159,0.00861639715731144,1.8867396303420554,0.043019727498019036,5.289639748057891
20,1.8951003369932364,,354827702,0.02119731903076172,1.8955177860049852,0.15,0.05167430639266968,0.008662289008498192,1.4495098327257214,0.03574788260432511,4.654854389438939
21,1.8942321438925822,,354827702,0.020187854766845703,1.8947654838548955,0.15,0.05196321755647659,0.008703848347067833,1.0763917546055992,0.029593010127270516,4.080376257982831
22,1.8934811396915006,,354827702,0.019255876541137695,1.894117608354538,0.15,0.05224931240081787,0.008741650730371475,0.7575620290389194,0.024382386982167062,3.560217886440105
23,1.8928266979053023,,354827702,0.018393278121948242,1.8935561385650963,0.15,0.0525316558778286,0.008776207454502583,0.48485632123226924,0.019962855308974084,3.0890520225812
24,1.8922526312539347,,354827702,0.017592668533325195,1.893066930264224,0.15,0.052809592336416245,0.008807932026684284,0.2705829798308041,0.0162280431685093,2.6621205650557824
25,1.8917460235034658,,354827702,0.0168459415435791,1.8926384356340218,0.15,0.05308268591761589,0.008837183937430382,0.14087151009294058,0.013064649581635293,2.27522318037516
26,1.891296291691585,,354827702,0.01614856719970703,1.8922612355888726,0.15,0.053350646048784256,0.008864288218319416,0.2644733305252534,0.010361001521075067,1.9245693236836843
27,1.890894963678695,,354827702,0.015496253967285156,1.8919280305864703,0.15,0.05361330881714821,0.00888948142528534,0.3693822969509252,0.008071615986252126,1.606835153846672
28,1.8905352894081342,,354827702,0.014884233474731445,1.89163263361958,0.15,0.053870584815740585,0.008912970311939716,0.45829920835133703,0.006139585442567166,1.3189358730987153
29,1.8902117441541928,,354827702,0.014309883117675781,1.8913702113837327,0.15,0.054122444242239,0.008934900164604187,0.5334888895857552,0.004550621539080438,1.4183187099297927
30,1.889919716642966,,354827702,0.013768672943115234,1.8911364036551643,0.15,0.05436890944838524,0.008955413475632668,0.5968659651385018,0.003248622800880965,1.6371155269825062
