case,selected_epoch,epoch,training_wepl_rmse_mm,matched_validation_wepl_rmse_mm,training_measurements,update_max_abs,validation_wepl_rmse_mm,phantom_rmse,water_bias,large_sphere_mape_percent,air_absolute_rsp_error,maximum_core_error_percent
uniform_water,2,2,4.4247053897313294e-05,9.703118094073567e-06,35482553,8.165836334228516e-06,,4.244049023327534e-07,1.0219746116035822e-07,0.0,0.0,0.0
center_air,20,20,0.14687330992508646,0.1442786200752718,35482553,0.008474081754684448,,0.013858032412827015,-0.0004239929548930377,0.0,0.11132524225088387,0.0
center_high_rsp,20,20,0.055725145619299025,0.05490450867146183,35482553,0.0026574134826660156,,0.0053228759206831455,0.00019371704547666013,2.0602019126409408,0.0,2.0602019126409408
offaxis_high_rsp,20,20,0.05037341214524525,0.04887842591926596,35482553,0.0025491714477539062,,0.005023378413170576,0.00016969368152786046,1.6438721319167857,0.0,1.6438721319167857
five_sphere,20,20,0.22170736088609455,0.21566594389370933,35482553,0.009552001953125,,0.021601008251309395,-0.0006121377227827907,5.791703082978171,0.11122365358444482,14.431220199653723
