partition,group,count,water_rmse_mm,inhomogeneous_rmse_mm,mean_relative_improvement
train,all,178003,0.2824429692711577,0.28112976693250297,-0.001043106149502678
train,heterogeneous,89642,0.3340378730168376,0.33181186355912234,-0.0011766797528576642
validation,all,22462,0.27381473898512293,0.27273099795654265,6.0869752989660814e-05
validation,heterogeneous,11202,0.3221554856178079,0.3203384940708703,0.0007371527634492932
test,all,22436,0.2862051935904148,0.28519455551458356,-0.0008895197512309514
test,heterogeneous,11301,0.3390227511868763,0.33735078610311536,-0.000883065455097488
