run,depth_mm,count,water_rms_mm,inhomogeneous_rms_mm
0,-99.75,193,0.000518148156176781,0.0005182361605160652
0,-99.25,356,0.0008425254569310939,0.0008415311040077067
0,-98.75,467,0.0011538457348290434,0.0011512042720806198
0,-98.25,550,0.0017281220762664377,0.001722156537458722
0,-97.75,609,0.002476817867607724,0.0024694386144870394
0,-97.25,665,0.0033218872602833504,0.0033134543559488997
0,-96.75,739,0.004151075418581841,0.004143463150562219
0,-96.25,797,0.005073190208887056,0.005067344374085559
0,-95.75,848,0.006094166600182916,0.006090925791059196
0,-95.25,883,0.0072673326033717255,0.007265821484700374
0,-94.75,924,0.008538031255984775,0.008536236547446058
0,-94.25,973,0.009900559436485922,0.009894615324392427
0,-93.75,1016,0.01135746725606966,0.01134570752146461
0,-93.25,1066,0.01283377018576204,0.012815844888555321
0,-92.75,1102,0.01442683720176703,0.014403679494652084
0,-92.25,1138,0.01605807033723519,0.016031179500115855
0,-91.75,1174,0.017730141910364376,0.017700525105821537
0,-91.25,1213,0.019380795808771865,0.019350151686016406
0,-90.75,1259,0.020979076431846135,0.02094831393644664
0,-90.25,1292,0.022688361512356287,0.022648929735002883
0,-89.75,1338,0.024323239464512602,0.024271148482218168
0,-89.25,1364,0.02619813981072121,0.026133889746625023
0,-88.75,1388,0.028150261421132087,0.02807689376044857
0,-88.25,1426,0.030004080088585502,0.029924451216472775
0,-87.75,1462,0.03190996915597042,0.0318247123489466
0,-87.25,1496,0.033872180792014026,0.03378036367304747
0,-86.75,1536,0.0357938565886601,0.03569526823785499
0,-86.25,1577,0.037725649923551714,0.0376216476746301
0,-85.75,1599,0.03992476061119525,0.03981537964882894
0,-85.25,1628,0.04205479811925289,0.041940393786113486
0,-84.75,1657,0.04420845740357801,0.04408986370328434
0,-84.25,1685,0.04638343234544097,0.04626183954453852
0,-83.75,1716,0.0485192615543521,0.048396899174879944
0,-83.25,1743,0.050711747037193396,0.05058973040715736
0,-82.75,1762,0.05305983709324462,0.05293832764716775
0,-82.25,1788,0.055339087539550885,0.05521707299029321
0,-81.75,1812,0.057676278103787885,0.05755325673280065
0,-81.25,1836,0.060031067159789654,0.05990606768898074
0,-80.75,1856,0.06246739480393417,0.062339621145710046
0,-80.25,1884,0.06478325724756058,0.06465217083979147
0,-79.75,1910,0.06714179324256742,0.0670073335550461
0,-79.25,1934,0.06956825055844214,0.06943066618792977
0,-78.75,1951,0.07214467247549217,0.0720031560090009
0,-78.25,1971,0.07464082882090639,0.0744933007002429
0,-77.75,1991,0.07713527170334103,0.07698055031400501
0,-77.25,2009,0.07968607496730166,0.07952384475509447
0,-76.75,2028,0.08224791266922252,0.08207824580628605
0,-76.25,2049,0.08478254950752752,0.08460840245224605
0,-75.75,2073,0.08722661926960855,0.08705638376273668
0,-75.25,2082,0.08995673729667222,0.08979549216880992
0,-74.75,2100,0.09251011674303311,0.09235960314517147
0,-74.25,2115,0.09515843331015185,0.09502028063709883
0,-73.75,2135,0.09770699224444404,0.09758212451456612
0,-73.25,2147,0.10044557697847321,0.10033331867568335
0,-72.75,2161,0.10313014994416866,0.10302980405411284
0,-72.25,2176,0.1057864562416238,0.10569718265274382
0,-71.75,2190,0.10846011155246604,0.10838247792246872
0,-71.25,2200,0.11123851977799148,0.11117467470427808
0,-70.75,2209,0.11405014018655277,0.11400229583755488
0,-70.25,2226,0.1166819557933508,0.11665104252733806
0,-69.75,2242,0.11933805787626799,0.11932622065831755
0,-69.25,2250,0.12221944589210826,0.12222701711476504
0,-68.75,2264,0.12490676159166929,0.12492880789532274
0,-68.25,2280,0.12754946090329128,0.12758560967679586
0,-67.75,2289,0.13040893822233746,0.13045834804004988
0,-67.25,2303,0.1331261495291872,0.13318863504862608
0,-66.75,2321,0.13572894733960691,0.13580380649808618
0,-66.25,2335,0.13845728900866874,0.13854530202226828
0,-65.75,2353,0.1410777318831029,0.14117968232773362
0,-65.25,2366,0.14384681271243288,0.14396448487371524
0,-64.75,2378,0.1466512505204175,0.14678658815340176
0,-64.25,2393,0.14936097209499605,0.14951426887067154
0,-63.75,2403,0.15222616957005433,0.15239794044627164
0,-63.25,2413,0.15508565178777692,0.15527741250855046
0,-62.75,2427,0.15782040865765354,0.1580331455096741
0,-62.25,2440,0.16058322406983158,0.16081732828575768
0,-61.75,2456,0.16324529337683627,0.1634995590402981
0,-61.25,2467,0.16605572063128093,0.1663271749720346
0,-60.75,2482,0.1686714646484717,0.168952307002086
0,-60.25,2488,0.1716133464667117,0.17190437529200756
0,-59.75,2496,0.17448271038216384,0.17478482392395137
0,-59.25,2501,0.17745060050701997,0.17776236282770652
0,-58.75,2519,0.17996588433063002,0.18028780263627772
0,-58.25,2530,0.18265923470555379,0.18298739958333166
0,-57.75,2536,0.1855337478281803,0.18586930501769927
0,-57.25,2548,0.1881952114090413,0.188538685008068
0,-56.75,2556,0.1910026986143845,0.19135189782620352
0,-56.25,2561,0.19389044598008054,0.1942405127720924
0,-55.75,2572,0.19644699926531525,0.1967768235514808
0,-55.25,2581,0.19907580846949693,0.19938157742872367
0,-54.75,2594,0.20155751307463626,0.201839067126121
0,-54.25,2602,0.20425725012652773,0.20451434699161344
0,-53.75,2608,0.20704976820028811,0.20728226461173116
0,-53.25,2622,0.20952000455974926,0.2097277518289225
0,-52.75,2629,0.2122619560011539,0.21244505314563722
0,-52.25,2642,0.2147508099559697,0.21490743773429058
0,-51.75,2650,0.2174491791479413,0.21757869951647776
0,-51.25,2662,0.2199873822275491,0.22008919518672226
0,-50.75,2672,0.22262412554732838,0.22269749460070487
0,-50.25,2676,0.2255224777189502,0.2255685104122698
0,-49.75,2683,0.2283078570349231,0.2283275601508117
0,-49.25,2694,0.23090423650313907,0.2309016013752892
0,-48.75,2703,0.23356719713184285,0.23354338413005438
0,-48.25,2707,0.23642106695273035,0.2363774685359134
0,-47.75,2710,0.23932505199939352,0.23926397059371443
0,-47.25,2722,0.2418264998526113,0.24175020631050373
0,-46.75,2727,0.24463586422524622,0.24454601146431337
0,-46.25,2732,0.24744333478821956,0.24734136674457402
0,-45.75,2744,0.24993370674426085,0.24982181876719128
0,-45.25,2754,0.2525020140244748,0.2523808507952906
0,-44.75,2759,0.25527363187672797,0.255143540328094
0,-44.25,2765,0.2579848603836654,0.25784577499225586
0,-43.75,2770,0.26072906478208496,0.26058003158828025
0,-43.25,2778,0.2633272945157691,0.2631682969151106
0,-42.75,2783,0.2660387856191267,0.26586758522545434
0,-42.25,2791,0.2685864735617261,0.2684029039055339
0,-41.75,2793,0.2714154238577136,0.2712195673100412
0,-41.25,2800,0.27402577251080046,0.2738177046845543
0,-40.75,2808,0.2765802298440835,0.2763581211245445
0,-40.25,2814,0.2792150318173227,0.278980007186817
0,-39.75,2819,0.28187547099964316,0.2816239045958033
0,-39.25,2828,0.2842984942115076,0.28403003961258444
0,-38.75,2838,0.2866333117436771,0.2863449373607545
0,-38.25,2842,0.2892386091574784,0.2889258317528671
0,-37.75,2849,0.29167478832894717,0.2913386767110399
0,-37.25,2854,0.29420710684368334,0.2938482551846127
0,-36.75,2864,0.2964764910899648,0.2960949860220589
0,-36.25,2872,0.29880153334832477,0.2983962503666332
0,-35.75,2880,0.3010963464659172,0.30066839935441186
0,-35.25,2883,0.30362768930137446,0.3031794985956254
0,-34.75,2887,0.30608399807611575,0.3056189290060923
0,-34.25,2894,0.30834848382989616,0.3078680317119733
0,-33.75,2897,0.3108113204821598,0.3103146244755588
0,-33.25,2903,0.31307170979682974,0.3125577003213994
0,-32.75,2904,0.31557922730237364,0.31504887273687965
0,-32.25,2908,0.31791373021003655,0.31736866883172415
0,-31.75,2917,0.31993810615981294,0.3193788618933203
0,-31.25,2922,0.32216047252711494,0.32158919838465677
0,-30.75,2925,0.3244746577718787,0.32389000636375953
0,-30.25,2931,0.32659344704649373,0.3259951101206982
0,-29.75,2939,0.3285816974874752,0.3279699072233116
0,-29.25,2940,0.33091729756944405,0.33029089701059333
0,-28.75,2941,0.3332166960779579,0.3325753608403015
0,-28.25,2946,0.3352249279334718,0.33457048273562845
0,-27.75,2951,0.3371843425087116,0.33651562322463735
0,-27.25,2954,0.33916635418924557,0.33848198224152565
0,-26.75,2956,0.34115876281607405,0.3404650304393631
0,-26.25,2962,0.34291869775288475,0.3422202665693317
0,-25.75,2963,0.3449639111553539,0.3442614422166347
0,-25.25,2966,0.34688307581317485,0.34617758455128306
0,-24.75,2968,0.3488465600364391,0.3481365131656299
0,-24.25,2971,0.3507338772886795,0.3500163683607179
0,-23.75,2973,0.3526655851443013,0.3519394452371688
0,-23.25,2976,0.3545186791640436,0.35378309793397433
0,-22.75,2982,0.3561751745480458,0.35543023625588394
0,-22.25,2984,0.35804465336298946,0.35728867236273104
0,-21.75,2987,0.3597448315437034,0.35897547524601603
0,-21.25,2989,0.36147326890238374,0.3606898255394183
0,-20.75,2991,0.36316502668601763,0.362367513924311
0,-20.25,2995,0.3647145396469648,0.3639038483658929
0,-19.75,2997,0.3663573664118805,0.3655326661861972
0,-19.25,2998,0.3680303173442613,0.3671920147436949
0,-18.75,2998,0.3697188064148517,0.36886560010986297
0,-18.25,2998,0.3713844176376946,0.3705164386441876
