input_rows,input_unique_merge_keys,input_duplicates_removed,output_rows,output_unique_run_event_track_keys,output_duplicate_run_event_track_rows,matched_input_merge_keys,unmatched_input_merge_keys,pairs,primary_pairs,secondary_pairs,local_run_id,run_id,matched_same_track_pairs,secondary_pairs_removed,input_in,input_out
100177,100177,0,90615,90615,0,87619,12558,87609,87609,0,0,0,87619,10,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_000/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_000/PhaseSpaceOut.root
99576,99576,0,90128,90128,0,87180,12396,87168,87168,0,0,1,87180,12,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_001/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_001/PhaseSpaceOut.root
99889,99889,0,90397,90397,0,87327,12562,87317,87317,0,0,2,87327,10,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_002/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_002/PhaseSpaceOut.root
99730,99730,0,90231,90230,1,87301,12429,87288,87288,0,0,3,87301,13,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_003/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_003/PhaseSpaceOut.root
99915,99915,0,90452,90452,0,87448,12467,87428,87428,0,0,4,87448,20,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_004/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_004/PhaseSpaceOut.root
100130,100130,0,90447,90447,0,87437,12693,87429,87429,0,0,5,87437,8,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_005/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_005/PhaseSpaceOut.root
99996,99996,0,90412,90412,0,87373,12623,87358,87358,0,0,6,87373,15,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_006/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_006/PhaseSpaceOut.root
100370,100370,0,90844,90844,0,87898,12472,87888,87888,0,0,7,87898,10,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_007/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_007/PhaseSpaceOut.root
99646,99646,0,90134,90134,0,87060,12586,87051,87051,0,0,8,87060,9,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_008/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_008/PhaseSpaceOut.root
99690,99690,0,90307,90307,0,87202,12488,87188,87188,0,0,9,87202,14,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_009/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_009/PhaseSpaceOut.root
100276,100276,0,90740,90740,0,87755,12521,87743,87743,0,0,10,87755,12,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_010/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_010/PhaseSpaceOut.root
99640,99640,0,90129,90129,0,87141,12499,87128,87128,0,0,11,87141,13,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_011/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s5_resolution_air_pilot/run_011/PhaseSpaceOut.root
