dataset,method,fixed_reference_mape_percent,mlic_reference_mape_percent,mlic_large_insert_mape_percent,mlic_maximum_ape_percent,non_air_insert_count
s4,analytic_no_hann,1.169677646942251,1.1585801814029129,1.1722803314021515,1.5335680646696306,13
s4,stage4_epoch_05,1.203489795607589,1.1924120343145428,1.1987247329556214,1.4645071444707425,13
