dataset,method,insert_id,material,ring_radius_mm,diameter_mm,mean_rsp,std_rsp,fixed_reference_rsp,fixed_absolute_error_percent,mlic_reference_rsp,mlic_reference_sd,mlic_signed_error_percent,mlic_absolute_error_percent
s4,analytic_no_hann,1,Lung,30.0,15.0,0.26152560114860535,0.025060229003429413,0.25748988758806907,1.5673289535131543,0.25814526074916555,0.0008322995423166121,1.3094721900489987,1.3094721900489987
s4,analytic_no_hann,2,A150_Tissue_Plastic,30.0,15.0,1.140082597732544,0.028694987297058105,1.1244583097375929,1.3894946446344651,1.124244586148391,0.0008333933306378958,1.4087692108363423,1.4087692108363423
s4,analytic_no_hann,3,SpineBone,30.0,15.0,1.3362879753112793,0.031166283413767815,1.3215450211843316,1.1155847050700916,1.3222608703586636,0.0008886649526699267,1.0608424757219705,1.0608424757219705
s4,analytic_no_hann,4,Aluminium,30.0,15.0,2.1074745655059814,0.031091971322894096,2.1021010459005205,0.2556261325277533,2.094511207867794,0.0029938446471523016,0.6189204235094176,0.6189204235094176
s4,analytic_no_hann,6,Lung,60.0,15.0,0.2604043185710907,0.028600558638572693,0.25748988758806907,1.1318623074177276,0.25814526074916555,0.0008322995423166121,0.8751110965078797,0.8751110965078798
s4,analytic_no_hann,7,A150_Tissue_Plastic,60.0,15.0,1.139045000076294,0.036006633192300797,1.1244583097375929,1.2972193110569903,1.124244586148391,0.0008333933306378958,1.3164763353327331,1.3164763353327331
s4,analytic_no_hann,8,SpineBone,60.0,15.0,1.3387736082077026,0.032971955835819244,1.3215450211843316,1.3036700791268743,1.3222608703586636,0.0008886649526699267,1.2488260236090913,1.2488260236090913
s4,analytic_no_hann,9,Aluminium,60.0,15.0,2.1142468452453613,0.03432108461856842,2.1021010459005205,0.5777933162883561,2.094511207867794,0.0029938446471523016,0.9422550379980191,0.9422550379980191
s4,analytic_no_hann,11,Lung,85.0,15.0,0.2621040940284729,0.03085728920996189,0.25748988758806907,1.7919952055692443,0.25814526074916555,0.0008322995423166121,1.5335680646696308,1.5335680646696306
s4,analytic_no_hann,12,A150_Tissue_Plastic,85.0,15.0,1.1393698453903198,0.033895980566740036,1.1244583097375929,1.3261083602296257,1.124244586148391,0.0008333933306378958,1.3453708764342192,1.3453708764342192
s4,analytic_no_hann,13,SpineBone,85.0,15.0,1.3391739130020142,0.03405093401670456,1.3215450211843316,1.333960745573696,1.3222608703586636,0.0008886649526699267,1.279100291212801,1.279100291212801
s4,analytic_no_hann,14,Aluminium,85.0,15.0,2.1181509494781494,0.03533437103033066,2.1021010459005205,0.7635172252508581,2.094511207867794,0.0029938446471523016,1.1286519509447133,1.1286519509447135
s4,analytic_no_hann,15,Aluminium,0.0,5.0,2.07368803024292,0.01904199831187725,2.1021010459005205,1.3516484239904223,2.094511207867794,0.0029938446471523016,-0.9941783814120474,0.9941783814120473
s4,stage4_epoch_05,1,Lung,30.0,15.0,0.2612367868423462,0.007609882857650518,0.25748988758806907,1.4551636529786343,0.25814526074916555,0.0008322995423166121,1.1975916521607628,1.1975916521607628
s4,stage4_epoch_05,2,A150_Tissue_Plastic,30.0,15.0,1.1403868198394775,0.008555599488317966,1.1244583097375929,1.416549636740361,1.124244586148391,0.0008333933306378958,1.4358293462091836,1.4358293462091836
s4,stage4_epoch_05,3,SpineBone,30.0,15.0,1.3368167877197266,0.009737539105117321,1.3215450211843316,1.1555994151231292,1.3222608703586636,0.0008886649526699267,1.1008355225028092,1.1008355225028092
s4,stage4_epoch_05,4,Aluminium,30.0,15.0,2.106867551803589,0.011886185966432095,2.1021010459005205,0.22674960903349192,2.094511207867794,0.0029938446471523016,0.5899392607392018,0.5899392607392018
s4,stage4_epoch_05,6,Lung,60.0,15.0,0.26111942529678345,0.007896551862359047,0.25748988758806907,1.4095845637716444,0.25814526074916555,0.0008322995423166121,1.152128278081321,1.152128278081321
s4,stage4_epoch_05,7,A150_Tissue_Plastic,60.0,15.0,1.1400887966156006,0.011058835312724113,1.1244583097375929,1.3900459219030805,1.124244586148391,0.0008333933306378958,1.4093205929050678,1.4093205929050678
s4,stage4_epoch_05,8,SpineBone,60.0,15.0,1.3385722637176514,0.013015588745474815,1.3215450211843316,1.2884345414173206,1.3222608703586636,0.0008886649526699267,1.2335987341562427,1.2335987341562427
s4,stage4_epoch_05,9,Aluminium,60.0,15.0,2.1144046783447266,0.012755108997225761,2.1021010459005205,0.5853016660735881,2.094511207867794,0.0029938446471523016,0.9497905956389786,0.9497905956389786
s4,stage4_epoch_05,11,Lung,85.0,15.0,0.2619258165359497,0.00938568077981472,0.25748988758806907,1.7227585088612163,0.25814526074916555,0.0008322995423166121,1.4645071444707425,1.4645071444707425
s4,stage4_epoch_05,12,A150_Tissue_Plastic,85.0,15.0,1.1399458646774292,0.027613528072834015,1.1244583097375929,1.377334740267121,1.124244586148391,0.0008333933306378958,1.396606994820414,1.396606994820414
s4,stage4_epoch_05,13,SpineBone,85.0,15.0,1.339340090751648,0.011212162673473358,1.3215450211843316,1.3465352509420312,1.3222608703586636,0.0008886649526699267,1.2916679889613334,1.2916679889613334
s4,stage4_epoch_05,14,Aluminium,85.0,15.0,2.118867874145508,0.012279932387173176,2.1021010459005205,0.797622372991331,2.094511207867794,0.0029938446471523016,1.162880684821398,1.162880684821398
s4,stage4_epoch_05,15,Aluminium,0.0,5.0,2.071122646331787,0.001014448469504714,2.1021010459005205,1.4736874627957062,2.094511207867794,0.0029938446471523016,-1.1166596506216004,1.1166596506216004
