material,mlic_rsp_200mev,bootstrap_sd,ci95_low,ci95_high,thickness_mm,range_shift_mm,protons
Water,0.9997458098472691,0.0007470701924185397,0.9982193136083659,1.0011805815877557,15.0,14.996187147709037,1000000
Aluminium,2.094511207867794,0.0029938446471523016,2.0885761387054993,2.1004784971875874,5.0,10.472556039338969,1000000
Lung,0.25814526074916555,0.0008322995423166121,0.2564315711309726,0.25970702516111477,15.0,3.8721789112374836,1000000
A150_Tissue_Plastic,1.124244586148391,0.0008333933306378958,1.122580070957366,1.1258568470058767,15.0,16.863668792225866,1000000
SpineBone,1.3222608703586636,0.0008886649526699267,1.3204729040606356,1.3239453257565303,15.0,19.833913055379952,1000000
