dataset,method,metric_definition,measured_rsp,fixed_reference_rsp,fixed_signed_error_percent,mlic_reference_rsp,mlic_signed_error_percent,mlic_recovery_percent
results0716,analytic_no_hann,mean of aluminium inner ROIs,2.0954566747826617,2.1189760409708303,-1.109940166071575,2.094511207867794,0.04514021750355476,100.04514021750356
results0716,iterative_epoch_03,mean of aluminium inner ROIs,2.0916698631586628,2.1189760409708303,-1.2886496724926104,2.094511207867794,-0.13565669634318123,99.86434330365681
s1,stage4_epoch_05,mean insert peak ROI metric retained by Stage 4,2.0972375583648684,2.1189760409708303,-1.025895630042244,2.094511207867794,0.1301664315203115,100.13016643152032
