energy_mev,name,material,thickness_mm,reference_r80_mm,sample_r80_mm,range_shift_mm,mlic_rsp,mlic_rsp_bootstrap_sd,mlic_rsp_ci95_low,mlic_rsp_ci95_high,water_control_error_percent
150.0,Water,Water,15.0,155.86355487425573,140.8256554031848,15.037899471070915,1.0025266314047276,0.0013840179641859717,0.9998528742965854,1.0052343576921625,0.25266314047276417
150.0,Aluminium,Aluminium,5.0,155.86355487425573,145.38268800929927,10.480866864956454,2.0961733729912906,0.00434920329625865,2.0872121705810818,2.104380301307345,
150.0,Lung,Lung,15.0,155.86355487425573,152.01135317320612,3.8522017010496086,0.2568134467366406,0.001327718411494132,0.25408455532912433,0.25931130987193884,
150.0,A150,A150_Tissue_Plastic,15.0,155.86355487425573,138.95280314738784,16.910751726867886,1.127383448457859,0.001299359087709336,1.1248598282465945,1.1300210385864595,
150.0,SpineBone,SpineBone,15.0,155.86355487425573,136.03167618957139,19.83187868468434,1.3221252456456227,0.0016429327327030837,1.3187475852487562,1.3252926591429355,
180.0,Water,Water,15.0,213.93362349425357,199.00070402518034,14.932919469073227,0.9955279646048818,0.001856154878178442,0.9916397455623072,0.9990648079207595,-0.4472035395118201
180.0,Aluminium,Aluminium,5.0,213.93362349425357,203.4974694952299,10.436153999023674,2.087230799804735,0.005957128817356327,2.075619976650204,2.0985345866564,
180.0,Lung,Lung,15.0,213.93362349425357,210.13131165909013,3.8023118351634366,0.2534874556775624,0.001990273730303591,0.2496380229909853,0.25743691235268146,
180.0,A150,A150_Tissue_Plastic,15.0,213.93362349425357,197.06459215878587,16.869031335467696,1.1246020890311796,0.0017076850935040732,1.1213254092363178,1.1278551307145301,
180.0,SpineBone,SpineBone,15.0,213.93362349425357,194.1337843851113,19.799839109142255,1.319989273942817,0.0016794204842083367,1.3165959702046082,1.3233073351415918,
200.0,Water,Water,15.0,256.5732050892739,241.5751073164609,14.998097772813026,0.9998731848542017,0.0018916968986562163,0.9961556979374834,1.003610223122411,-0.01268151457982647
200.0,Aluminium,Aluminium,5.0,256.5732050892739,246.08143698083262,10.491768108441306,2.0983536216882612,0.007269152641989316,2.0844378481129455,2.113016285316778,
200.0,Lung,Lung,15.0,256.5732050892739,252.6744507711106,3.898754318163327,0.2599169545442218,0.0024086115251659014,0.2551245620010201,0.2644789048315262,
200.0,A150,A150_Tissue_Plastic,15.0,256.5732050892739,239.651309727769,16.921895361504937,1.1281263574336624,0.0017641168934681357,1.1247217873837498,1.1316932288357624,
200.0,SpineBone,SpineBone,15.0,256.5732050892739,236.73906473353554,19.834140355738384,1.3222760237158924,0.002176360588651821,1.3181215195309235,1.3268382853186247,
220.0,Water,Water,15.0,301.9813056405138,287.0278715874732,14.95343405304061,0.9968956035360407,0.003121595815371279,0.9906168269647561,1.0031030997008665,-0.31043964639593247
220.0,Aluminium,Aluminium,5.0,301.9813056405138,291.53554782315376,10.445757817360061,2.0891515634720124,0.0077697600814103564,2.074222270737432,2.1041710858169633,
220.0,Lung,Lung,15.0,301.9813056405138,298.1558815044984,3.8254241360154424,0.2550282757343628,0.002673822132605104,0.2500151772982188,0.2605388194385272,
220.0,A150,A150_Tissue_Plastic,15.0,301.9813056405138,285.0799137436819,16.90139189683191,1.126759459788794,0.0028782677531416063,1.1209729286752135,1.1323982925773275,
220.0,SpineBone,SpineBone,15.0,301.9813056405138,282.14787809473216,19.83342754578166,1.3222285030521106,0.0035393833369320115,1.3153815199394674,1.3293598886780846,
