epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,9.326505661010742,0.02499455213546753,245.7218199511191,129.57670696985258,0.5339642569997523
2,huber_tv,0.0125,100,0.002,0.25,0.25,5.548232078552246,0.02485191822052002,127.51903701865308,86.97187076772782,0.504885573998763
3,huber_tv,0.0125,100,0.002,0.25,0.25,3.1516311168670654,0.024841248989105225,85.75075984574278,71.87963679107189,0.5059148439977434
4,huber_tv,0.0125,100,0.002,0.25,0.25,2.00201153755188,0.0249098539352417,70.99938711408757,65.64252082079012,0.5056666059972486
5,huber_tv,0.0125,100,0.002,0.25,0.25,1.5344682931900024,0.024799883365631104,64.97869328964251,62.0314821139481,0.5064540250023128
