epoch,subset,relaxation,pairs,measurements,residual_rmse_mm,update_l2,update_max_abs,image_min,image_max,elapsed_seconds
1,0,0.25,2407520,2195107,4.839399749467641,8.052946090698242,0.30218443274497986,0.0,2.1453306674957275,39.47886930799996
1,1,0.25,2407247,2193848,4.579080598812724,6.4900221824646,0.9191856980323792,0.0,2.147681951522827,39.42150523000009
1,2,0.25,2407997,2195555,4.412637564368728,5.289060592651367,0.28944411873817444,0.0,2.1491174697875977,39.4202312970001
1,3,0.25,2407075,2194902,4.3154771337538165,4.43746280670166,0.4195448160171509,0.0,2.1502740383148193,39.35109783600001
1,4,0.25,2407433,2194552,4.251585925403498,3.8237905502319336,0.31200677156448364,0.0,2.1515393257141113,39.33899809100012
1,5,0.25,2409066,2196753,4.214198455737565,3.4224250316619873,0.48369723558425903,0.0,2.1533608436584473,39.394250172000056
1,6,0.25,2409867,2196768,4.188344650035644,3.051520586013794,0.5694280862808228,0.0,2.1549718379974365,39.53187763799997
1,7,0.25,2409449,2196635,4.166127319239753,2.7497363090515137,0.30076929926872253,0.0,2.1557843685150146,39.50363093499982
1,8,0.25,2408606,2196536,4.151495362768814,2.576625347137451,0.520980179309845,0.0,2.156893014907837,39.51874561800014
1,9,0.25,2409341,2197026,4.1437930915877725,2.5514767169952393,0.7741767764091492,0.0,2.157850503921509,39.490255123
1,10,0.25,2407973,2195924,4.12621827084879,2.247284173965454,0.2566530406475067,0.0,2.1584930419921875,39.47486601100013
1,11,0.25,2407858,2195205,4.121178218837575,2.18977427482605,0.3628348112106323,0.0,2.1590616703033447,39.402534178999986
1,12,0.25,2407178,2194542,4.11485556511474,1.9887990951538086,0.2804608643054962,0.0,2.1592581272125244,39.36030414899983
1,13,0.25,2410066,2197233,4.102223393794341,1.9093502759933472,0.2301548421382904,0.0,2.159745454788208,39.49553544599985
1,14,0.25,2406954,2193785,4.101634366494748,1.8625478744506836,0.41729071736335754,0.0,2.1599619388580322,39.36960924899995
1,15,0.25,2409549,2196864,4.095307395380293,1.854494333267212,0.5742875933647156,0.0,2.1594815254211426,39.44642207800007
1,16,0.25,2411299,2199175,4.0967128568912194,1.74968683719635,0.3527754247188568,0.0,2.159332275390625,39.588106401000005
1,17,0.25,2410140,2197817,4.088549539897342,1.7186709642410278,0.31509310007095337,0.0,2.1593947410583496,39.63177723799981
2,0,0.20833333333333334,2407520,2195107,4.086627839157394,1.2970167398452759,0.2271118313074112,0.0,2.1432783603668213,39.024040553000304
2,1,0.20833333333333334,2407247,2193848,4.08764906257932,1.4053343534469604,0.7478407621383667,0.0,2.1433980464935303,39.02944262999972
2,2,0.20833333333333334,2407997,2195555,4.07832250257208,1.267737627029419,0.23224757611751556,0.0,2.1435413360595703,39.01836440399984
2,3,0.20833333333333334,2407075,2194902,4.079074544711326,1.2671056985855103,0.33385902643203735,0.0,2.1434085369110107,38.97081382999977
2,4,0.20833333333333334,2407433,2194552,4.0717679451529785,1.2177890539169312,0.24208225309848785,0.0,2.143221855163574,38.96046996399991
2,5,0.20833333333333334,2409066,2196753,4.073144045218839,1.3049283027648926,0.3855476677417755,0.0,2.1430673599243164,38.979824733999976
2,6,0.20833333333333334,2409867,2196768,4.07319596120602,1.2495017051696777,0.46015027165412903,0.0,2.1431057453155518,39.12525978799977
2,7,0.20833333333333334,2409449,2196635,4.067858936793341,1.11850905418396,0.23535342514514923,0.0,2.14308500289917,39.10211477499979
2,8,0.20833333333333334,2408606,2196536,4.067967051093839,1.1620595455169678,0.4192531406879425,0.0,2.142987012863159,39.08524239400003
2,9,0.20833333333333334,2409341,2197026,4.072126014910212,1.346047043800354,0.6340764760971069,0.0,2.143061637878418,39.082574836000276
2,10,0.20833333333333334,2407973,2195924,4.062187327890712,1.0773762464523315,0.20258828997612,0.0,2.1428940296173096,39.06331054099974
2,11,0.20833333333333334,2407858,2195205,4.065123909771075,1.1531517505645752,0.2899053394794464,0.0,2.142777919769287,38.96783057499988
2,12,0.20833333333333334,2407178,2194542,4.065331693636147,1.0141547918319702,0.22174793481826782,0.0,2.1426239013671875,38.93554660300015
2,13,0.20833333333333334,2410066,2197233,4.0575577487030525,1.000390648841858,0.1821754425764084,0.0,2.1423356533050537,39.07742190099998
2,14,0.20833333333333334,2406954,2193785,4.061714956731584,1.0358108282089233,0.33665889501571655,0.0,2.142265558242798,38.90780155499988
2,15,0.20833333333333334,2409549,2196864,4.0597525561042005,1.0971910953521729,0.46724528074264526,0.0,2.1419897079467773,39.04391620100023
2,16,0.20833333333333334,2411299,2199175,4.065192171846882,1.0550295114517212,0.2844775319099426,0.0,2.1418864727020264,39.13535031099991
2,17,0.20833333333333334,2410140,2197817,4.058513378061995,1.0341778993606567,0.2529088854789734,0.0,2.1416611671447754,39.110229780999816
3,0,0.17857142857142858,2407520,2195107,4.061523348594836,0.7995418906211853,0.18678590655326843,0.0,2.131704568862915,39.07154781100007
3,1,0.17857142857142858,2407247,2193848,4.065179186595854,0.9604696035385132,0.6339758634567261,0.0,2.1317474842071533,39.12526595999998
3,2,0.17857142857142858,2407997,2195555,4.0565513609663055,0.821252703666687,0.1959792971611023,0.0,2.131760835647583,39.103916520999974
3,3,0.17857142857142858,2407075,2194902,4.059519212042619,0.84963458776474,0.2805790305137634,0.0,2.131389617919922,39.0984555619998
3,4,0.17857142857142858,2407433,2194552,4.052854967668252,0.808251142501831,0.2004203498363495,0.0,2.1310276985168457,39.02584860700017
3,5,0.17857142857142858,2409066,2196753,4.056062039190345,0.9248684644699097,0.32338425517082214,0.0,2.130868673324585,39.050602760999936
3,6,0.17857142857142858,2409867,2196768,4.057822359244717,0.9014601707458496,0.3884810507297516,0.0,2.1306686401367188,39.2131771039999
3,7,0.17857142857142858,2409449,2196635,4.053036492636927,0.7716473937034607,0.19514761865139008,0.0,2.1305274963378906,39.17897707699967
3,8,0.17857142857142858,2408606,2196536,4.054378802629904,0.8340364098548889,0.3530905246734619,0.0,2.1304216384887695,39.15090150699962
3,9,0.17857142857142858,2409341,2197026,4.059752473329179,1.0296757221221924,0.5382962822914124,0.0,2.130333185195923,39.18225655900005
3,10,0.17857142857142858,2407973,2195924,4.050205272491988,0.7721332311630249,0.16902582347393036,0.0,2.1301982402801514,39.108992495000166
3,11,0.17857142857142858,2407858,2195205,4.054026570377107,0.8614034056663513,0.24309110641479492,0.0,2.1300697326660156,39.02990264099981
3,12,0.17857142857142858,2407178,2194542,4.055087408651458,0.7389103174209595,0.1845451444387436,0.0,2.129976987838745,39.03638389000025
3,13,0.17857142857142858,2410066,2197233,4.0475111513452475,0.7269201874732971,0.1520732045173645,0.0,2.1296887397766113,39.14290444400012
3,14,0.17857142857142858,2406954,2193785,4.052309609141829,0.77357017993927,0.28318101167678833,0.0,2.129819631576538,38.95817101600005
3,15,0.17857142857142858,2409549,2196864,4.050901808409888,0.8390694856643677,0.39482975006103516,0.0,2.129300594329834,39.115427699000065
3,16,0.17857142857142858,2411299,2199175,4.057154158848802,0.8145612478256226,0.23949727416038513,0.0,2.129274845123291,39.19615245399973
3,17,0.17857142857142858,2410140,2197817,4.050136832194025,0.785234272480011,0.2121347188949585,0.0,2.1290688514709473,39.176656185999946
4,0,0.15625,2407520,2195107,4.054552638202608,0.6185640692710876,0.15953977406024933,0.0,2.1209938526153564,39.06712178399994
4,1,0.15625,2407247,2193848,4.058892341096755,0.7813884615898132,0.5510624647140503,0.0,2.1210501194000244,39.11663280000039
4,2,0.15625,2407997,2195555,4.050000271841433,0.645508348941803,0.16986386477947235,0.0,2.1210780143737793,39.08521450599983
4,3,0.15625,2407075,2194902,4.053482579078473,0.6777317523956299,0.24257336556911469,0.0,2.120725393295288,39.08760509800004
4,4,0.15625,2407433,2194552,4.0467122762187655,0.6374635100364685,0.1716015338897705,0.0,2.1203837394714355,39.02753599200014
4,5,0.15625,2409066,2196753,4.050468451128641,0.7529351115226746,0.2791067659854889,0.0,2.120173215866089,39.022589114999846
4,6,0.15625,2409867,2196768,4.052745912334989,0.7423806190490723,0.33697813749313354,0.0,2.1201722621917725,39.16752399999996
4,7,0.15625,2409449,2196635,4.047921097920353,0.6183627247810364,0.16717447340488434,0.0,2.120054006576538,39.16087502699975
4,8,0.15625,2408606,2196536,4.049570166312725,0.6802607774734497,0.305722713470459,0.0,2.1199326515197754,39.14539279100018
4,9,0.15625,2409341,2197026,4.055311283355292,0.8638819456100464,0.4682631194591522,0.0,2.1198770999908447,39.14924589200018
4,10,0.15625,2407973,2195924,4.045747992830517,0.6264167428016663,0.14548930525779724,0.0,2.1198365688323975,39.13756152299993
4,11,0.15625,2407858,2195205,4.049821607426423,0.7127076387405396,0.20980887115001678,0.0,2.1198060512542725,39.027008256000045
4,12,0.15625,2407178,2194542,4.0511931185769665,0.604114294052124,0.15833896398544312,0.0,2.1196601390838623,39.01905055499992
4,13,0.15625,2410066,2197233,4.043487367990474,0.5903185606002808,0.1309106945991516,0.0,2.1195333003997803,39.163950472999204
4,14,0.15625,2406954,2193785,4.048527204725643,0.6371092796325684,0.24451351165771484,0.0,2.119544744491577,38.94309175200033
4,15,0.15625,2409549,2196864,4.047234076486955,0.6980029344558716,0.34218689799308777,0.0,2.1191794872283936,39.084412121999776
4,16,0.15625,2411299,2199175,4.053868192569708,0.6821388602256775,0.20715700089931488,0.0,2.1190991401672363,39.19485869500022
4,17,0.15625,2410140,2197817,4.046519951869136,0.6488405466079712,0.18309670686721802,0.0,2.1188507080078125,39.15564154999993
5,0,0.1388888888888889,2407520,2195107,4.051604368085505,0.519346296787262,0.1395675241947174,0.0,2.1119165420532227,38.99038157599989
5,1,0.1388888888888889,2407247,2193848,4.056254757587473,0.6733902096748352,0.487827867269516,0.0,2.1119260787963867,39.057707552000466
5,2,0.1388888888888889,2407997,2195555,4.047136295664356,0.5450212955474854,0.15006743371486664,0.0,2.1119775772094727,39.021835884999746
5,3,0.1388888888888889,2407075,2194902,4.0508136325374595,0.5763868689537048,0.21391689777374268,0.0,2.1116929054260254,38.987773322000066
5,4,0.1388888888888889,2407433,2194552,4.04391527775521,0.537915825843811,0.15031446516513824,0.0,2.1114184856414795,38.976469084999735
