run_id,status,rows,wepl_min_mm,wepl_max_mm,wepl_mean_mm
0,written,51922,0.0,225.4790496826172,137.83514404296875
1,written,51157,0.0,223.71763610839844,138.2804718017578
2,written,51421,0.0,223.80747985839844,138.391845703125
3,written,51333,0.0,223.84844970703125,138.65789794921875
4,written,51581,0.0,223.27857971191406,138.23574829101562
5,written,51553,0.0,224.89462280273438,137.73809814453125
6,written,51776,0.0,223.8249053955078,138.0711212158203
7,written,51725,0.0,220.80189514160156,137.7820281982422
8,written,51120,0.0,223.6778564453125,138.5566864013672
9,written,51309,0.0,219.73886108398438,137.63723754882812
10,written,51755,0.0,227.06129455566406,138.20680236816406
11,written,51354,0.0,220.13038635253906,138.11538696289062
12,written,51565,0.0,219.53875732421875,138.07916259765625
13,written,51403,0.0,219.2672882080078,138.20497131347656
14,written,51139,0.0,222.40396118164062,138.18783569335938
15,written,51689,0.0,221.2913818359375,138.7543182373047
16,written,51308,0.0,221.7390594482422,138.5790252685547
17,written,51871,0.0,223.51889038085938,137.72422790527344
18,written,51215,0.0,220.08514404296875,137.81309509277344
19,written,51630,0.0,223.22250366210938,138.16563415527344
20,written,51386,0.0,220.3328857421875,138.64031982421875
21,written,51557,0.0,227.435302734375,138.2899169921875
22,written,51631,0.0,232.02491760253906,138.24981689453125
23,written,51582,0.0,220.76364135742188,138.14871215820312
24,written,51752,0.0,222.32803344726562,138.35397338867188
25,written,51475,0.0,230.3037109375,137.8518829345703
26,written,51667,0.0,221.26976013183594,138.4186553955078
27,written,51353,0.0,220.75927734375,138.04319763183594
28,written,51739,0.0,225.35044860839844,138.3412628173828
29,written,51671,0.0,221.75006103515625,138.63552856445312
30,written,51229,0.0,224.7043914794922,138.08717346191406
31,written,51733,0.0,226.923583984375,138.17591857910156
32,written,51743,0.0,224.22860717773438,138.7423095703125
33,written,51521,0.0,223.55679321289062,138.4156036376953
34,written,51422,0.0,227.2588348388672,137.82179260253906
35,written,51408,0.0,223.39581298828125,138.4412841796875
36,written,51640,0.0,225.13772583007812,137.74610900878906
