run_id,status,rows,wepl_min_mm,wepl_max_mm,wepl_mean_mm
0,written,52257,0.0,243.47320556640625,134.34561157226562
1,written,51639,0.0,239.1829376220703,134.68666076660156
2,written,51773,0.0,241.2012481689453,135.2978973388672
3,written,52049,0.0,239.7765350341797,134.71463012695312
4,written,51788,0.0,240.16619873046875,133.9136199951172
5,written,51423,0.0,241.0789031982422,134.5067901611328
6,written,51987,0.0,239.4951171875,134.6091766357422
7,written,51697,0.0,238.8928680419922,134.7711639404297
8,written,51216,0.0,238.67459106445312,134.59605407714844
9,written,51774,0.0,236.34613037109375,134.51612854003906
10,written,51894,0.0,237.8938446044922,134.0318603515625
11,written,51672,0.0,235.9124755859375,134.2977294921875
12,written,51854,0.0,236.4774627685547,134.96839904785156
13,written,51908,0.0,235.777099609375,134.3475799560547
14,written,51563,0.0,235.91111755371094,134.89329528808594
15,written,51802,0.0,236.183349609375,133.82664489746094
16,written,51970,0.0,235.3859100341797,134.58570861816406
17,written,51928,0.0,236.7709503173828,134.46156311035156
18,written,51540,0.0,237.60891723632812,134.8942108154297
19,written,51619,0.0,236.7013397216797,134.42567443847656
20,written,52205,0.0,238.28350830078125,134.5564422607422
21,written,51652,0.0,237.13636779785156,134.6548309326172
22,written,51779,0.0,237.48399353027344,134.16575622558594
23,written,51932,0.0,239.63818359375,134.2106170654297
24,written,51594,0.0,238.63526916503906,134.7108612060547
25,written,51818,0.0,239.02249145507812,135.11221313476562
26,written,51823,0.0,242.53134155273438,134.6566619873047
27,written,51820,0.0,238.81686401367188,134.775634765625
28,written,51726,0.0,239.81219482421875,134.2049102783203
29,written,51785,0.0,243.2427520751953,134.69625854492188
30,written,51758,0.0,241.79466247558594,134.21548461914062
31,written,51948,0.0,242.21665954589844,134.8433380126953
32,written,51954,0.0,241.6514892578125,134.4917449951172
33,written,51558,0.0,240.17698669433594,134.05999755859375
34,written,51779,0.0,240.9586639404297,134.73342895507812
35,written,51910,0.0,240.42774963378906,134.21949768066406
36,written,51522,0.0,241.42271423339844,134.55838012695312
37,written,52169,0.0,242.2406768798828,133.9367218017578
38,written,51660,0.0,242.21388244628906,134.2743682861328
39,written,52003,0.0,242.9803009033203,134.62490844726562
40,written,52064,0.0,241.57913208007812,134.34642028808594
41,written,51632,0.0,241.93263244628906,134.97776794433594
42,written,51637,0.0,241.4823760986328,134.5432586669922
43,written,51725,0.0,240.27340698242188,134.40538024902344
44,written,51892,0.0,240.6789093017578,134.29823303222656
45,written,51773,0.0,240.35813903808594,134.26246643066406
46,written,51755,0.0,240.61097717285156,134.65008544921875
47,written,51777,0.0,241.69654846191406,134.6234588623047
48,written,51504,0.0,239.154541015625,134.50750732421875
49,written,51616,0.0,241.32786560058594,134.57725524902344
50,written,51674,0.0,238.30323791503906,134.86309814453125
51,written,51638,0.0,239.42327880859375,134.5897216796875
52,written,51859,0.0,240.56163024902344,134.74143981933594
53,written,51608,0.0,238.6999969482422,135.1783905029297
54,written,51564,0.0,238.1026153564453,134.7694549560547
55,written,51641,0.0,237.76673889160156,134.93194580078125
56,written,51885,0.0,239.1796417236328,134.63914489746094
57,written,51845,0.0,238.12274169921875,134.66322326660156
58,written,51811,0.0,237.29576110839844,134.9775390625
59,written,51453,0.0,237.8280487060547,134.52490234375
60,written,51532,0.0,237.53695678710938,134.73944091796875
61,written,52118,0.0,238.72288513183594,134.6328887939453
62,written,52158,0.0,236.88238525390625,135.057861328125
63,written,51902,0.0,236.06979370117188,134.7734832763672
64,written,51710,0.0,236.3208465576172,134.8419189453125
65,written,52058,0.0,236.0195770263672,134.86875915527344
66,written,52175,0.0,234.6947479248047,134.95611572265625
67,written,51702,0.0,237.24163818359375,134.74929809570312
68,written,51841,0.0,235.69850158691406,134.7560272216797
69,written,51790,0.0,235.22840881347656,135.07008361816406
70,written,51793,0.0,233.86744689941406,134.6764373779297
71,written,51631,0.0,234.9901123046875,134.81285095214844
72,written,51531,0.0,236.59701538085938,134.69500732421875
73,written,51766,0.0,233.34690856933594,134.59141540527344
74,written,51623,0.0,232.31137084960938,135.16598510742188
75,written,51367,0.0,234.38011169433594,134.8747100830078
76,written,51653,0.0,232.8873748779297,134.63438415527344
77,written,51141,0.0,231.99241638183594,134.80807495117188
78,written,51788,0.0,233.4441680908203,134.81581115722656
79,written,51724,0.0,231.41688537597656,134.392578125
80,written,52138,0.0,232.7796630859375,134.61541748046875
81,written,51853,0.0,230.1898193359375,135.2792510986328
82,written,51858,0.0,231.53240966796875,134.2481231689453
83,written,51796,0.0,230.8618621826172,134.05958557128906
84,written,51720,0.0,230.1823272705078,134.97496032714844
85,written,51501,0.0,230.0736846923828,135.108154296875
86,written,51413,0.0,231.7499237060547,134.8948974609375
87,written,51829,0.0,231.85305786132812,134.92935180664062
88,written,51632,0.0,228.48886108398438,134.77755737304688
89,written,51925,0.0,231.02638244628906,135.296875
90,written,51175,0.0,231.21629333496094,134.6709747314453
91,written,51642,0.0,230.65455627441406,134.8318634033203
92,written,51438,0.0,226.6521759033203,135.13795471191406
93,written,51658,0.0,228.7163848876953,134.71533203125
94,written,51989,0.0,229.46678161621094,134.58937072753906
95,written,51934,0.0,225.55055236816406,134.4483184814453
96,written,51051,0.0,230.2826385498047,135.34036254882812
97,written,51749,0.0,225.5456085205078,134.3426513671875
98,written,51470,0.0,226.1192626953125,135.02096557617188
99,written,51616,0.0,228.25640869140625,135.3843231201172
100,written,51725,0.0,227.85353088378906,134.19134521484375
101,written,51695,0.0,225.85394287109375,135.37330627441406
102,written,51689,0.0,230.90061950683594,135.08908081054688
103,written,51874,0.0,232.04803466796875,134.79940795898438
104,written,51858,0.0,226.6713409423828,134.96017456054688
105,written,51716,0.0,229.25784301757812,135.0703887939453
106,written,51924,0.0,230.7530517578125,135.48260498046875
107,written,51572,0.0,227.26564025878906,134.41114807128906
108,written,51663,0.0,226.7495880126953,135.24867248535156
109,written,51915,0.0,227.92857360839844,135.11997985839844
110,written,51641,0.0,228.80538940429688,135.17404174804688
111,written,51479,0.0,227.61654663085938,135.17893981933594
112,written,51670,0.0,225.74058532714844,135.00343322753906
113,written,51719,0.0,228.64459228515625,134.60650634765625
114,written,52058,0.0,226.4659423828125,134.94337463378906
115,written,51198,0.0,230.99522399902344,135.09881591796875
116,written,51918,0.0,228.56332397460938,134.7081298828125
117,written,51722,0.0,228.12315368652344,134.72866821289062
118,written,51483,0.0,230.16702270507812,135.06179809570312
119,written,51672,0.0,234.0098876953125,135.39871215820312
120,written,51960,0.0,231.01406860351562,135.45639038085938
121,written,52172,0.0,229.83883666992188,133.99496459960938
122,written,51720,0.0,230.141845703125,134.78297424316406
123,written,52188,0.0,229.13133239746094,134.89663696289062
124,written,51641,0.0,230.16195678710938,135.28799438476562
125,written,51239,0.0,229.54965209960938,134.88922119140625
126,written,52049,0.0,231.6685791015625,134.59600830078125
127,written,51157,0.0,230.17970275878906,134.9640655517578
128,written,51685,0.0,229.28811645507812,135.31837463378906
129,written,51672,0.0,233.62059020996094,134.6451873779297
130,written,51912,0.0,230.5055389404297,134.8391876220703
131,written,51825,0.0,232.98568725585938,135.2571563720703
132,written,51661,0.0,232.76036071777344,135.57781982421875
133,written,51439,0.0,227.77728271484375,135.02976989746094
134,written,51463,0.0,230.27000427246094,135.2534942626953
