smoothness,validation_mean_absolute_relative_bias,validation_max_absolute_relative_bias,optimizer_success,optimizer_cost,function_evaluations
0.0,0.0012039884725496008,0.0059555246046444615,True,3.855741842675005e-06,17
0.0001,0.0006826041299558318,0.00259570210594905,True,7.790327149389467e-06,6
0.001,0.0006145744378149999,0.002056998696897408,True,2.422865324941617e-05,5
0.01,0.000544644319849574,0.0016272772467019376,True,0.00010348725267842473,5
0.1,0.00113096906646365,0.005543846555005061,True,0.0006469619393839276,5
