checkpoint,epoch,water_mean,water_std,phantom_rsp_rmse,aluminium_inner_mean,aluminium_platform_rsp_recovery,roi_cnr_median,edge_10_90_median_mm,outside_nonzero,wepl_residual_rmse_mm
initial,0,1.013717532157898,0.009719619527459145,0.044705025180590344,2.0954566747826617,0.9889005983392842,106.92346909686383,1.1367244984607179,0,nan
epoch_01,1,1.0145854949951172,0.005567260552197695,0.04294296475189416,2.0950226199624438,0.9886957565610737,186.973853698288,1.1307229855191796,0,2.632819829363549
epoch_02,2,1.0142040252685547,0.003439317923039198,0.04218900091843285,2.0932800432662697,0.987873389218319,294.6082665984784,1.1243085766533647,0,2.6234503722226785
epoch_03,3,1.014062523841858,0.0024527660571038723,0.041955501563870366,2.0916698631586628,0.9871135032750739,399.5278522497617,1.1178942230754338,0,2.6213947365270056
