checkpoint,epoch,water_mean,water_std,water_bias_vs_fixed_rsp,water_bias_vs_s6_effective_rsp,phantom_rsp_rmse,phantom_effective_rsp_rmse,outside_rmse,outside_nonzero,wepl_residual_rmse_mm
initial,0,1.0137739181518555,0.01817421056330204,0.013773918151855469,0.0002561807632446289,0.02898343703206272,0.02629583291392853,0.0,0,nan
epoch_01,1,1.0142854452133179,0.013059132732450962,0.014285445213317871,0.0007677078247070312,0.02419317358630027,0.019536017432818433,0.0,0,2.4564628363906413
epoch_02,2,1.0139636993408203,0.009199263527989388,0.013963699340820312,0.00044596195220947266,0.021248050245974332,0.015737791732386402,0.0,0,2.4466494547288944
epoch_03,3,1.013880729675293,0.006402153521776199,0.013880729675292969,0.0003629922866821289,0.019777167184424314,0.013684046607176042,0.0,0,2.444546859068955
