output_run,original_run,angle_deg,selected,status
244,488,244.0,48521,written
245,490,245.0,48006,written
246,492,246.0,48035,written
247,494,247.0,48154,written
248,496,248.0,47918,written
249,498,249.0,48133,written
250,500,250.0,48140,written
251,502,251.0,48440,written
252,504,252.0,48687,written
253,506,253.0,48045,written
254,508,254.0,48195,written
255,510,255.0,48529,written
256,512,256.0,48186,written
257,514,257.0,48086,written
258,516,258.0,47887,written
259,518,259.0,48402,written
260,520,260.0,48031,written
261,522,261.0,48078,written
262,524,262.0,48357,written
263,526,263.0,48107,written
264,528,264.0,47865,written
265,530,265.0,48825,written
266,532,266.0,48228,written
267,534,267.0,48216,written
268,536,268.0,48176,written
269,538,269.0,47990,written
270,540,270.0,48102,written
271,542,271.0,47678,written
272,544,272.0,48114,written
273,546,273.0,48185,written
274,548,274.0,47873,written
275,550,275.0,48474,written
276,552,276.0,47972,written
277,554,277.0,47769,written
278,556,278.0,47939,written
279,558,279.0,47514,written
280,560,280.0,48596,written
281,562,281.0,48300,written
282,564,282.0,48200,written
283,566,283.0,48004,written
284,568,284.0,48480,written
285,570,285.0,48102,written
286,572,286.0,48378,written
287,574,287.0,48802,written
288,576,288.0,47772,written
289,578,289.0,48052,written
290,580,290.0,47646,written
291,582,291.0,48262,written
292,584,292.0,48380,written
293,586,293.0,47879,written
294,588,294.0,48255,written
295,590,295.0,48566,written
296,592,296.0,48126,written
297,594,297.0,47945,written
298,596,298.0,48275,written
299,598,299.0,47716,written
300,600,300.0,48614,written
301,602,301.0,48166,written
302,604,302.0,48257,written
303,606,303.0,48537,written
304,608,304.0,48116,written
305,610,305.0,48289,written
306,612,306.0,48433,written
307,614,307.0,48048,written
308,616,308.0,47943,written
309,618,309.0,48211,written
310,620,310.0,48134,written
311,622,311.0,48382,written
312,624,312.0,47939,written
313,626,313.0,48266,written
314,628,314.0,48650,written
315,630,315.0,47883,written
316,632,316.0,47822,written
317,634,317.0,48120,written
318,636,318.0,47879,written
319,638,319.0,48296,written
320,640,320.0,48317,written
321,642,321.0,48207,written
322,644,322.0,48702,written
323,646,323.0,47879,written
324,648,324.0,47993,written
325,650,325.0,48403,written
326,652,326.0,48078,written
327,654,327.0,48001,written
328,656,328.0,48431,written
329,658,329.0,48472,written
330,660,330.0,47833,written
331,662,331.0,48280,written
332,664,332.0,48359,written
333,666,333.0,48320,written
334,668,334.0,48049,written
335,670,335.0,48185,written
336,672,336.0,48044,written
337,674,337.0,47826,written
338,676,338.0,48358,written
339,678,339.0,48404,written
340,680,340.0,48368,written
341,682,341.0,47876,written
342,684,342.0,48461,written
343,686,343.0,48406,written
344,688,344.0,48014,written
345,690,345.0,48251,written
346,692,346.0,48385,written
347,694,347.0,48188,written
348,696,348.0,48187,written
349,698,349.0,47945,written
350,700,350.0,48263,written
351,702,351.0,48179,written
352,704,352.0,48081,written
353,706,353.0,48279,written
354,708,354.0,48692,written
355,710,355.0,47830,written
356,712,356.0,48521,written
357,714,357.0,48615,written
358,716,358.0,48537,written
359,718,359.0,48265,written
