seed,fraction,fluence_per_mm2_projection,epoch,image_path,finite_fraction,image_min,image_max,water_mean,water_std,water_rmse_vs_1,water_mae_vs_1,outside_mean,outside_std,outside_rmse_vs_0,phantom_rmse_vs_red_truth,phantom_mae_vs_red_truth,phantom_rmse_vs_rsp_truth,phantom_mae_vs_rsp_truth,aluminium_voxel_rmse_vs_red_truth,aluminium_voxel_rmse_vs_rsp_truth,aluminium_excess_red_recovery,aluminium_excess_rsp_recovery,insert_peak_mean,insert_contrast_mean,insert_cnr_median,insert_roi_cnr_median,insert_roi_red_recovery_mean,insert_roi_rsp_recovery_mean,insert_contrast_centroid_offset_mean_mm,insert_contrast_centroid_offset_max_mm,insert_peak_offset_mean_mm,insert_peak_offset_max_mm,aluminium_edge_10_90_median_mm,water_bias_fraction,phantom_rmse_ratio,aluminium_error_degradation_pp,edge_width_ratio,passed
20260730,0.25,225.0,0,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260730/f025/analytic/recon_ddb_nohann.mhd,1.0,-0.23079322278499603,2.144233226776123,0.9942753314971924,0.028454583138227463,0.029024711777922447,0.023006726056337357,0.11233388632535934,0.1098632887005806,0.1571268418758702,0.09394133778575132,0.04320915415883064,0.07649835135210689,0.039750028401613235,0.5587170264802713,0.3603759201796868,0.6035280146570233,0.7244906491176591,2.104410533905029,1.108659372329712,40.364864175315276,32.9483622016144,0.6777041865696457,0.8135336340647796,0.06671429319128043,0.5377275217859712,0.4855194997503707,1.018479472620778,1.777565604684839,0.00547186924535592,1.3443602601823785,-1.9187077207899916,1.005564066233033,False
20260730,0.25,225.0,1,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260730/f025/iterative/recon/epoch_01.mhd,1.0,0.0,2.1308445930480957,1.0029748678207397,0.02269764058291912,0.022891759408431366,0.01803017407655716,0.0,0.0,0.0,0.08335590269152938,0.03320077061653137,0.06347753565711105,0.02974282018840313,0.5513199452646202,0.3535268019031323,0.6095681243711539,0.7317413531467326,2.0917398738861084,1.0895482945442199,49.393624511503226,41.24825870211263,0.6785133875746634,0.8145050198808143,0.06144024221520768,0.5383084624880293,0.48354252629285044,1.018479472620778,1.7802784462274222,0.0032298789769009684,1.1155361500399146,-2.2590254058314496,1.007098713373716,False
20260730,0.25,225.0,2,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260730/f025/iterative/recon/epoch_02.mhd,1.0,0.0,2.1147093772888184,1.0010435581207275,0.01812983676791191,0.018159840259585946,0.014095955528318882,0.0,0.0,0.0,0.08123706512319911,0.028493421152234077,0.06058247486631075,0.025035075843334198,0.5524363274995823,0.35436530061659277,0.608425409239235,0.7303696083269814,2.078590908050537,1.0779529047012328,61.455130788295726,51.87702718025072,0.6784199067479717,0.8143928030786148,0.059490938748057054,0.539055564150824,0.4845265523073736,1.018479472620778,1.7796268639831685,0.0012980782321625473,1.0646591754493127,-1.6312433349512045,1.0067301150562808,False
20260730,0.25,225.0,3,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260730/f025/iterative/recon/epoch_03.mhd,1.0,0.0,2.103612184524536,1.0002543926239014,0.014219272881746292,0.014221548798983945,0.010836726054549217,0.0,0.0,0.0,0.0801924157662179,0.025003593415021896,0.059127341362011365,0.021545175462961197,0.5529605908557322,0.3547020918648441,0.6078209601572812,0.7296440120048419,2.069127655029297,1.0689374947547912,77.37855767623786,65.69552994455525,0.6780263046684334,0.8139203129620007,0.05806764477843765,0.5399269925412447,0.4552420800901593,0.9450975358471594,1.7756757641351517,0.0005087120862350414,1.0390870732815691,-1.1794313329102302,1.0044949885333592,False
20260730,0.25,225.0,4,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260730/f025/iterative/recon/epoch_04.mhd,1.0,0.0,2.095675468444824,0.9998823404312134,0.011003343388438225,0.011003972012865763,0.008232195861637592,0.0,0.0,0.0,0.07961173645580433,0.022345341742038727,0.05829646863360764,0.01888686791062355,0.5534088291129116,0.35498880765045127,0.6073033210292551,0.7290226245981853,2.061562728881836,1.0615260219573974,98.4346632296078,84.5263130894893,0.6774994613050156,0.8132878765619929,0.05701782854551546,0.5408948567012165,0.4335101938820221,0.8451026917850863,1.7719365847690163,0.00013656529749805912,1.0244855523652034,-0.8182527381600968,1.0023797448552207,False
20260730,0.25,225.0,5,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage7c/combined_0p2mm_1pct/seed_20260730/f025/iterative/recon/epoch_05.mhd,1.0,0.0,2.0894150733947754,0.9996879696846008,0.00845008809119463,0.008455849203717525,0.006249622441828251,0.0,0.0,0.0,0.07929094514552851,0.02036336250603199,0.05781753173262772,0.01690482534468174,0.5538562595463012,0.35528604046255796,0.6068001145256143,0.7284185624873815,2.0553271770477295,1.0553264260292052,125.54390868444604,109.69407719580364,0.6768994939152043,0.8125676601893835,0.05623872169730257,0.5419426918233136,0.41437181456189903,0.7505815924773779,1.768509567717734,5.7854868806272997e-05,1.016068851541826,-0.5205435728577901,1.0004410905562993,True
20260730,0.2,180.0,0,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0200/analytic/recon_ddb_nohann.mhd,1.0,-0.3140158951282501,2.1603429317474365,0.994280993938446,0.03269476071000099,0.03319118258391857,0.026044132187962532,0.11234733462333679,0.1125260666012764,0.15900955467895106,0.09554014743453279,0.046000320464372635,0.07844240524278578,0.04254145175218582,0.5593123806132192,0.36115128132452834,0.603319787996462,0.7242406884450641,2.1132298278808594,1.117406895160675,36.16997989199874,29.481638797225216,0.6776942557737898,0.8135217128805788,0.06792556162923699,0.540734123412164,0.4864866844828517,1.0560592116480354,1.776267124282439,0.005466205364399568,1.3785245101052583,-1.4976407939241154,1.0048295193730352,False
20260730,0.2,180.0,1,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0200/iterative/recon/epoch_01.mhd,1.0,0.0,2.145296335220337,1.0029758214950562,0.02693309634923935,0.027097000670843856,0.021086273714900017,0.0,0.0,0.0,0.08484308119133278,0.036161914467811584,0.06540450778686369,0.03270445391535759,0.5519007661549664,0.3542770494908746,0.609352954547869,0.7314830577219033,2.099258852005005,1.0970052862167359,43.19201323218436,35.91831873780371,0.6785040318597473,0.8144937890386476,0.062776039275238,0.5411755015388973,0.4858172333054147,1.0560592116480354,1.7929753407960238,0.003230832893693636,1.1494002099566398,-2.1646687775115803,1.0142813123716294,False
20260730,0.2,180.0,2,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0200/iterative/recon/epoch_02.mhd,1.0,0.0,2.1292998790740967,1.0010459423065186,0.02227068319916725,0.02229523352714789,0.017033515498042107,0.0,0.0,0.0,0.08248571606508681,0.031371425837278366,0.06223236164825546,0.02791314199566841,0.5529973337997516,0.3550836895193849,0.6082086149013719,0.7301093627928072,2.085035591125488,1.0843419814109803,52.23024678445954,44.145832937405224,0.6784142216113987,0.814385978493629,0.06079701240163051,0.5418536495381707,0.49853440084916995,1.1184738045787608,1.790269620709823,0.001300463024144216,1.0936538163042173,-1.9389372279579487,1.0127506938196067,False
20260730,0.2,180.0,3,/home/ltf/project/github/PCT/data/reconstruction_data/results0718_d1_air_tracker_full/stage8b/transition/seed_20260730/f0200/iterative/recon/epoch_03.mhd,1.0,0.0,2.1162288188934326,1.0002567768096924,0.018227921798825264,0.018229730006642395,0.013586512766778469,0.0,0.0,0.0,0.08121595467767075,0.027729135006666183,0.060493238403264815,0.02427058108150959,0.5535073557889639,0.3553970400102506,0.6076023192489164,0.7293815497996451,2.074600477218628,1.074367938041687,63.86026810869561,54.87198477872896,0.6780294942377191,0.8139241418034681,0.0593730148182242,0.5426769715134885,0.4855817280121751,1.0560592116480354,1.7872410579189648,0.0005110968782167102,1.063090959238665,-1.4407248589975108,1.011037444020673,False
