epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,14.216756820678711,0.04262351989746094,1219.705826199836,985.9881065286751,0.525997209999332
2,huber_tv,0.0125,100,0.002,0.25,0.25,11.827611923217773,0.04086381196975708,984.1503932128097,832.4922334099358,0.5151122950010176
3,huber_tv,0.0125,100,0.002,0.25,0.25,10.510466575622559,0.038586974143981934,832.8731540893218,714.4550108675951,0.5199111209985858
4,huber_tv,0.0125,100,0.002,0.25,0.25,9.524397850036621,0.030772507190704346,715.8803084767519,618.7091107493612,0.5199102289989241
5,huber_tv,0.0125,100,0.002,0.25,0.25,8.694486618041992,0.026198863983154297,620.6292655487132,539.5015792234084,0.521022893000918
