epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,13.623743057250977,0.042111992835998535,886.0552408557902,666.8337246217882,0.5174805510000624
2,huber_tv,0.0125,100,0.002,0.25,0.25,11.278229713439941,0.04125344753265381,668.4305226141992,529.8878043447913,0.5058431439997548
3,huber_tv,0.0125,100,0.002,0.25,0.25,9.977924346923828,0.03861910104751587,532.6779762541703,425.3267047340547,0.5059564610000962
4,huber_tv,0.0125,100,0.002,0.25,0.25,8.949090003967285,0.03223544359207153,428.2670792014951,341.95056585379797,0.5069864389997747
5,huber_tv,0.0125,100,0.002,0.25,0.25,8.042810440063477,0.028102874755859375,344.75422432582593,274.8382535687427,0.5041933560000871
