input_rows,input_unique_merge_keys,input_duplicates_removed,output_rows,output_unique_run_event_track_keys,output_duplicate_run_event_track_rows,matched_input_merge_keys,unmatched_input_merge_keys,pairs,primary_pairs,secondary_pairs,local_run_id,run_id,matched_same_track_pairs,secondary_pairs_removed,input_in,input_out
100113,100113,0,91025,91025,0,87901,12212,87890,87890,0,0,127,87901,11,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_127/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_127/PhaseSpaceOut.root
99906,99906,0,90978,90978,0,87936,11970,87919,87919,0,0,128,87936,17,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_128/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_128/PhaseSpaceOut.root
100230,100230,0,91136,91136,0,87994,12236,87978,87978,0,0,129,87994,16,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_129/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_129/PhaseSpaceOut.root
99549,99549,0,90228,90228,0,87164,12385,87150,87150,0,0,130,87164,14,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_130/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_130/PhaseSpaceOut.root
100033,100033,0,90976,90976,0,87797,12236,87780,87780,0,0,131,87797,17,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_131/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_131/PhaseSpaceOut.root
99942,99942,0,90977,90977,0,87756,12186,87748,87748,0,0,132,87756,8,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_132/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_132/PhaseSpaceOut.root
100038,100038,0,91021,91021,0,87917,12121,87907,87907,0,0,133,87917,10,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_133/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_133/PhaseSpaceOut.root
100457,100457,0,91214,91214,0,88025,12432,88015,88015,0,0,134,88025,10,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_134/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_134/PhaseSpaceOut.root
99965,99965,0,91009,91009,0,87935,12030,87922,87922,0,0,135,87935,13,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_135/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_135/PhaseSpaceOut.root
100328,100327,1,91187,91187,0,88062,12265,88055,88055,0,0,136,88062,7,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_136/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_136/PhaseSpaceOut.root
99841,99841,0,90752,90752,0,87693,12148,87673,87673,0,0,137,87693,20,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_137/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_137/PhaseSpaceOut.root
99758,99758,0,90895,90895,0,87843,11915,87828,87828,0,0,138,87843,15,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_138/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_138/PhaseSpaceOut.root
99800,99800,0,90769,90768,1,87657,12143,87648,87648,0,0,139,87657,9,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_139/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_139/PhaseSpaceOut.root
99954,99954,0,90987,90987,0,87963,11991,87947,87947,0,0,140,87963,16,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_140/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_140/PhaseSpaceOut.root
100511,100511,0,91454,91454,0,88338,12173,88323,88323,0,0,141,88338,15,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_141/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_141/PhaseSpaceOut.root
99883,99883,0,90876,90876,0,87810,12073,87797,87797,0,0,142,87810,13,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_142/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_142/PhaseSpaceOut.root
100372,100372,0,91386,91386,0,88175,12197,88162,88162,0,0,143,88175,13,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_143/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_143/PhaseSpaceOut.root
99777,99777,0,90803,90803,0,87699,12078,87681,87681,0,0,144,87699,18,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_144/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_144/PhaseSpaceOut.root
100213,100213,0,91066,91065,1,87950,12263,87937,87937,0,0,145,87950,13,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_145/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_145/PhaseSpaceOut.root
99845,99845,0,90716,90716,0,87547,12298,87532,87532,0,0,146,87547,15,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_146/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_146/PhaseSpaceOut.root
100166,100166,0,90969,90969,0,87840,12326,87822,87822,0,0,147,87840,18,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_147/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_147/PhaseSpaceOut.root
100144,100144,0,91044,91044,0,88009,12135,87994,87994,0,0,148,88009,15,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_148/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_148/PhaseSpaceOut.root
99830,99830,0,90740,90740,0,87586,12244,87569,87569,0,0,149,87586,17,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_149/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_149/PhaseSpaceOut.root
100300,100300,0,91187,91187,0,88065,12235,88054,88054,0,0,150,88065,11,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_150/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_150/PhaseSpaceOut.root
99493,99493,0,90645,90645,0,87538,11955,87521,87521,0,0,151,87538,17,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_151/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_151/PhaseSpaceOut.root
99780,99779,1,90744,90744,0,87612,12167,87598,87598,0,0,152,87612,14,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_152/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_152/PhaseSpaceOut.root
100159,100159,0,91099,91099,0,88006,12153,87994,87994,0,0,153,88006,12,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_153/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_153/PhaseSpaceOut.root
99557,99557,0,90409,90409,0,87374,12183,87359,87359,0,0,154,87374,15,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_154/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_154/PhaseSpaceOut.root
99817,99817,0,90854,90854,0,87721,12096,87711,87711,0,0,155,87721,10,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_155/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_155/PhaseSpaceOut.root
100336,100336,0,91229,91229,0,88226,12110,88216,88216,0,0,156,88226,10,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_156/PhaseSpaceIn.root,/home/ltf/project/github/PCT/data/simulation_data/results0717_s3_water_air_pilot/run_156/PhaseSpaceOut.root
