run_id,paired,physical,filtered_support_hit,train,validation,test,screen_train,pairs_sha256,events_sha256,partition_sha256,wepl_mean_mm,wepl_min_mm,wepl_max_mm,air_only_count,air_only_residual_sum_mm,air_only_residual_abs_sum_mm,inside_grid,outside_grid,selected,train_count,fallback_bins,occupied_bins,status
13,1901366,1901366,1233526,987025,123652,122849,98374,038b805cbe037c7509565b2e2ae35ca19379d0d2668c4ab1c9d00adeec3b9cd5,769f669693c0c1c74caef70d008768eb526dd3171b86ced3e1e985964dd7e43e,1ebe2488cce3554265da1d8862e01d48ca885de290ff955fcffdda8849cb6609,71.47996520996094,0.0,122.9964828491211,593320,-3167.7760058632684,24324.23846250215,1878678,22688,1826846,1521040,0,1200,PASS
14,1903647,1903647,1235451,988806,123403,123242,98407,1c5736d43add029009aaa52bf013217c5f5f95331f53fa7a03ef65ce4dbaadf1,7129bd1ff78b615e55df4a043beabeb16947ea67a7c9296ee7a1d841b8aebe13,9c411270dfacba3de88776b7eec7ecbaf8a91d601d8a7330a35fe92fccaa9774,71.52389526367188,0.0,126.46206665039062,593616,-3435.251594724383,24114.341142140074,1880987,22660,1829067,1523748,0,1200,PASS
15,1899363,1899363,1232878,986653,122719,123506,98707,4911c076dce73107a618db6c5ce10292e002aa8cb658df8b6a0bdd62e104594c,761146726dc4b3f5ea17319762949d6c36ca212a1fc4eb76001e0ca7ef9343f6,f13fba5ff922ae86500b61884893d5bc9a9693369907775401ce48d3e9bab3b1,71.55306243896484,0.0,123.15056610107422,591471,-3312.0115301282085,24124.257365205805,1876773,22590,1824349,1520508,0,1200,PASS
16,1901153,1901153,1233295,987404,123000,122891,99011,4407daff002daecceae6d0c41877faabb5505fb9ebd01e2a1801f30513d0921a,3513075b109c11edde694a6287877b22b8d31887ee4efbdc5087ce28745aeb97,49cfa43fe32fec034b262d2f5695a02f7e3e856bcddb7c8d3550b92c73b6ec50,71.55752563476562,0.0,122.30481719970703,593055,-3268.3043537310596,24186.79023690021,1878450,22703,1826350,1520882,0,1200,PASS
17,1899256,1899256,1231084,985146,123495,122443,98638,ad0c59ed11b7e2dd2d62b4d9c7e732aa6e3e688ab7ac1b6ddc213b11afa5e3fc,055e4ca871a65823f0518e8ab6832f4e04c079ffe535e3550528e4974369888b,3c051f38c5cae27efffa08acc317d609fc5720e311bbe498c34c44b7900350aa,71.54071044921875,0.0,116.90303039550781,593949,-3367.1658622259474,24159.83358001824,1876641,22615,1825033,1519620,0,1200,PASS
18,1900904,1900904,1232760,986787,122662,123311,98084,783893b94ec22b812d4c2f1a37eadc96e4a89541608253e12c21f2ab34ab7ea9,a443d1f60edcc71977205dc50819712ed8395549a50697db5121438433ca3cc8,000440e17bc7aa19545c4c800a18c2b05600d69b1e3e2e08f83f88f036b6a2d9,71.5392837524414,0.0,123.40020751953125,592318,-3481.7306721371624,24035.16760431444,1877898,23006,1825078,1521405,0,1200,PASS
19,1900044,1900044,1231756,986242,122911,122603,98639,6f972ce4a7d91b61b8e8c4bd3fb7ca507f7ff37504568a66bf2df7f44451e787,82711a51414226c181c1638cfd509fd344a331a7011ac06beb55e5e4fb874c51,1add874200c3f996d17de0653b4277dffbf1714a352e33f1c7420798b721847e,71.54014587402344,0.0,130.8306884765625,593226,-3486.8860471678404,24023.511976159545,1877269,22775,1824982,1521010,0,1200,PASS
20,1900006,1900006,1233076,986590,123220,123266,99026,fcbc21769b9a11e107d30e57a3bf72ba82e83f4a0bd942ad38f91b3b7daa4106,690d70c0d4e3f199ed680c085c12851c0a9f213705bc7922d722fc1eec0a78b5,480ab9c183dee138f15e71a91ee0b0e8607edb389de3db61b55b8500a8391b9b,71.55892944335938,0.0,122.9145278930664,592136,-3280.849196143824,24175.02218810912,1877206,22800,1825212,1520035,0,1200,PASS
21,1900357,1900357,1232651,986067,122995,123589,98314,3b07eab81abf1b6bed880210b7a2df2699e9e0f0554ab93dee4a2cee97dd5cf3,ea3af9be8c389268c9d86b6f47cb59ca01c28594899d90487aa30c7b396d3857,0706b6e458bf3d8ddc40364572f6b5c945e747f161c2f607c9445c166c191f2e,71.54573822021484,0.0,123.86023712158203,592521,-3476.7895986783305,23967.963629109203,1877618,22739,1825172,1520303,0,1200,PASS
22,1900381,1900381,1232714,986067,122972,123675,98570,451632e916cb2c2f6ca47c53fde3f617e7352721562c260d5709823a173f8b26,2dc488d1af7a9b88d6bc8316ce89775bdba3af331d542c0dd27aecc61b3ab363,7dd6d9fba71cce149685657deab187b757e6abb8ce57ef49c2a5e43e3f03b7f1,71.57752990722656,0.0,118.88723754882812,592577,-3359.995630789586,24142.95608739751,1877633,22748,1825291,1520694,0,1200,PASS
23,1900141,1900141,1231387,984613,123494,123280,98881,cc4a94a16b7dec6a891c7014e5d09c0cb458c8f7a5042f2c6d8c447e2a1cdbdd,7555f27614e0662b4b37200bd763034d3acd907ea68f67458b5b31bc7470148b,44e46b5b5190efd826c17e487be9a1ca97a426ef18d47420218ba24e31534498,71.57921600341797,0.0,129.6461944580078,594074,-3028.9061497593416,24492.44371584971,1877448,22693,1825461,1519450,0,1200,PASS
24,1899135,1899135,1231872,985307,122739,123826,98656,079a17fa8bedb3a9980b63bf660eb150149f87f58dc5c1b415e83cf5b048f82b,0354a9dfcdb48d1c20ca148bd00a23ab95e51db73d82e53d6707140f3badda3b,df4d6403ceedbe9508babb5cba375542dbc441366ecb950eb9253bf1ad2b98d0,71.56710815429688,0.0,115.257568359375,592526,-3372.314097645776,24065.372977427243,1876339,22796,1824398,1518738,0,1200,PASS
25,1901578,1901578,1232612,986464,122738,123410,98536,d53f463b1f715296d1905412d9310a7292bb62378192fa200ac94e51654491ab,f2b1d2faf84c01b708df1d9f0e89129b9136a46f8be9860d8dd954f13ad4ba82,169511bb984f6b16a47bbff44869bfd31e58d30f4271fbc6904d9c6813dde02e,71.56694030761719,0.0,128.0128631591797,593531,-3219.411853726815,24325.64088800337,1878660,22918,1826143,1521365,0,1200,PASS
26,1900499,1900499,1231742,985569,122937,123236,98919,aa61131ed5a96900e30277e4611855a00573a951f525ff96a1bff5c33118257d,ed88708380f4556596e6e8d747324d869c955094d91fac2e359a0244de2167ae,2a4a8afad3ffc6f03db3b7529832b6de2f3ad931983c3d4515f5c9facc306577,71.5719223022461,0.0,131.4276885986328,593619,-3236.2585016471294,24312.081563170927,1877781,22718,1825361,1520995,0,1200,PASS
27,1899712,1899712,1231316,985185,123360,122771,98214,82173dc2e5efa13e650f468da5d0770f23f41eafa250a45d30e23d9d5980a273,4c61ab2dcfb51eb92617b9e218ce2a05d9c4c558c9e77a81b98372f97dddfd51,96975488940ed8c6746017d5763be3ccd71afb27a353999a10b8cd98dcec7be1,71.55233764648438,0.0,122.90782165527344,592971,-3461.949442416449,24081.394603470093,1876806,22906,1824287,1519528,0,1200,PASS
