sphere,material,samples,mean_rsp,std_rsp,reference_rsp,error_percent,absolute_rsp_error,cnr,centroid_error_mm,equivalent_volume_mm3,reference_volume_mm3
AirSphere,Air,2176,0.4587005078792572,0.04000472649931908,0.0011471876206752695,39884.78536660395,0.4575533202585819,49.09217462422444,0.010960788698304922,225.0,523.5987755982989
AluminiumSphere,Aluminium,280,1.4722886085510254,0.022870291024446487,2.094511207867794,-29.707293853547302,0.6222225993167685,43.08896603881489,nan,0.0,113.09733552923255
SpineBoneSphere,SpineBone,2176,1.1826300621032715,0.013789433985948563,1.3222608703586636,-10.560004563813282,0.1396308082553921,16.745863553046306,0.1227031633016818,264.25,523.5987755982989
LungSphere,Lung,7208,0.5069893598556519,0.042826514691114426,0.25814526074916555,96.39692721234306,0.2488440991064863,44.70052731350468,0.24295992284403564,1140.0,1436.755040241732
A150Sphere,A150_Tissue_Plastic,4224,1.0777041912078857,0.006414675619453192,1.124244586148391,-4.139703718738857,0.046540394940505214,7.203341834619367,0.15573491083722493,630.625,904.7786842338604
