epoch,elapsed_seconds,training_measurements,pairs_per_second,update_l2,update_max_abs,batch_size,gpu_memory_pool_peak_bytes
1,1771.6457748030007,354827702,200281.40334060587,52.99505615234375,0.41735827922821045,1024,535045632
2,1766.6605674419989,354827702,200846.56245753294,19.7062931060791,0.17663201689720154,1024,535045632
3,1760.7422945530016,354827702,201521.65543912255,11.86404800415039,0.11170297861099243,1024,535045632
