epoch,kind,weight,iterations,huber_delta,primal_step,dual_step,l2_change,max_abs_change,regularization_value_before,regularization_value_after,elapsed_seconds
1,huber_tv,0.0125,100,0.002,0.25,0.25,17.59090805053711,0.04266160726547241,4702.328216802038,4368.350376997537,0.5312321900000825
2,huber_tv,0.0125,100,0.002,0.25,0.25,15.486210823059082,0.04260331392288208,4343.489927651447,4089.8032469781756,0.516252813000392
3,huber_tv,0.0125,100,0.002,0.25,0.25,14.238360404968262,0.04257619380950928,4070.9654391414583,3859.4852696721755,0.5143650530008017
