ionization_potential_ev,water_bias_rms_percent,water_bias_mean_percent,water_bias_max_abs_percent
72.0,0.5988607867378222,-0.11958746538196507,1.4996659120163236
72.5,0.5890051036121648,-0.03696410265776717,1.4200263220379816
73.0,0.5906218919402033,0.04522684607747407,1.340806529090055
73.5,0.603443422671351,0.12699069277917308,1.2620013661637564
74.0,0.6266170159416867,0.20833264823149733,1.1836057651078091
74.5,0.6588975853559931,0.2892578245657196,1.10561475355212
75.0,0.6988824877479077,0.36977123788435984,1.028023452616933
75.5,0.7452023251060583,0.44987781055810416,0.9931385413363136
76.0,0.7966334902164933,0.5295823737056781,1.0732483462298825
76.5,0.8521417061095,0.6088896694826074,1.1531764426994107
77.0,0.9108817575661514,0.6878043531211986,1.2336366397157628
77.5,0.972176058405704,0.7663309953380294,1.3137029312949133
78.0,1.035486538031347,0.8444740841843602,1.3935075054014812
78.5,1.1003872568838815,0.9222380271564894,1.4751124207849298
79.0,1.1665407279308475,0.9996271532043677,1.5563294621274038
79.5,1.2336786236645307,1.0766457144717967,1.6371630137936188
80.0,1.3015865449736825,1.153297888252452,1.7176173831829233
80.5,1.3700921923044118,1.2295877787772664,1.7976968024413953
81.0,1.4390562481609843,1.3055194188452515,1.8774054302616916
81.5,1.5083653642001331,1.3810967715956006,1.956747353655608
82.0,1.5779267599199198,1.4563237320527525,2.0357265894970666
82.5,1.6476640483078115,1.531204128776157,2.1143470863394853
83.0,1.717513993940216,1.6057417253621609,2.192612725794363
83.5,1.7874239813425379,1.6799402219162882,2.2705273241882873
84.0,1.8573500258654452,1.753803256526335,2.348094634011799
