case_id,energy_mev,thickness_mm,paired_primary,primary_survival,wepl_median_mm,wepl_core_mean_mm,median_effective_rsp,core_mean_effective_rsp,median_rsp_bias_vs_fixed_percent,wepl_median_ci95_low_mm,wepl_median_ci95_high_mm,wepl_3mad_core_fraction
aluminium_e150_t0005,150.0,5.0,99093,0.9877100651874888,10.537090419484855,10.571910018536844,2.107418083896971,2.1143820037073686,-0.5454501065790152,10.532402262853639,10.541778576116071,0.9926129999091762
aluminium_e150_t0010,150.0,10.0,97609,0.9750174807711517,21.123477240442526,21.159295705654866,2.1123477240442528,2.115929570565487,-0.3128075447016654,21.11717253394381,21.129781946941243,0.994611152660103
aluminium_e150_t0020,150.0,20.0,94952,0.9517661681568501,42.28201943697317,42.3140413243735,2.1141009718486585,2.1157020662186747,-0.2300672130270076,42.2729263153623,42.29111255858405,0.9948921560367343
aluminium_e150_t0050,150.0,50.0,88267,0.8813655789431641,105.87084224808386,105.89914995876056,2.117416844961677,2.117982999175211,-0.07358252188820469,105.85667148928678,105.88501300688094,0.9922961016008248
aluminium_e180_t0005,180.0,5.0,98655,0.9878836429179392,10.544083778128083,10.597488111899876,2.1088167556256168,2.119497622379975,-0.4794431437062818,10.539015038343075,10.549152517913091,0.9912320713597892
aluminium_e180_t0010,180.0,10.0,97800,0.9763792105105524,21.1519629849696,21.206300684525434,2.11519629849696,2.1206300684525434,-0.17837589480900196,21.144613590911195,21.159312379028005,0.9942535787321063
aluminium_e180_t0020,180.0,20.0,94804,0.9519047332168604,42.382656553094364,42.43385252644512,2.119132827654718,2.121692626322256,0.007399172093336404,42.37213852124449,42.39317458494424,0.9954643263997299
aluminium_e180_t0050,180.0,50.0,87847,0.8835326420388828,105.97562601801395,106.01361672445486,2.119512520360279,2.1202723344890972,0.025317860092610722,105.96106615331364,105.99018588271427,0.9951392762416474
aluminium_e200_t0005,200.0,5.0,98830,0.9876185432051884,10.537120917110116,10.596351048369968,2.1074241834220233,2.1192702096739935,-0.5451622541005396,10.530958656057754,10.543283178162477,0.9901042193665891
aluminium_e200_t0010,200.0,10.0,97301,0.9755366398973341,21.15876408156737,21.22205633525093,2.115876408156737,2.122205633525093,-0.14627974805572208,21.149495052290614,21.168033110844124,0.9937307941336677
aluminium_e200_t0020,200.0,20.0,95208,0.9520609587808244,42.409095349775384,42.46391711373457,2.120454767488769,2.1231958556867285,0.06978495694842657,42.39642746461056,42.42176323494021,0.9951579699184943
aluminium_e200_t0050,200.0,50.0,88444,0.8842277853315205,106.09459698612619,106.14771130203927,2.121891939722524,2.122954226040785,0.13760885896367814,106.07757091309766,106.11162305915472,0.9956356564605853
aluminium_e220_t0005,220.0,5.0,98828,0.9877762341205985,10.538032787912755,10.611801474883436,2.107606557582551,2.122360294976687,-0.5365555423208268,10.531765642084945,10.544299933740565,0.98879872101024
aluminium_e220_t0010,220.0,10.0,97540,0.9764838971258096,21.182520917356214,21.253024148711724,2.1182520917356213,2.1253024148711726,-0.0341650505343738,21.173529424041774,21.191512410670654,0.9924031166700841
aluminium_e220_t0020,220.0,20.0,95103,0.9529358717434869,42.46736561059788,42.533396475184055,2.123368280529894,2.1266698237592028,0.20728122801481064,42.45349291957763,42.481238301618134,0.9950159300968424
aluminium_e220_t0050,220.0,50.0,88246,0.8838299364014222,106.24947801007048,106.30298801994408,2.1249895602014095,2.126059760398882,0.28379363967816484,106.22857861770997,106.27037740243098,0.9957958434376629
