material,energy_mev,slope,intercept_mm,r2,origin_constrained_slope,origin_constrained_r2
Water,150.0,1.0144961604398288,-0.05850130228719319,0.9999999938869764,1.0136652398315271,0.9999993904356936
Water,180.0,1.0147282732026015,-0.07274130117363675,0.9999999518651489,1.0136950954124193,0.9999990392288266
Water,200.0,1.0148183447895245,-0.09156712567047028,0.9999999976299232,1.013517775250251,0.9999985121881483
Water,220.0,1.0147782031011057,-0.10423274176088274,0.9999999722783157,1.0132977380549817,0.9999980595659593
Aluminium,150.0,2.1186193657965844,-0.06730418693131537,0.9999998661625168,2.1167281737671093,0.999999407367563
Aluminium,180.0,2.1206317803905996,-0.04984299974874667,0.9999999019088789,2.119231233290222,0.9999996657308079
Aluminium,200.0,2.1234412171021426,-0.07323152977576736,0.9999999539531663,2.1213834716373694,0.9999993465470113
Aluminium,220.0,2.1268036042276424,-0.08522725835307919,0.9999999240438783,2.1244087887036716,0.9999991118876624
